,RATE A,RATE B,RATE C,Total
 01/04/2018 00.15,,,8.93,8.93
 01/04/2018 00.30,,,8.84,8.84
 01/04/2018 00.45,,,8.84,8.84
 01/04/2018 01.00,,,8.58,8.58
 01/04/2018 01.15,,,8.33,8.33
 01/04/2018 01.30,,,8.2,8.2
 01/04/2018 01.45,,,8.08,8.08
 01/04/2018 02.00,,,7.78,7.78
 01/04/2018 02.15,,,7.63,7.63
 01/04/2018 02.30,,,7.34,7.34
 01/04/2018 02.45,,,7.24,7.24
 01/04/2018 03.00,,,7.03,7.03
 01/04/2018 03.15,,,6.81,6.81
 01/04/2018 03.30,,,6.75,6.75
 01/04/2018 03.45,,,6.74,6.74
 01/04/2018 04.00,,,6.7,6.7
 01/04/2018 04.15,,,6.65,6.65
 01/04/2018 04.30,,,6.65,6.65
 01/04/2018 04.45,,,6.72,6.72
 01/04/2018 05.00,,,6.7,6.7
 01/04/2018 05.15,,,6.55,6.55
 01/04/2018 05.30,,,6.32,6.32
 01/04/2018 05.45,,,6.48,6.48
 01/04/2018 06.00,,,6.63,6.63
 01/04/2018 06.15,,,8.23,8.23
 01/04/2018 06.30,,,27.72,27.72
 01/04/2018 06.45,,,36.69,36.69
 01/04/2018 07.00,,,36.94,36.94
 01/04/2018 07.15,,,36.3,36.3
 01/04/2018 07.30,,,36.45,36.45
 01/04/2018 07.45,,,37.18,37.18
 01/04/2018 08.00,,,36.5,36.5
 01/04/2018 08.15,,,34.65,34.65
 01/04/2018 08.30,,,34.3,34.3
 01/04/2018 08.45,,,33.21,33.21
 01/04/2018 09.00,,,32.27,32.27
 01/04/2018 09.15,,,31.2,31.2
 01/04/2018 09.30,,,31.27,31.27
 01/04/2018 09.45,,,31.45,31.45
 01/04/2018 10.00,,,32.93,32.93
 01/04/2018 10.15,,,33.05,33.05
 01/04/2018 10.30,,,33.56,33.56
 01/04/2018 10.45,,,33.69,33.69
 01/04/2018 11.00,,,33.78,33.78
 01/04/2018 11.15,,,34.04,34.04
 01/04/2018 11.30,,,34.28,34.28
 01/04/2018 11.45,,,34.51,34.51
 01/04/2018 12.00,,,34.37,34.37
 01/04/2018 12.15,,,34.12,34.12
 01/04/2018 12.30,,,34.05,34.05
 01/04/2018 12.45,,,35.91,35.91
 01/04/2018 13.00,,,36.53,36.53
 01/04/2018 13.15,,,36.04,36.04
 01/04/2018 13.30,,,36.01,36.01
 01/04/2018 13.45,,,35.61,35.61
 01/04/2018 14.00,,,35.43,35.43
 01/04/2018 14.15,,,35.41,35.41
 01/04/2018 14.30,,,35.51,35.51
 01/04/2018 14.45,,,35.29,35.29
 01/04/2018 15.00,,,35.36,35.36
 01/04/2018 15.15,,,35.28,35.28
 01/04/2018 15.30,,,35.24,35.24
 01/04/2018 15.45,,,35.18,35.18
 01/04/2018 16.00,,,35.22,35.22
 01/04/2018 16.15,,,34.85,34.85
 01/04/2018 16.30,,,34.63,34.63
 01/04/2018 16.45,,,34.88,34.88
 01/04/2018 17.00,,,35.15,35.15
 01/04/2018 17.15,,,34.57,34.57
 01/04/2018 17.30,,,34.45,34.45
 01/04/2018 17.45,,,34.17,34.17
 01/04/2018 18.00,,,32.55,32.55
 01/04/2018 18.15,,,31.97,31.97
 01/04/2018 18.30,,,31.53,31.53
 01/04/2018 18.45,,,30.03,30.03
 01/04/2018 19.00,,,26.82,26.82
 01/04/2018 19.15,,,12.91,12.91
 01/04/2018 19.30,,,3.32,3.32
 01/04/2018 19.45,,,3.12,3.12
 01/04/2018 20.00,,,2.84,2.84
 01/04/2018 20.15,,,2.49,2.49
 01/04/2018 20.30,,,2.12,2.12
 01/04/2018 20.45,,,2.09,2.09
 01/04/2018 21.00,,,2.1,2.1
 01/04/2018 21.15,,,1.88,1.88
 01/04/2018 21.30,,,1.71,1.71
 01/04/2018 21.45,,,1.66,1.66
 01/04/2018 22.00,,,1.7,1.7
 01/04/2018 22.15,,,1.78,1.78
 01/04/2018 22.30,,,1.76,1.76
 01/04/2018 22.45,,,1.73,1.73
 01/04/2018 23.00,,,1.75,1.75
 01/04/2018 23.15,,,1.74,1.74
 01/04/2018 23.30,,,1.74,1.74
 01/04/2018 23.45,,,1.8,1.8
 01/04/2018 24.00,,,1.78,1.78
 02/04/2018 00.15,,1.63,,1.63
 02/04/2018 00.30,,1.58,,1.58
 02/04/2018 00.45,,1.58,,1.58
 02/04/2018 01.00,,1.62,,1.62
 02/04/2018 01.15,,1.65,,1.65
 02/04/2018 01.30,,1.64,,1.64
