,RATE A,RATE B,RATE C,Total
01/07/2018 00.15,,,1.92,1.92
01/07/2018 00.30,,,1.82,1.82
01/07/2018 00.45,,,1.83,1.83
01/07/2018 01.00,,,1.8,1.8
01/07/2018 01.15,,,1.7,1.7
01/07/2018 01.30,,,1.65,1.65
01/07/2018 01.45,,,1.66,1.66
01/07/2018 02.00,,,1.65,1.65
01/07/2018 02.15,,,1.66,1.66
01/07/2018 02.30,,,1.65,1.65
01/07/2018 02.45,,,1.67,1.67
01/07/2018 03.00,,,1.66,1.66
01/07/2018 03.15,,,1.63,1.63
01/07/2018 03.30,,,1.63,1.63
01/07/2018 03.45,,,1.64,1.64
01/07/2018 04.00,,,1.62,1.62
01/07/2018 04.15,,,1.65,1.65
01/07/2018 04.30,,,1.66,1.66
01/07/2018 04.45,,,1.67,1.67
01/07/2018 05.00,,,1.67,1.67
01/07/2018 05.15,,,1.59,1.59
01/07/2018 05.30,,,1.59,1.59
01/07/2018 05.45,,,1.53,1.53
01/07/2018 06.00,,,1.42,1.42
01/07/2018 06.15,,,1.39,1.39
01/07/2018 06.30,,,1.41,1.41
01/07/2018 06.45,,,1.43,1.43
01/07/2018 07.00,,,1.42,1.42
01/07/2018 07.15,,,1.42,1.42
01/07/2018 07.30,,,1.41,1.41
01/07/2018 07.45,,,1.5,1.5
01/07/2018 08.00,,,1.63,1.63
01/07/2018 08.15,,,1.66,1.66
01/07/2018 08.30,,,1.65,1.65
01/07/2018 08.45,,,1.7,1.7
01/07/2018 09.00,,,1.62,1.62
01/07/2018 09.15,,,1.68,1.68
01/07/2018 09.30,,,1.65,1.65
01/07/2018 09.45,,,1.69,1.69
01/07/2018 10.00,,,1.67,1.67
01/07/2018 10.15,,,1.58,1.58
01/07/2018 10.30,,,1.5,1.5
01/07/2018 10.45,,,1.51,1.51
01/07/2018 11.00,,,1.5,1.5
01/07/2018 11.15,,,1.47,1.47
01/07/2018 11.30,,,1.66,1.66
01/07/2018 11.45,,,1.62,1.62
01/07/2018 12.00,,,1.6,1.6
01/07/2018 12.15,,,1.64,1.64
01/07/2018 12.30,,,1.73,1.73
01/07/2018 12.45,,,1.87,1.87
01/07/2018 13.00,,,2.11,2.11
01/07/2018 13.15,,,2.02,2.02
01/07/2018 13.30,,,2.05,2.05
01/07/2018 13.45,,,2.06,2.06
01/07/2018 14.00,,,2.51,2.51
01/07/2018 14.15,,,2.46,2.46
01/07/2018 14.30,,,2.56,2.56
01/07/2018 14.45,,,2.53,2.53
01/07/2018 15.00,,,2.59,2.59
01/07/2018 15.15,,,2.54,2.54
01/07/2018 15.30,,,2.52,2.52
01/07/2018 15.45,,,2.5,2.5
01/07/2018 16.00,,,2.73,2.73
01/07/2018 16.15,,,2.88,2.88
01/07/2018 16.30,,,2.79,2.79
01/07/2018 16.45,,,2.37,2.37
01/07/2018 17.00,,,2.29,2.29
01/07/2018 17.15,,,2.28,2.28
01/07/2018 17.30,,,2.31,2.31
01/07/2018 17.45,,,2.27,2.27
01/07/2018 18.00,,,2.3,2.3
01/07/2018 18.15,,,2.31,2.31
01/07/2018 18.30,,,2.38,2.38
01/07/2018 18.45,,,2.45,2.45
01/07/2018 19.00,,,2.54,2.54
01/07/2018 19.15,,,2.48,2.48
01/07/2018 19.30,,,2.48,2.48
01/07/2018 19.45,,,2.44,2.44
01/07/2018 20.00,,,2.46,2.46
01/07/2018 20.15,,,2.38,2.38
01/07/2018 20.30,,,2.3,2.3
01/07/2018 20.45,,,1.99,1.99
01/07/2018 21.00,,,1.83,1.83
01/07/2018 21.15,,,1.81,1.81
01/07/2018 21.30,,,1.79,1.79
01/07/2018 21.45,,,1.8,1.8
01/07/2018 22.00,,,1.78,1.78
01/07/2018 22.15,,,1.77,1.77
01/07/2018 22.30,,,1.77,1.77
01/07/2018 22.45,,,1.78,1.78
01/07/2018 23.00,,,1.78,1.78
01/07/2018 23.15,,,1.8,1.8
01/07/2018 23.30,,,1.79,1.79
01/07/2018 23.45,,,1.79,1.79
01/07/2018 24.00,,,1.8,1.8
02/07/2018 00.15,,1.65,,1.65
02/07/2018 00.30,,1.61,,1.61
02/07/2018 00.45,,1.63,,1.63
02/07/2018 01.00,,1.59,,1.59
02/07/2018 01.15,,1.63,,1.63
02/07/2018 01.30,,1.62,,1.62
02/07/2018 01.45,,1.65,,1.65
02/07/2018 02.00,,1.64,,1.64
02/07/2018 02.15,,1.66,,1.66
02/07/2018 02.30,,1.63,,1.63
02/07/2018 02.45,,1.65,,1.65
02/07/2018 03.00,,1.64,,1.64
02/07/2018 03.15,,1.62,,1.62
02/07/2018 03.30,,1.6,,1.6
02/07/2018 03.45,,1.61,,1.61
02/07/2018 04.00,,1.63,,1.63
02/07/2018 04.15,,1.65,,1.65
02/07/2018 04.30,,1.64,,1.64
02/07/2018 04.45,,1.64,,1.64
02/07/2018 05.00,,1.63,,1.63
02/07/2018 05.15,,1.54,,1.54
02/07/2018 05.30,,1.56,,1.56
02/07/2018 05.45,,1.5,,1.5
02/07/2018 06.00,,1.43,,1.43
02/07/2018 06.15,,1.42,,1.42
02/07/2018 06.30,,1.49,,1.49
02/07/2018 06.45,,1.5,,1.5
02/07/2018 07.00,,1.52,,1.52
02/07/2018 07.15,,1.52,,1.52
02/07/2018 07.30,,1.49,,1.49
02/07/2018 07.45,,1.5,,1.5
02/07/2018 08.00,,1.66,,1.66
02/07/2018 08.15,,1.91,,1.91
02/07/2018 08.30,,1.84,,1.84
02/07/2018 08.45,,1.95,,1.95
02/07/2018 09.00,,1.94,,1.94
02/07/2018 09.15,2.34,,,2.34
02/07/2018 09.30,2.65,,,2.65
02/07/2018 09.45,2.56,,,2.56
02/07/2018 10.00,2.49,,,2.49
02/07/2018 10.15,2.54,,,2.54
02/07/2018 10.30,2.59,,,2.59
02/07/2018 10.45,2.33,,,2.33
02/07/2018 11.00,2.23,,,2.23
02/07/2018 11.15,2.3,,,2.3
02/07/2018 11.30,2.42,,,2.42
02/07/2018 11.45,2.5,,,2.5
02/07/2018 12.00,2.56,,,2.56
02/07/2018 12.15,2.31,,,2.31
02/07/2018 12.30,2.5,,,2.5
02/07/2018 12.45,2.35,,,2.35
02/07/2018 13.00,2.46,,,2.46
02/07/2018 13.15,2.54,,,2.54
02/07/2018 13.30,2.62,,,2.62
02/07/2018 13.45,2.73,,,2.73
02/07/2018 14.00,2.83,,,2.83
02/07/2018 14.15,2.76,,,2.76
02/07/2018 14.30,2.78,,,2.78
02/07/2018 14.45,2.87,,,2.87
02/07/2018 15.00,2.78,,,2.78
02/07/2018 15.15,2.73,,,2.73
02/07/2018 15.30,2.79,,,2.79
02/07/2018 15.45,2.81,,,2.81
02/07/2018 16.00,2.78,,,2.78
02/07/2018 16.15,2.99,,,2.99
02/07/2018 16.30,3.39,,,3.39
02/07/2018 16.45,3.44,,,3.44
02/07/2018 17.00,3.47,,,3.47
02/07/2018 17.15,3.49,,,3.49
02/07/2018 17.30,3.21,,,3.21
02/07/2018 17.45,3.14,,,3.14
02/07/2018 18.00,3.18,,,3.18
02/07/2018 18.15,3.25,,,3.25
02/07/2018 18.30,3.34,,,3.34
02/07/2018 18.45,3.38,,,3.38
02/07/2018 19.00,3.27,,,3.27
02/07/2018 19.15,3.31,,,3.31
02/07/2018 19.30,2.93,,,2.93
02/07/2018 19.45,2.82,,,2.82
02/07/2018 20.00,2.81,,,2.81
02/07/2018 20.15,2.85,,,2.85
02/07/2018 20.30,2.81,,,2.81
02/07/2018 20.45,2.8,,,2.8
02/07/2018 21.00,2.73,,,2.73
02/07/2018 21.15,2.01,,,2.01
02/07/2018 21.30,1.84,,,1.84
02/07/2018 21.45,1.78,,,1.78
02/07/2018 22.00,1.8,,,1.8
02/07/2018 22.15,,1.77,,1.77
02/07/2018 22.30,,1.77,,1.77
02/07/2018 22.45,,1.77,,1.77
02/07/2018 23.00,,1.79,,1.79
02/07/2018 23.15,,1.78,,1.78
02/07/2018 23.30,,1.77,,1.77
02/07/2018 23.45,,1.8,,1.8
02/07/2018 24.00,,1.78,,1.78
03/07/2018 00.15,,1.64,,1.64
03/07/2018 00.30,,1.62,,1.62
03/07/2018 00.45,,1.6,,1.6
03/07/2018 01.00,,1.62,,1.62
03/07/2018 01.15,,1.65,,1.65
03/07/2018 01.30,,1.62,,1.62
03/07/2018 01.45,,1.66,,1.66
03/07/2018 02.00,,1.71,,1.71
03/07/2018 02.15,,1.67,,1.67
03/07/2018 02.30,,1.69,,1.69
03/07/2018 02.45,,1.69,,1.69
03/07/2018 03.00,,1.7,,1.7
03/07/2018 03.15,,1.64,,1.64
03/07/2018 03.30,,1.67,,1.67
03/07/2018 03.45,,1.68,,1.68
03/07/2018 04.00,,1.66,,1.66
03/07/2018 04.15,,1.71,,1.71
03/07/2018 04.30,,1.69,,1.69
03/07/2018 04.45,,1.67,,1.67
03/07/2018 05.00,,1.67,,1.67
03/07/2018 05.15,,1.59,,1.59
03/07/2018 05.30,,1.56,,1.56
03/07/2018 05.45,,1.56,,1.56
03/07/2018 06.00,,1.42,,1.42
03/07/2018 06.15,,1.38,,1.38
03/07/2018 06.30,,1.42,,1.42
03/07/2018 06.45,,1.49,,1.49
03/07/2018 07.00,,1.47,,1.47
03/07/2018 07.15,,1.57,,1.57
03/07/2018 07.30,,1.78,,1.78
03/07/2018 07.45,,1.75,,1.75
03/07/2018 08.00,,1.77,,1.77
03/07/2018 08.15,,1.88,,1.88
03/07/2018 08.30,,1.81,,1.81
03/07/2018 08.45,,1.86,,1.86
03/07/2018 09.00,,1.97,,1.97
03/07/2018 09.15,1.99,,,1.99
03/07/2018 09.30,2.03,,,2.03
03/07/2018 09.45,2,,,2
03/07/2018 10.00,2.03,,,2.03
03/07/2018 10.15,2.07,,,2.07
03/07/2018 10.30,2.02,,,2.02
03/07/2018 10.45,2.27,,,2.27
