,RATE A,RATE B,RATE C,Total
01/06/2018 00.15,,1.69,,1.69
01/06/2018 00.30,,1.65,,1.65
01/06/2018 00.45,,1.69,,1.69
01/06/2018 01.00,,1.67,,1.67
01/06/2018 01.15,,1.69,,1.69
01/06/2018 01.30,,1.66,,1.66
01/06/2018 01.45,,1.68,,1.68
01/06/2018 02.00,,1.7,,1.7
01/06/2018 02.15,,1.73,,1.73
01/06/2018 02.30,,1.71,,1.71
01/06/2018 02.45,,1.69,,1.69
01/06/2018 03.00,,1.69,,1.69
01/06/2018 03.15,,1.64,,1.64
01/06/2018 03.30,,1.68,,1.68
01/06/2018 03.45,,1.67,,1.67
01/06/2018 04.00,,1.67,,1.67
01/06/2018 04.15,,1.68,,1.68
01/06/2018 04.30,,1.67,,1.67
01/06/2018 04.45,,1.68,,1.68
01/06/2018 05.00,,1.74,,1.74
01/06/2018 05.15,,1.64,,1.64
01/06/2018 05.30,,1.64,,1.64
01/06/2018 05.45,,1.53,,1.53
01/06/2018 06.00,,1.45,,1.45
01/06/2018 06.15,,1.46,,1.46
01/06/2018 06.30,,1.5,,1.5
01/06/2018 06.45,,1.52,,1.52
01/06/2018 07.00,,1.49,,1.49
01/06/2018 07.15,,1.47,,1.47
01/06/2018 07.30,,1.48,,1.48
01/06/2018 07.45,,1.58,,1.58
01/06/2018 08.00,,1.72,,1.72
01/06/2018 08.15,,1.97,,1.97
01/06/2018 08.30,,2.01,,2.01
01/06/2018 08.45,,2.02,,2.02
01/06/2018 09.00,,2.11,,2.11
01/06/2018 09.15,2.1,,,2.1
01/06/2018 09.30,3.7,,,3.7
01/06/2018 09.45,4.29,,,4.29
01/06/2018 10.00,2.92,,,2.92
01/06/2018 10.15,2.83,,,2.83
01/06/2018 10.30,2.86,,,2.86
01/06/2018 10.45,2.86,,,2.86
01/06/2018 11.00,2.98,,,2.98
01/06/2018 11.15,3.08,,,3.08
01/06/2018 11.30,2.98,,,2.98
01/06/2018 11.45,2.51,,,2.51
01/06/2018 12.00,2.49,,,2.49
01/06/2018 12.15,2.66,,,2.66
01/06/2018 12.30,2.52,,,2.52
01/06/2018 12.45,2.5,,,2.5
01/06/2018 13.00,2.44,,,2.44
01/06/2018 13.15,2.55,,,2.55
01/06/2018 13.30,2.78,,,2.78
01/06/2018 13.45,2.89,,,2.89
01/06/2018 14.00,3.18,,,3.18
01/06/2018 14.15,3.35,,,3.35
01/06/2018 14.30,3.2,,,3.2
01/06/2018 14.45,3.37,,,3.37
01/06/2018 15.00,3.17,,,3.17
01/06/2018 15.15,3.3,,,3.3
01/06/2018 15.30,3.21,,,3.21
01/06/2018 15.45,3.16,,,3.16
01/06/2018 16.00,3.13,,,3.13
01/06/2018 16.15,3.33,,,3.33
01/06/2018 16.30,3.56,,,3.56
01/06/2018 16.45,3.35,,,3.35
01/06/2018 17.00,3.4,,,3.4
01/06/2018 17.15,3.29,,,3.29
01/06/2018 17.30,3.14,,,3.14
01/06/2018 17.45,3.06,,,3.06
01/06/2018 18.00,3.28,,,3.28
01/06/2018 18.15,3.28,,,3.28
01/06/2018 18.30,3.49,,,3.49
01/06/2018 18.45,3.49,,,3.49
01/06/2018 19.00,3.6,,,3.6
01/06/2018 19.15,3.53,,,3.53
01/06/2018 19.30,3.58,,,3.58
01/06/2018 19.45,3.45,,,3.45
01/06/2018 20.00,3.42,,,3.42
01/06/2018 20.15,3.27,,,3.27
01/06/2018 20.30,3.3,,,3.3
01/06/2018 20.45,3.19,,,3.19
01/06/2018 21.00,3,,,3
01/06/2018 21.15,2.28,,,2.28
01/06/2018 21.30,2.27,,,2.27
01/06/2018 21.45,2.23,,,2.23
01/06/2018 22.00,2.17,,,2.17
01/06/2018 22.15,,1.84,,1.84
01/06/2018 22.30,,1.8,,1.8
01/06/2018 22.45,,1.83,,1.83
01/06/2018 23.00,,1.81,,1.81
01/06/2018 23.15,,1.77,,1.77
01/06/2018 23.30,,1.75,,1.75
01/06/2018 23.45,,1.76,,1.76
01/06/2018 24.00,,1.77,,1.77
02/06/2018 00.15,,,1.71,1.71
02/06/2018 00.30,,,1.63,1.63
02/06/2018 00.45,,,1.61,1.61
02/06/2018 01.00,,,1.59,1.59
