,RATE A,RATE B,RATE C,Total
01/11/2018 00.15,,4.85,,4.85
01/11/2018 00.30,,4.79,,4.79
01/11/2018 00.45,,4.87,,4.87
01/11/2018 01.00,,4.63,,4.63
01/11/2018 01.15,,4.38,,4.38
01/11/2018 01.30,,4.29,,4.29
01/11/2018 01.45,,4.26,,4.26
01/11/2018 02.00,,4.39,,4.39
01/11/2018 02.15,,4.7,,4.7
01/11/2018 02.30,,4.73,,4.73
01/11/2018 02.45,,4.8,,4.8
01/11/2018 03.00,,4.65,,4.65
01/11/2018 03.15,,4.28,,4.28
01/11/2018 03.30,,4.1,,4.1
01/11/2018 03.45,,4.14,,4.14
01/11/2018 04.00,,4.27,,4.27
01/11/2018 04.15,,4.45,,4.45
01/11/2018 04.30,,4.59,,4.59
01/11/2018 04.45,,4.58,,4.58
01/11/2018 05.00,,4.38,,4.38
01/11/2018 05.15,,4.11,,4.11
01/11/2018 05.30,,3.76,,3.76
01/11/2018 05.45,,3.76,,3.76
01/11/2018 06.00,,3.97,,3.97
01/11/2018 06.15,,4.37,,4.37
01/11/2018 06.30,,4.46,,4.46
01/11/2018 06.45,,4.42,,4.42
01/11/2018 07.00,,4.52,,4.52
01/11/2018 07.15,,4.46,,4.46
01/11/2018 07.30,,11.28,,11.28
01/11/2018 07.45,,14.96,,14.96
01/11/2018 08.00,,15.04,,15.04
01/11/2018 08.15,,19.32,,19.32
01/11/2018 08.30,,25.26,,25.26
01/11/2018 08.45,,25.04,,25.04
01/11/2018 09.00,,24.8,,24.8
01/11/2018 09.15,24.4,,,24.4
01/11/2018 09.30,24.41,,,24.41
01/11/2018 09.45,24.35,,,24.35
01/11/2018 10.00,24.73,,,24.73
01/11/2018 10.15,25.11,,,25.11
01/11/2018 10.30,24.77,,,24.77
01/11/2018 10.45,25.07,,,25.07
01/11/2018 11.00,24.8,,,24.8
01/11/2018 11.15,24.75,,,24.75
01/11/2018 11.30,24.84,,,24.84
01/11/2018 11.45,24.72,,,24.72
01/11/2018 12.00,24.6,,,24.6
01/11/2018 12.15,24.36,,,24.36
01/11/2018 12.30,24.3,,,24.3
01/11/2018 12.45,24.61,,,24.61
01/11/2018 13.00,25.38,,,25.38
01/11/2018 13.15,26.38,,,26.38
01/11/2018 13.30,26.79,,,26.79
01/11/2018 13.45,27.26,,,27.26
01/11/2018 14.00,27.84,,,27.84
01/11/2018 14.15,27.81,,,27.81
01/11/2018 14.30,28.32,,,28.32
01/11/2018 14.45,28.11,,,28.11
01/11/2018 15.00,27.23,,,27.23
01/11/2018 15.15,16.52,,,16.52
01/11/2018 15.30,15.38,,,15.38
01/11/2018 15.45,15.61,,,15.61
01/11/2018 16.00,13.51,,,13.51
01/11/2018 16.15,6.43,,,6.43
01/11/2018 16.30,7.14,,,7.14
01/11/2018 16.45,6.67,,,6.67
01/11/2018 17.00,6.41,,,6.41
01/11/2018 17.15,6.08,,,6.08
01/11/2018 17.30,5.98,,,5.98
01/11/2018 17.45,5.9,,,5.9
01/11/2018 18.00,6.1,,,6.1
01/11/2018 18.15,6.81,,,6.81
01/11/2018 18.30,7.26,,,7.26
01/11/2018 18.45,7.42,,,7.42
01/11/2018 19.00,7.2,,,7.2
01/11/2018 19.15,6.91,,,6.91
01/11/2018 19.30,6.62,,,6.62
01/11/2018 19.45,6.7,,,6.7
01/11/2018 20.00,6.61,,,6.61
01/11/2018 20.15,6.45,,,6.45
01/11/2018 20.30,6.44,,,6.44
01/11/2018 20.45,6.5,,,6.5
01/11/2018 21.00,6.21,,,6.21
01/11/2018 21.15,5.36,,,5.36
01/11/2018 21.30,4.69,,,4.69
01/11/2018 21.45,4.6,,,4.6
01/11/2018 22.00,4.96,,,4.96
01/11/2018 22.15,,5.15,,5.15
01/11/2018 22.30,,5.23,,5.23
01/11/2018 22.45,,5.38,,5.38
01/11/2018 23.00,,5.04,,5.04
01/11/2018 23.15,,4.75,,4.75
01/11/2018 23.30,,4.43,,4.43
01/11/2018 23.45,,4.31,,4.31
01/11/2018 24.00,,4.24,,4.24
02/11/2018 00.15,,4.36,,4.36
02/11/2018 00.30,,4.55,,4.55
02/11/2018 00.45,,4.55,,4.55
02/11/2018 01.00,,4.35,,4.35
02/11/2018 01.15,,4.09,,4.09
02/11/2018 01.30,,3.78,,3.78
02/11/2018 01.45,,3.79,,3.79
02/11/2018 02.00,,3.85,,3.85
02/11/2018 02.15,,3.97,,3.97
02/11/2018 02.30,,4.19,,4.19
02/11/2018 02.45,,4.21,,4.21
02/11/2018 03.00,,4.06,,4.06
02/11/2018 03.15,,3.77,,3.77
02/11/2018 03.30,,3.54,,3.54
02/11/2018 03.45,,3.5,,3.5
02/11/2018 04.00,,3.71,,3.71
02/11/2018 04.15,,3.88,,3.88
02/11/2018 04.30,,4.12,,4.12
02/11/2018 04.45,,4.16,,4.16
02/11/2018 05.00,,4.02,,4.02
02/11/2018 05.15,,3.56,,3.56
02/11/2018 05.30,,3.35,,3.35
02/11/2018 05.45,,3.39,,3.39
02/11/2018 06.00,,3.8,,3.8
02/11/2018 06.15,,3.72,,3.72
02/11/2018 06.30,,4.14,,4.14
02/11/2018 06.45,,4.47,,4.47
02/11/2018 07.00,,4.06,,4.06
02/11/2018 07.15,,3.77,,3.77
02/11/2018 07.30,,3.89,,3.89
02/11/2018 07.45,,3.71,,3.71
02/11/2018 08.00,,8.41,,8.41
02/11/2018 08.15,,33.3,,33.3
02/11/2018 08.30,,38.2,,38.2
02/11/2018 08.45,,38.41,,38.41
02/11/2018 09.00,,38.38,,38.38
02/11/2018 09.15,37.77,,,37.77
02/11/2018 09.30,32.8,,,32.8
02/11/2018 09.45,28.67,,,28.67
02/11/2018 10.00,28.82,,,28.82
02/11/2018 10.15,28.98,,,28.98
02/11/2018 10.30,29.23,,,29.23
02/11/2018 10.45,29.68,,,29.68
02/11/2018 11.00,29.81,,,29.81
02/11/2018 11.15,29.54,,,29.54
02/11/2018 11.30,29.22,,,29.22
02/11/2018 11.45,29.43,,,29.43
02/11/2018 12.00,29.34,,,29.34
02/11/2018 12.15,28.75,,,28.75
02/11/2018 12.30,28.69,,,28.69
02/11/2018 12.45,29.7,,,29.7
02/11/2018 13.00,29.79,,,29.79
02/11/2018 13.15,30.1,,,30.1
02/11/2018 13.30,30.24,,,30.24
02/11/2018 13.45,30.25,,,30.25
02/11/2018 14.00,30.62,,,30.62
02/11/2018 14.15,30.14,,,30.14
02/11/2018 14.30,30.87,,,30.87
02/11/2018 14.45,31.78,,,31.78
02/11/2018 15.00,31.47,,,31.47
02/11/2018 15.15,31.42,,,31.42
02/11/2018 15.30,32.15,,,32.15
02/11/2018 15.45,30.65,,,30.65
02/11/2018 16.00,31.34,,,31.34
02/11/2018 16.15,21.14,,,21.14
02/11/2018 16.30,6.79,,,6.79
02/11/2018 16.45,6.42,,,6.42
02/11/2018 17.00,6.24,,,6.24
02/11/2018 17.15,6.15,,,6.15
02/11/2018 17.30,6.23,,,6.23
02/11/2018 17.45,6.44,,,6.44
02/11/2018 18.00,6.25,,,6.25
02/11/2018 18.15,6.74,,,6.74
02/11/2018 18.30,7.14,,,7.14
02/11/2018 18.45,7.38,,,7.38
02/11/2018 19.00,7.26,,,7.26
02/11/2018 19.15,7.15,,,7.15
02/11/2018 19.30,7.07,,,7.07
02/11/2018 19.45,6.6,,,6.6
02/11/2018 20.00,6.62,,,6.62
02/11/2018 20.15,6.87,,,6.87
02/11/2018 20.30,6.92,,,6.92
02/11/2018 20.45,6.97,,,6.97
02/11/2018 21.00,6.52,,,6.52
02/11/2018 21.15,5.93,,,5.93
02/11/2018 21.30,5.94,,,5.94
02/11/2018 21.45,5.3,,,5.3
02/11/2018 22.00,5.35,,,5.35
02/11/2018 22.15,,5.44,,5.44
02/11/2018 22.30,,5.66,,5.66
02/11/2018 22.45,,6.25,,6.25
02/11/2018 23.00,,5.95,,5.95
02/11/2018 23.15,,5.8,,5.8
02/11/2018 23.30,,5.71,,5.71
02/11/2018 23.45,,5.43,,5.43
02/11/2018 24.00,,5.42,,5.42
03/11/2018 00.15,,,5.51,5.51
03/11/2018 00.30,,,5.46,5.46
03/11/2018 00.45,,,5.68,5.68
03/11/2018 01.00,,,5.58,5.58
03/11/2018 01.15,,,5.28,5.28
03/11/2018 01.30,,,5.16,5.16
03/11/2018 01.45,,,4.86,4.86
03/11/2018 02.00,,,5.06,5.06
03/11/2018 02.15,,,5.12,5.12
03/11/2018 02.30,,,5.18,5.18
03/11/2018 02.45,,,5.39,5.39
03/11/2018 03.00,,,5.24,5.24
03/11/2018 03.15,,,4.99,4.99
03/11/2018 03.30,,,4.96,4.96
03/11/2018 03.45,,,4.62,4.62
03/11/2018 04.00,,,4.71,4.71
03/11/2018 04.15,,,4.8,4.8
03/11/2018 04.30,,,4.91,4.91
03/11/2018 04.45,,,5.19,5.19
03/11/2018 05.00,,,5,5
03/11/2018 05.15,,,4.88,4.88
03/11/2018 05.30,,,4.74,4.74
03/11/2018 05.45,,,4.33,4.33
03/11/2018 06.00,,,4.31,4.31
03/11/2018 06.15,,,4.5,4.5
03/11/2018 06.30,,,4.72,4.72
03/11/2018 06.45,,,4.95,4.95
03/11/2018 07.00,,,4.64,4.64
03/11/2018 07.15,,,4.45,4.45
03/11/2018 07.30,,,4.6,4.6
03/11/2018 07.45,,,4.28,4.28
03/11/2018 08.00,,,5.88,5.88
03/11/2018 08.15,,,13.73,13.73
03/11/2018 08.30,,,16.42,16.42
03/11/2018 08.45,,,15.86,15.86
03/11/2018 09.00,,,15.26,15.26
03/11/2018 09.15,,,15.55,15.55
03/11/2018 09.30,,,15.91,15.91
03/11/2018 09.45,,,15.97,15.97
03/11/2018 10.00,,,16.34,16.34
03/11/2018 10.15,,,24.27,24.27
03/11/2018 10.30,,,27.8,27.8
03/11/2018 10.45,,,27.61,27.61
03/11/2018 11.00,,,27.76,27.76
03/11/2018 11.15,,,27.72,27.72
03/11/2018 11.30,,,28.23,28.23
03/11/2018 11.45,,,27.88,27.88
03/11/2018 12.00,,,28.04,28.04
03/11/2018 12.15,,,28.53,28.53
03/11/2018 12.30,,,28.95,28.95
03/11/2018 12.45,,,29.29,29.29
03/11/2018 13.00,,,29.02,29.02
03/11/2018 13.15,,,29.39,29.39
03/11/2018 13.30,,,29.3,29.3
03/11/2018 13.45,,,29.51,29.51
03/11/2018 14.00,,,29.4,29.4
03/11/2018 14.15,,,29.25,29.25
03/11/2018 14.30,,,29.24,29.24
03/11/2018 14.45,,,29.39,29.39
03/11/2018 15.00,,,30,30
03/11/2018 15.15,,,29.99,29.99
03/11/2018 15.30,,,30.35,30.35
03/11/2018 15.45,,,29.52,29.52
03/11/2018 16.00,,,29.55,29.55
03/11/2018 16.15,,,30.21,30.21
03/11/2018 16.30,,,27.71,27.71
03/11/2018 16.45,,,19.29,19.29
03/11/2018 17.00,,,19.65,19.65
03/11/2018 17.15,,,19.99,19.99
03/11/2018 17.30,,,19.79,19.79
03/11/2018 17.45,,,19.48,19.48
03/11/2018 18.00,,,19.62,19.62
03/11/2018 18.15,,,19.97,19.97
03/11/2018 18.30,,,19.72,19.72
03/11/2018 18.45,,,19.86,19.86
03/11/2018 19.00,,,17,17
03/11/2018 19.15,,,7.91,7.91
03/11/2018 19.30,,,7.83,7.83
03/11/2018 19.45,,,7.96,7.96
