,RATE A,RATE B,RATE C,Total
01/10/2018 00.15,,1.67,,1.67
01/10/2018 00.30,,1.57,,1.57
01/10/2018 00.45,,1.58,,1.58
01/10/2018 01.00,,1.57,,1.57
01/10/2018 01.15,,1.55,,1.55
01/10/2018 01.30,,1.64,,1.64
01/10/2018 01.45,,1.68,,1.68
01/10/2018 02.00,,1.6,,1.6
01/10/2018 02.15,,1.58,,1.58
01/10/2018 02.30,,1.58,,1.58
01/10/2018 02.45,,1.59,,1.59
01/10/2018 03.00,,1.6,,1.6
01/10/2018 03.15,,1.6,,1.6
01/10/2018 03.30,,1.56,,1.56
01/10/2018 03.45,,1.54,,1.54
01/10/2018 04.00,,1.55,,1.55
01/10/2018 04.15,,1.59,,1.59
01/10/2018 04.30,,1.62,,1.62
01/10/2018 04.45,,1.63,,1.63
01/10/2018 05.00,,1.58,,1.58
01/10/2018 05.15,,1.51,,1.51
01/10/2018 05.30,,1.55,,1.55
01/10/2018 05.45,,1.56,,1.56
01/10/2018 06.00,,1.53,,1.53
01/10/2018 06.15,,1.38,,1.38
01/10/2018 06.30,,1.33,,1.33
01/10/2018 06.45,,1.32,,1.32
01/10/2018 07.00,,1.27,,1.27
01/10/2018 07.15,,1.24,,1.24
01/10/2018 07.30,,1.12,,1.12
01/10/2018 07.45,,0.92,,0.92
01/10/2018 08.00,,1.17,,1.17
01/10/2018 08.15,,0.95,,0.95
01/10/2018 08.30,,0.79,,0.79
01/10/2018 08.45,,0.95,,0.95
01/10/2018 09.00,,1.14,,1.14
01/10/2018 09.15,0.77,,,0.77
01/10/2018 09.30,0.41,,,0.41
01/10/2018 09.45,0.53,,,0.53
01/10/2018 10.00,0.71,,,0.71
01/10/2018 10.15,0.93,,,0.93
01/10/2018 10.30,0.58,,,0.58
01/10/2018 10.45,1.09,,,1.09
01/10/2018 11.00,0.99,,,0.99
01/10/2018 11.15,0.9,,,0.9
01/10/2018 11.30,1.49,,,1.49
01/10/2018 11.45,1.62,,,1.62
01/10/2018 12.00,1.11,,,1.11
01/10/2018 12.15,1.31,,,1.31
01/10/2018 12.30,1.62,,,1.62
01/10/2018 12.45,1.58,,,1.58
01/10/2018 13.00,1.51,,,1.51
01/10/2018 13.15,2.36,,,2.36
01/10/2018 13.30,1.91,,,1.91
01/10/2018 13.45,1.79,,,1.79
01/10/2018 14.00,1.43,,,1.43
01/10/2018 14.15,1.93,,,1.93
01/10/2018 14.30,2.03,,,2.03
01/10/2018 14.45,1.77,,,1.77
01/10/2018 15.00,2.01,,,2.01
01/10/2018 15.15,2.64,,,2.64
01/10/2018 15.30,3.06,,,3.06
01/10/2018 15.45,2.97,,,2.97
01/10/2018 16.00,3.06,,,3.06
01/10/2018 16.15,3.2,,,3.2
01/10/2018 16.30,3.5,,,3.5
01/10/2018 16.45,3.49,,,3.49
01/10/2018 17.00,3.51,,,3.51
01/10/2018 17.15,3.33,,,3.33
01/10/2018 17.30,3.46,,,3.46
01/10/2018 17.45,3.48,,,3.48
01/10/2018 18.00,3.3,,,3.3
01/10/2018 18.15,3.26,,,3.26
01/10/2018 18.30,3.34,,,3.34
01/10/2018 18.45,3.46,,,3.46
01/10/2018 19.00,3.46,,,3.46
01/10/2018 19.15,3.51,,,3.51
01/10/2018 19.30,3.44,,,3.44
01/10/2018 19.45,3.75,,,3.75
01/10/2018 20.00,3.72,,,3.72
01/10/2018 20.15,3.67,,,3.67
01/10/2018 20.30,3.3,,,3.3
01/10/2018 20.45,3.63,,,3.63
01/10/2018 21.00,3.28,,,3.28
01/10/2018 21.15,2.63,,,2.63
01/10/2018 21.30,2.47,,,2.47
01/10/2018 21.45,2.37,,,2.37
01/10/2018 22.00,2.34,,,2.34
01/10/2018 22.15,,2.28,,2.28
01/10/2018 22.30,,2.02,,2.02
01/10/2018 22.45,,1.79,,1.79
01/10/2018 23.00,,1.78,,1.78
01/10/2018 23.15,,1.83,,1.83
01/10/2018 23.30,,1.75,,1.75
01/10/2018 23.45,,1.75,,1.75
01/10/2018 24.00,,1.8,,1.8
02/10/2018 00.15,,1.73,,1.73
02/10/2018 00.30,,1.66,,1.66
02/10/2018 00.45,,1.68,,1.68
02/10/2018 01.00,,1.63,,1.63
02/10/2018 01.15,,1.65,,1.65
02/10/2018 01.30,,1.65,,1.65
02/10/2018 01.45,,1.62,,1.62
02/10/2018 02.00,,1.57,,1.57
02/10/2018 02.15,,1.58,,1.58
02/10/2018 02.30,,1.56,,1.56
02/10/2018 02.45,,1.54,,1.54
02/10/2018 03.00,,1.57,,1.57
02/10/2018 03.15,,1.53,,1.53
02/10/2018 03.30,,1.53,,1.53
02/10/2018 03.45,,1.56,,1.56
02/10/2018 04.00,,1.53,,1.53
02/10/2018 04.15,,1.58,,1.58
02/10/2018 04.30,,1.55,,1.55
02/10/2018 04.45,,1.51,,1.51
02/10/2018 05.00,,1.51,,1.51
02/10/2018 05.15,,1.52,,1.52
02/10/2018 05.30,,1.49,,1.49
02/10/2018 05.45,,1.51,,1.51
02/10/2018 06.00,,1.44,,1.44
02/10/2018 06.15,,1.37,,1.37
02/10/2018 06.30,,1.39,,1.39
02/10/2018 06.45,,1.44,,1.44
02/10/2018 07.00,,1.42,,1.42
02/10/2018 07.15,,1.47,,1.47
02/10/2018 07.30,,1.47,,1.47
02/10/2018 07.45,,1.52,,1.52
02/10/2018 08.00,,1.78,,1.78
02/10/2018 08.15,,2.12,,2.12
02/10/2018 08.30,,2.25,,2.25
02/10/2018 08.45,,2.35,,2.35
02/10/2018 09.00,,2.32,,2.32
02/10/2018 09.15,2.24,,,2.24
02/10/2018 09.30,2.24,,,2.24
02/10/2018 09.45,2.12,,,2.12
02/10/2018 10.00,2.25,,,2.25
02/10/2018 10.15,2.38,,,2.38
02/10/2018 10.30,2.55,,,2.55
02/10/2018 10.45,2.52,,,2.52
02/10/2018 11.00,2.6,,,2.6
02/10/2018 11.15,2.7,,,2.7
02/10/2018 11.30,3,,,3
02/10/2018 11.45,2.98,,,2.98
02/10/2018 12.00,2.96,,,2.96
02/10/2018 12.15,2.84,,,2.84
02/10/2018 12.30,2.77,,,2.77
02/10/2018 12.45,2.85,,,2.85
02/10/2018 13.00,2.87,,,2.87
02/10/2018 13.15,2.62,,,2.62
02/10/2018 13.30,2.73,,,2.73
02/10/2018 13.45,2.58,,,2.58
02/10/2018 14.00,2.37,,,2.37
02/10/2018 14.15,2.28,,,2.28
02/10/2018 14.30,2.33,,,2.33
02/10/2018 14.45,2.61,,,2.61
02/10/2018 15.00,3.06,,,3.06
02/10/2018 15.15,3.66,,,3.66
02/10/2018 15.30,3.5,,,3.5
02/10/2018 15.45,3.39,,,3.39
02/10/2018 16.00,3.29,,,3.29
02/10/2018 16.15,3.27,,,3.27
02/10/2018 16.30,3.19,,,3.19
02/10/2018 16.45,3.09,,,3.09
02/10/2018 17.00,2.94,,,2.94
02/10/2018 17.15,2.81,,,2.81
02/10/2018 17.30,2.93,,,2.93
02/10/2018 17.45,3.02,,,3.02
02/10/2018 18.00,3.13,,,3.13
02/10/2018 18.15,3.39,,,3.39
02/10/2018 18.30,3.58,,,3.58
02/10/2018 18.45,3.72,,,3.72
02/10/2018 19.00,3.68,,,3.68
