,RATE A,RATE B,RATE C,Total
01/09/2018 00.15,,,1.63,1.63
01/09/2018 00.30,,,1.61,1.61
01/09/2018 00.45,,,1.62,1.62
01/09/2018 01.00,,,1.6,1.6
01/09/2018 01.15,,,1.65,1.65
01/09/2018 01.30,,,1.64,1.64
01/09/2018 01.45,,,1.59,1.59
01/09/2018 02.00,,,1.58,1.58
01/09/2018 02.15,,,1.62,1.62
01/09/2018 02.30,,,1.6,1.6
01/09/2018 02.45,,,1.63,1.63
01/09/2018 03.00,,,1.65,1.65
01/09/2018 03.15,,,1.56,1.56
01/09/2018 03.30,,,1.56,1.56
01/09/2018 03.45,,,1.6,1.6
01/09/2018 04.00,,,1.54,1.54
01/09/2018 04.15,,,1.59,1.59
01/09/2018 04.30,,,1.58,1.58
01/09/2018 04.45,,,1.56,1.56
01/09/2018 05.00,,,1.61,1.61
01/09/2018 05.15,,,1.54,1.54
01/09/2018 05.30,,,1.54,1.54
01/09/2018 05.45,,,1.54,1.54
01/09/2018 06.00,,,1.44,1.44
01/09/2018 06.15,,,1.42,1.42
01/09/2018 06.30,,,1.36,1.36
01/09/2018 06.45,,,1.29,1.29
01/09/2018 07.00,,,1.36,1.36
01/09/2018 07.15,,,1.28,1.28
01/09/2018 07.30,,,1.1,1.1
01/09/2018 07.45,,,1.01,1.01
01/09/2018 08.00,,,0.93,0.93
01/09/2018 08.15,,,0.67,0.67
01/09/2018 08.30,,,0.76,0.76
01/09/2018 08.45,,,0.54,0.54
01/09/2018 09.00,,,0.59,0.59
01/09/2018 09.15,,,1.46,1.46
01/09/2018 09.30,,,0.75,0.75
01/09/2018 09.45,,,0.81,0.81
01/09/2018 10.00,,,0.42,0.42
01/09/2018 10.15,,,0.5,0.5
01/09/2018 10.30,,,0.24,0.24
01/09/2018 10.45,,,0.31,0.31
01/09/2018 11.00,,,0.47,0.47
01/09/2018 11.15,,,0.68,0.68
01/09/2018 11.30,,,0.76,0.76
01/09/2018 11.45,,,0.88,0.88
01/09/2018 12.00,,,1.07,1.07
01/09/2018 12.15,,,0.93,0.93
01/09/2018 12.30,,,0.49,0.49
01/09/2018 12.45,,,0.39,0.39
01/09/2018 13.00,,,0.8,0.8
01/09/2018 13.15,,,0.92,0.92
01/09/2018 13.30,,,1.23,1.23
01/09/2018 13.45,,,1.69,1.69
01/09/2018 14.00,,,1.21,1.21
01/09/2018 14.15,,,0.98,0.98
01/09/2018 14.30,,,0.5,0.5
01/09/2018 14.45,,,0.32,0.32
01/09/2018 15.00,,,0.96,0.96
01/09/2018 15.15,,,1.05,1.05
01/09/2018 15.30,,,1.25,1.25
01/09/2018 15.45,,,1.5,1.5
01/09/2018 16.00,,,1.9,1.9
01/09/2018 16.15,,,1.71,1.71
01/09/2018 16.30,,,2.05,2.05
01/09/2018 16.45,,,2.13,2.13
01/09/2018 17.00,,,2.56,2.56
01/09/2018 17.15,,,2.52,2.52
01/09/2018 17.30,,,2.73,2.73
01/09/2018 17.45,,,2.62,2.62
01/09/2018 18.00,,,2.58,2.58
01/09/2018 18.15,,,2.56,2.56
01/09/2018 18.30,,,2.71,2.71
01/09/2018 18.45,,,2.61,2.61
01/09/2018 19.00,,,2.65,2.65
01/09/2018 19.15,,,2.76,2.76
01/09/2018 19.30,,,2.64,2.64
01/09/2018 19.45,,,2.49,2.49
01/09/2018 20.00,,,2.41,2.41
01/09/2018 20.15,,,2.47,2.47
01/09/2018 20.30,,,2.5,2.5
01/09/2018 20.45,,,2.54,2.54
01/09/2018 21.00,,,2.13,2.13
01/09/2018 21.15,,,1.81,1.81
01/09/2018 21.30,,,1.84,1.84
01/09/2018 21.45,,,1.86,1.86
01/09/2018 22.00,,,1.74,1.74
01/09/2018 22.15,,,1.71,1.71
01/09/2018 22.30,,,1.74,1.74
01/09/2018 22.45,,,1.77,1.77
01/09/2018 23.00,,,1.76,1.76
01/09/2018 23.15,,,1.73,1.73
01/09/2018 23.30,,,1.68,1.68
01/09/2018 23.45,,,1.71,1.71
01/09/2018 24.00,,,1.72,1.72
02/09/2018 00.15,,,1.65,1.65
02/09/2018 00.30,,,1.56,1.56
02/09/2018 00.45,,,1.6,1.6
