"DateTime","PV Installed","Energy Yield","Co2 Avoidance","Save Money"
"(YYYY-MM-DD HH:MM)","(kWp)","(kWh)","(kg./year)","(Baht)"
"2018-06-01 00:15",167.40,0.00,0.00,0.00
"2018-06-01 00:30",167.40,0.00,0.00,0.02
"2018-06-01 00:45",167.40,0.00,0.00,0.00
"2018-06-01 01:00",167.40,0.00,0.00,0.02
"2018-06-01 01:15",167.40,0.00,0.00,0.00
"2018-06-01 01:30",167.40,0.00,0.00,0.02
"2018-06-01 01:45",167.40,0.00,0.00,0.00
"2018-06-01 02:00",167.40,0.00,0.00,0.02
"2018-06-01 02:15",167.40,0.00,0.00,0.00
"2018-06-01 02:30",167.40,0.00,0.00,0.02
"2018-06-01 02:45",167.40,0.00,0.00,0.00
"2018-06-01 03:00",167.40,0.00,0.00,0.02
"2018-06-01 03:15",167.40,0.00,0.00,0.00
"2018-06-01 03:30",167.40,0.00,0.00,0.02
"2018-06-01 03:45",167.40,0.00,0.00,0.00
"2018-06-01 04:00",167.40,0.00,0.00,0.02
"2018-06-01 04:15",167.40,0.00,0.00,0.00
"2018-06-01 04:30",167.40,0.00,0.00,0.02
"2018-06-01 04:45",167.40,0.00,0.00,0.00
"2018-06-01 05:00",167.40,0.00,0.00,0.02
"2018-06-01 05:15",167.40,0.00,0.00,0.00
"2018-06-01 05:30",167.40,0.00,0.00,0.02
"2018-06-01 05:45",167.40,0.00,0.00,0.02
"2018-06-01 06:00",167.40,0.44,0.25,1.85
"2018-06-01 06:15",167.40,0.93,0.52,3.92
"2018-06-01 06:30",167.40,1.06,0.59,4.45
"2018-06-01 06:45",167.40,1.38,0.77,5.79
"2018-06-01 07:00",167.40,2.22,1.24,9.33
"2018-06-01 07:15",167.40,2.97,1.67,12.51
"2018-06-01 07:30",167.40,4.10,2.30,17.24
"2018-06-01 07:45",167.40,5.67,3.18,23.86
"2018-06-01 08:00",167.40,6.70,3.76,28.19
"2018-06-01 08:15",167.40,8.86,4.97,37.28
"2018-06-01 08:30",167.40,8.88,4.98,37.37
"2018-06-01 08:45",167.40,11.16,6.26,47.00
"2018-06-01 09:00",167.40,13.73,7.70,57.79
"2018-06-01 09:15",167.40,13.94,7.82,58.68
"2018-06-01 09:30",167.40,14.91,8.37,62.78
"2018-06-01 09:45",167.40,15.21,8.53,64.04
"2018-06-01 10:00",167.40,15.68,8.80,66.02
"2018-06-01 10:15",167.40,16.44,9.22,69.19
"2018-06-01 10:30",167.40,16.52,9.27,69.53
"2018-06-01 10:45",167.40,16.19,9.08,68.16
"2018-06-01 11:00",167.40,17.79,9.98,74.90
"2018-06-01 11:15",167.40,22.87,12.83,96.28
"2018-06-01 11:30",167.40,25.94,14.55,109.20
"2018-06-01 11:45",167.40,28.74,16.12,120.97
"2018-06-01 12:00",167.40,25.06,14.06,105.51
"2018-06-01 12:15",167.40,26.97,15.13,113.53
"2018-06-01 12:30",167.40,22.32,12.52,93.94
"2018-06-01 12:45",167.40,20.86,11.70,87.83
"2018-06-01 13:00",167.40,20.02,11.23,84.30
"2018-06-01 13:15",167.40,21.51,12.07,90.54
"2018-06-01 13:30",167.40,28.76,16.14,121.09
"2018-06-01 13:45",167.40,28.32,15.89,119.20
"2018-06-01 14:00",167.40,26.02,14.60,109.54
"2018-06-01 14:15",167.40,24.67,13.84,103.84
"2018-06-01 14:30",167.40,20.94,11.75,88.17
"2018-06-01 14:45",167.40,19.68,11.04,82.85
"2018-06-01 15:00",167.40,17.70,9.93,74.51
"2018-06-01 15:15",167.40,13.28,7.45,55.89
"2018-06-01 15:30",167.40,11.62,6.52,48.90
"2018-06-01 15:45",167.40,7.24,4.06,30.46
"2018-06-01 16:00",167.40,4.39,2.46,18.47
"2018-06-01 16:15",167.40,4.19,2.35,17.63
"2018-06-01 16:30",167.40,3.30,1.85,13.91
"2018-06-01 16:45",167.40,1.87,1.05,7.86
"2018-06-01 17:00",167.40,1.26,0.71,5.30
"2018-06-01 17:15",167.40,1.09,0.61,4.58
"2018-06-01 17:30",167.40,1.01,0.57,4.24
"2018-06-01 17:45",167.40,0.83,0.47,3.50
