"DateTime","PV Installed","Energy Yield","Co2 Avoidance","Save Money"
"(YYYY-MM-DD HH:MM)","(kWp)","(kWh)","(kg./year)","(Baht)"
"2018-03-01 00:15",167.40,0.00,0.00,0.00
"2018-03-01 00:30",167.40,0.00,0.00,0.00
"2018-03-01 00:45",167.40,0.00,0.00,0.00
"2018-03-01 01:00",167.40,0.00,0.00,0.00
"2018-03-01 01:15",167.40,0.00,0.00,0.00
"2018-03-01 01:30",167.40,0.00,0.00,0.00
"2018-03-01 01:45",167.40,0.00,0.00,0.00
"2018-03-01 02:00",167.40,0.00,0.00,0.00
"2018-03-01 02:15",167.40,0.00,0.00,0.00
"2018-03-01 02:30",167.40,0.00,0.00,0.00
"2018-03-01 02:45",167.40,0.00,0.00,0.00
"2018-03-01 03:00",167.40,0.00,0.00,0.00
"2018-03-01 03:15",167.40,0.00,0.00,0.00
"2018-03-01 03:30",167.40,0.00,0.00,0.00
"2018-03-01 03:45",167.40,0.00,0.00,0.00
"2018-03-01 04:00",167.40,0.00,0.00,0.00
"2018-03-01 04:15",167.40,0.00,0.00,0.00
"2018-03-01 04:30",167.40,0.00,0.00,0.00
"2018-03-01 04:45",167.40,0.00,0.00,0.00
"2018-03-01 05:00",167.40,0.00,0.00,0.00
"2018-03-01 05:15",167.40,0.00,0.00,0.00
"2018-03-01 05:30",167.40,0.00,0.00,0.00
"2018-03-01 05:45",167.40,0.00,0.00,0.00
"2018-03-01 06:00",167.40,0.00,0.00,0.00
"2018-03-01 06:15",167.40,0.00,0.00,0.00
"2018-03-01 06:30",167.40,0.00,0.00,0.00
"2018-03-01 06:45",167.40,0.00,0.00,0.00
"2018-03-01 07:00",167.40,0.00,0.00,0.00
"2018-03-01 07:15",167.40,0.00,0.00,0.00
"2018-03-01 07:30",167.40,0.00,0.00,0.00
"2018-03-01 07:45",167.40,0.00,0.00,0.00
"2018-03-01 08:00",167.40,0.00,0.00,0.00
"2018-03-01 08:15",167.40,0.00,0.00,0.00
"2018-03-01 08:30",167.40,0.00,0.00,0.00
"2018-03-01 08:45",167.40,0.00,0.00,0.00
"2018-03-01 09:00",167.40,0.00,0.00,0.00
"2018-03-01 09:15",167.40,0.00,0.00,0.00
"2018-03-01 09:30",167.40,0.00,0.00,0.00
"2018-03-01 09:45",167.40,0.00,0.00,0.00
"2018-03-01 10:00",167.40,0.00,0.00,0.00
"2018-03-01 10:15",167.40,0.00,0.00,0.00
"2018-03-01 10:30",167.40,0.00,0.00,0.00
"2018-03-01 10:45",167.40,0.00,0.00,0.00
"2018-03-01 11:00",167.40,0.00,0.00,0.00
"2018-03-01 11:15",167.40,0.00,0.00,0.00
"2018-03-01 11:30",167.40,0.00,0.00,0.00
"2018-03-01 11:45",167.40,0.00,0.00,0.00
"2018-03-01 12:00",167.40,0.00,0.00,0.00
"2018-03-01 12:15",167.40,0.00,0.00,0.00
"2018-03-01 12:30",167.40,0.00,0.00,0.00
"2018-03-01 12:45",167.40,0.00,0.00,0.00
"2018-03-01 13:00",167.40,0.00,0.00,0.00
"2018-03-01 13:15",167.40,0.00,0.00,0.00
"2018-03-01 13:30",167.40,0.00,0.00,0.00
"2018-03-01 13:45",167.40,0.00,0.00,0.00
"2018-03-01 14:00",167.40,0.00,0.00,0.00
"2018-03-01 14:15",167.40,0.00,0.00,0.00
"2018-03-01 14:30",167.40,0.00,0.00,0.00
"2018-03-01 14:45",167.40,0.00,0.00,0.00
"2018-03-01 15:00",167.40,0.00,0.00,0.00
"2018-03-01 15:15",167.40,0.00,0.00,0.00
"2018-03-01 15:30",167.40,0.00,0.00,0.00
"2018-03-01 15:45",167.40,0.00,0.00,0.00
"2018-03-01 16:00",167.40,0.00,0.00,0.00
"2018-03-01 16:15",167.40,0.00,0.00,0.00
"2018-03-01 16:30",167.40,0.00,0.00,0.00
"2018-03-01 16:45",167.40,0.00,0.00,0.00
"2018-03-01 17:00",167.40,0.00,0.00,0.00
"2018-03-01 17:15",167.40,0.00,0.00,0.00
"2018-03-01 17:30",167.40,0.00,0.00,0.00
"2018-03-01 17:45",167.40,0.00,0.00,0.00
"2018-03-01 18:00",167.40,0.00,0.00,0.00
"2018-03-01 18:15",167.40,0.00,0.00,0.00
"2018-03-01 18:30",167.40,0.00,0.00,0.00
"2018-03-01 18:45",167.40,0.00,0.00,0.00
"2018-03-01 19:00",167.40,0.00,0.00,0.00
"2018-03-01 19:15",167.40,0.00,0.00,0.00
"2018-03-01 19:30",167.40,0.00,0.00,0.00
"2018-03-01 19:45",167.40,0.00,0.00,0.00
"2018-03-01 20:00",167.40,0.00,0.00,0.00
"2018-03-01 20:15",167.40,0.00,0.00,0.00
"2018-03-01 20:30",167.40,0.00,0.00,0.00
"2018-03-01 20:45",167.40,0.00,0.00,0.00
"2018-03-01 21:00",167.40,0.00,0.00,0.00
"2018-03-01 21:15",167.40,0.00,0.00,0.00
"2018-03-01 21:30",167.40,0.00,0.00,0.00
"2018-03-01 21:45",167.40,0.00,0.00,0.00
"2018-03-01 22:00",167.40,0.00,0.00,0.00
"2018-03-01 22:15",167.40,0.00,0.00,0.00
"2018-03-01 22:30",167.40,0.00,0.00,0.00
"2018-03-01 22:45",167.40,0.00,0.00,0.00
"2018-03-01 23:00",167.40,0.00,0.00,0.00
"2018-03-01 23:15",167.40,0.00,0.00,0.00
"2018-03-01 23:30",167.40,0.00,0.00,0.00
"2018-03-01 23:45",167.40,0.00,0.00,0.00
"2018-03-02 00:00",167.40,0.00,0.00,0.00
"2018-03-02 00:15",167.40,0.00,0.00,0.00
"2018-03-02 00:30",167.40,0.00,0.00,0.00
"2018-03-02 00:45",167.40,0.00,0.00,0.00
"2018-03-02 01:00",167.40,0.00,0.00,0.00
"2018-03-02 01:15",167.40,0.00,0.00,0.00
"2018-03-02 01:30",167.40,0.00,0.00,0.00
"2018-03-02 01:45",167.40,0.00,0.00,0.00
"2018-03-02 02:00",167.40,0.00,0.00,0.00
"2018-03-02 02:15",167.40,0.00,0.00,0.00
"2018-03-02 02:30",167.40,0.00,0.00,0.00
"2018-03-02 02:45",167.40,0.00,0.00,0.00
"2018-03-02 03:00",167.40,0.00,0.00,0.00
"2018-03-02 03:15",167.40,0.00,0.00,0.00
"2018-03-02 03:30",167.40,0.00,0.00,0.00
"2018-03-02 03:45",167.40,0.00,0.00,0.00
"2018-03-02 04:00",167.40,0.00,0.00,0.00
"2018-03-02 04:15",167.40,0.00,0.00,0.00
"2018-03-02 04:30",167.40,0.00,0.00,0.00
"2018-03-02 04:45",167.40,0.00,0.00,0.00
"2018-03-02 05:00",167.40,0.00,0.00,0.00
"2018-03-02 05:15",167.40,0.00,0.00,0.00
"2018-03-02 05:30",167.40,0.00,0.00,0.00
"2018-03-02 05:45",167.40,0.00,0.00,0.00
"2018-03-02 06:00",167.40,0.00,0.00,0.00
