"DateTime","PV Installed","Energy Yield","Co2 Avoidance","Save Money"
"(YYYY-MM-DD HH:MM)","(kWp)","(kWh)","(kg./year)","(Baht)"
"2018-09-01 00:15",167.40,0.00,0.00,0.00
"2018-09-01 00:30",167.40,0.01,0.00,0.03
"2018-09-01 00:45",167.40,0.00,0.00,0.00
"2018-09-01 01:00",167.40,0.00,0.00,0.00
"2018-09-01 01:15",167.40,0.01,0.00,0.03
"2018-09-01 01:30",167.40,0.00,0.00,0.00
"2018-09-01 01:45",167.40,0.00,0.00,0.00
"2018-09-01 02:00",167.40,0.00,0.00,0.00
"2018-09-01 02:15",167.40,0.01,0.00,0.03
"2018-09-01 02:30",167.40,0.00,0.00,0.00
"2018-09-01 02:45",167.40,0.00,0.00,0.00
"2018-09-01 03:00",167.40,0.01,0.00,0.03
"2018-09-01 03:15",167.40,0.00,0.00,0.00
"2018-09-01 03:30",167.40,0.00,0.00,0.00
"2018-09-01 03:45",167.40,0.00,0.00,0.00
"2018-09-01 04:00",167.40,0.01,0.00,0.03
"2018-09-01 04:15",167.40,0.00,0.00,0.00
"2018-09-01 04:30",167.40,0.00,0.00,0.00
"2018-09-01 04:45",167.40,0.01,0.00,0.03
"2018-09-01 05:00",167.40,0.00,0.00,0.00
"2018-09-01 05:15",167.40,0.00,0.00,0.00
"2018-09-01 05:30",167.40,0.00,0.00,0.00
"2018-09-01 05:45",167.40,0.01,0.00,0.03
"2018-09-01 06:00",167.40,0.04,0.02,0.17
"2018-09-01 06:15",167.40,0.68,0.38,2.86
"2018-09-01 06:30",167.40,1.61,0.90,6.77
"2018-09-01 06:45",167.40,3.74,2.10,15.76
"2018-09-01 07:00",167.40,4.95,2.78,20.85
"2018-09-01 07:15",167.40,9.55,5.36,40.21
"2018-09-01 07:30",167.40,10.78,6.05,45.36
"2018-09-01 07:45",167.40,12.68,7.11,53.38
"2018-09-01 08:00",167.40,14.25,7.99,59.98
"2018-09-01 08:15",167.40,16.06,9.01,67.62
"2018-09-01 08:30",167.40,17.58,9.86,74.02
"2018-09-01 08:45",167.40,19.64,11.02,82.68
"2018-09-01 09:00",167.40,19.38,10.87,81.60
"2018-09-01 09:15",167.40,22.15,12.43,93.25
"2018-09-01 09:30",167.40,21.18,11.88,89.14
"2018-09-01 09:45",167.40,26.14,14.67,110.06
"2018-09-01 10:00",167.40,23.06,12.93,97.06
"2018-09-01 10:15",167.40,22.85,12.82,96.18
"2018-09-01 10:30",167.40,27.50,15.43,115.75
"2018-09-01 10:45",167.40,28.77,16.14,121.10
"2018-09-01 11:00",167.40,29.86,16.75,125.68
"2018-09-01 11:15",167.40,30.50,17.11,128.38
"2018-09-01 11:30",167.40,31.21,17.51,131.38
"2018-09-01 11:45",167.40,22.57,12.66,95.00
