,RATE A,RATE B,RATE C,Total
 01/12/2018 00.15,,,190.92,190.92
 01/12/2018 00.30,,,197.37,197.37
 01/12/2018 00.45,,,197.7,197.7
 01/12/2018 01.00,,,200.18,200.18
 01/12/2018 01.15,,,195.12,195.12
 01/12/2018 01.30,,,191.68,191.68
 01/12/2018 01.45,,,186.15,186.15
 01/12/2018 02.00,,,189.99,189.99
 01/12/2018 02.15,,,184.96,184.96
 01/12/2018 02.30,,,185.08,185.08
 01/12/2018 02.45,,,182.28,182.28
 01/12/2018 03.00,,,181.83,181.83
 01/12/2018 03.15,,,179.18,179.18
 01/12/2018 03.30,,,180.05,180.05
 01/12/2018 03.45,,,177.96,177.96
 01/12/2018 04.00,,,173.54,173.54
 01/12/2018 04.15,,,172.18,172.18
 01/12/2018 04.30,,,171.83,171.83
 01/12/2018 04.45,,,166.36,166.36
 01/12/2018 05.00,,,163.39,163.39
 01/12/2018 05.15,,,159.81,159.81
 01/12/2018 05.30,,,157.84,157.84
 01/12/2018 05.45,,,156.04,156.04
 01/12/2018 06.00,,,154.34,154.34
 01/12/2018 06.15,,,152.33,152.33
 01/12/2018 06.30,,,143.44,143.44
 01/12/2018 06.45,,,136.54,136.54
 01/12/2018 07.00,,,134.04,134.04
 01/12/2018 07.15,,,124.77,124.77
 01/12/2018 07.30,,,119.06,119.06
 01/12/2018 07.45,,,110.8,110.8
 01/12/2018 08.00,,,106.93,106.93
 01/12/2018 08.15,,,104.67,104.67
 01/12/2018 08.30,,,102.88,102.88
 01/12/2018 08.45,,,95.99,95.99
 01/12/2018 09.00,,,97.95,97.95
 01/12/2018 09.15,,,103.14,103.14
 01/12/2018 09.30,,,96.53,96.53
 01/12/2018 09.45,,,83.56,83.56
 01/12/2018 10.00,,,77.83,77.83
 01/12/2018 10.15,,,78.93,78.93
 01/12/2018 10.30,,,75.85,75.85
 01/12/2018 10.45,,,69.83,69.83
 01/12/2018 11.00,,,70.59,70.59
 01/12/2018 11.15,,,72.69,72.69
 01/12/2018 11.30,,,70.67,70.67
 01/12/2018 11.45,,,66.45,66.45
 01/12/2018 12.00,,,64.19,64.19
 01/12/2018 12.15,,,59.71,59.71
 01/12/2018 12.30,,,80.99,80.99
 01/12/2018 12.45,,,78,78
 01/12/2018 13.00,,,82.91,82.91
 01/12/2018 13.15,,,88.9,88.9
 01/12/2018 13.30,,,54.75,54.75
 01/12/2018 13.45,,,56.29,56.29
 01/12/2018 14.00,,,68.53,68.53
 01/12/2018 14.15,,,74.98,74.98
 01/12/2018 14.30,,,69.96,69.96
 01/12/2018 14.45,,,76.83,76.83
 01/12/2018 15.00,,,76.41,76.41
 01/12/2018 15.15,,,78.53,78.53
 01/12/2018 15.30,,,72.32,72.32
 01/12/2018 15.45,,,73.77,73.77
 01/12/2018 16.00,,,76.12,76.12
 01/12/2018 16.15,,,85.32,85.32
 01/12/2018 16.30,,,91.16,91.16
 01/12/2018 16.45,,,93.85,93.85
 01/12/2018 17.00,,,93.53,93.53
 01/12/2018 17.15,,,88.78,88.78
 01/12/2018 17.30,,,86.88,86.88
 01/12/2018 17.45,,,89.91,89.91
 01/12/2018 18.00,,,101.25,101.25
 01/12/2018 18.15,,,102.41,102.41
 01/12/2018 18.30,,,112.59,112.59
 01/12/2018 18.45,,,114.07,114.07
 01/12/2018 19.00,,,111.7,111.7
 01/12/2018 19.15,,,111.27,111.27
 01/12/2018 19.30,,,112.93,112.93
 01/12/2018 19.45,,,109.77,109.77
 01/12/2018 20.00,,,112.91,112.91
 01/12/2018 20.15,,,117.06,117.06
 01/12/2018 20.30,,,118.17,118.17
 01/12/2018 20.45,,,126.59,126.59
 01/12/2018 21.00,,,128.3,128.3
 01/12/2018 21.15,,,133.1,133.1
 01/12/2018 21.30,,,131.7,131.7
 01/12/2018 21.45,,,132.35,132.35
 01/12/2018 22.00,,,136.49,136.49
 01/12/2018 22.15,,,140.17,140.17
 01/12/2018 22.30,,,146.31,146.31
 01/12/2018 22.45,,,146.36,146.36
 01/12/2018 23.00,,,149.88,149.88
 01/12/2018 23.15,,,157.59,157.59
 01/12/2018 23.30,,,165.94,165.94
 01/12/2018 23.45,,,166.18,166.18
 01/12/2018 24.00,,,175.04,175.04
 02/12/2018 00.15,,,176.63,176.63
 02/12/2018 00.30,,,182.23,182.23
 02/12/2018 00.45,,,186.75,186.75
 02/12/2018 01.00,,,191.17,191.17
 02/12/2018 01.15,,,194.57,194.57
 02/12/2018 01.30,,,191.28,191.28
 02/12/2018 01.45,,,191.2,191.2
 02/12/2018 02.00,,,189.68,189.68
 02/12/2018 02.15,,,194.25,194.25
 02/12/2018 02.30,,,192.52,192.52
 02/12/2018 02.45,,,190.33,190.33
 02/12/2018 03.00,,,188.78,188.78
 02/12/2018 03.15,,,185.52,185.52
 02/12/2018 03.30,,,182.89,182.89
 02/12/2018 03.45,,,181.36,181.36
 02/12/2018 04.00,,,180.07,180.07
 02/12/2018 04.15,,,177.92,177.92
 02/12/2018 04.30,,,176.67,176.67
 02/12/2018 04.45,,,174.83,174.83
 02/12/2018 05.00,,,176.83,176.83
 02/12/2018 05.15,,,173.71,173.71
 02/12/2018 05.30,,,174.15,174.15
 02/12/2018 05.45,,,164.73,164.73
 02/12/2018 06.00,,,160.52,160.52
 02/12/2018 06.15,,,157.75,157.75
 02/12/2018 06.30,,,152.14,152.14
 02/12/2018 06.45,,,143.57,143.57
 02/12/2018 07.00,,,137.81,137.81
 02/12/2018 07.15,,,132.56,132.56
 02/12/2018 07.30,,,128.96,128.96
 02/12/2018 07.45,,,125.64,125.64
 02/12/2018 08.00,,,120.15,120.15
 02/12/2018 08.15,,,114.02,114.02
 02/12/2018 08.30,,,109.48,109.48
 02/12/2018 08.45,,,100.33,100.33
 02/12/2018 09.00,,,94.07,94.07
 02/12/2018 09.15,,,87.88,87.88
 02/12/2018 09.30,,,94.72,94.72
 02/12/2018 09.45,,,85.96,85.96
 02/12/2018 10.00,,,91.12,91.12
 02/12/2018 10.15,,,83.66,83.66
 02/12/2018 10.30,,,83.06,83.06
 02/12/2018 10.45,,,76.3,76.3
 02/12/2018 11.00,,,61.43,61.43
 02/12/2018 11.15,,,60.72,60.72
 02/12/2018 11.30,,,60.4,60.4
 02/12/2018 11.45,,,53.13,53.13
 02/12/2018 12.00,,,59.95,59.95
 02/12/2018 12.15,,,76.24,76.24
 02/12/2018 12.30,,,48.67,48.67
 02/12/2018 12.45,,,67.04,67.04
 02/12/2018 13.00,,,58.09,58.09
 02/12/2018 13.15,,,82.41,82.41
 02/12/2018 13.30,,,67.4,67.4
 02/12/2018 13.45,,,68.06,68.06
 02/12/2018 14.00,,,58.04,58.04
 02/12/2018 14.15,,,64.25,64.25
 02/12/2018 14.30,,,67.25,67.25
 02/12/2018 14.45,,,77.58,77.58
 02/12/2018 15.00,,,80.48,80.48
 02/12/2018 15.15,,,68.82,68.82
 02/12/2018 15.30,,,74.24,74.24
 02/12/2018 15.45,,,83.38,83.38
 02/12/2018 16.00,,,90.24,90.24
 02/12/2018 16.15,,,91.01,91.01
 02/12/2018 16.30,,,90.37,90.37
 02/12/2018 16.45,,,86.43,86.43
 02/12/2018 17.00,,,85.75,85.75
 02/12/2018 17.15,,,90.33,90.33
 02/12/2018 17.30,,,90.3,90.3
 02/12/2018 17.45,,,97.46,97.46
 02/12/2018 18.00,,,108.15,108.15
 02/12/2018 18.15,,,114.48,114.48
 02/12/2018 18.30,,,115.7,115.7
 02/12/2018 18.45,,,121.19,121.19
 02/12/2018 19.00,,,121.52,121.52
 02/12/2018 19.15,,,114.48,114.48
 02/12/2018 19.30,,,113.3,113.3
 02/12/2018 19.45,,,113.48,113.48
 02/12/2018 20.00,,,117.17,117.17
 02/12/2018 20.15,,,119.81,119.81
 02/12/2018 20.30,,,131.72,131.72
 02/12/2018 20.45,,,145.47,145.47
 02/12/2018 21.00,,,140.97,140.97
 02/12/2018 21.15,,,145.44,145.44
 02/12/2018 21.30,,,144.6,144.6
 02/12/2018 21.45,,,149.36,149.36
 02/12/2018 22.00,,,155.73,155.73
 02/12/2018 22.15,,,162.07,162.07
 02/12/2018 22.30,,,169.51,169.51
 02/12/2018 22.45,,,172.07,172.07
 02/12/2018 23.00,,,178.99,178.99
 02/12/2018 23.15,,,192.91,192.91
 02/12/2018 23.30,,,192.68,192.68
 02/12/2018 23.45,,,200.33,200.33
 02/12/2018 24.00,,,203.2,203.2
 03/12/2018 00.15,,202.54,,202.54
 03/12/2018 00.30,,205.91,,205.91
 03/12/2018 00.45,,212.42,,212.42
 03/12/2018 01.00,,217.39,,217.39
 03/12/2018 01.15,,212.7,,212.7
 03/12/2018 01.30,,213.45,,213.45
 03/12/2018 01.45,,214.37,,214.37
 03/12/2018 02.00,,213.47,,213.47
 03/12/2018 02.15,,210.66,,210.66
