,RATE A,RATE B,RATE C,Total
01/04/2018 00.15,,,117.98,117.98
01/04/2018 00.30,,,119.36,119.36
01/04/2018 00.45,,,122.33,122.33
01/04/2018 01.00,,,125.12,125.12
01/04/2018 01.15,,,127.98,127.98
01/04/2018 01.30,,,125.23,125.23
01/04/2018 01.45,,,124.91,124.91
01/04/2018 02.00,,,121.44,121.44
01/04/2018 02.15,,,120.07,120.07
01/04/2018 02.30,,,120.69,120.69
01/04/2018 02.45,,,117.02,117.02
01/04/2018 03.00,,,115.56,115.56
01/04/2018 03.15,,,116.14,116.14
01/04/2018 03.30,,,113.8,113.8
01/04/2018 03.45,,,112.99,112.99
01/04/2018 04.00,,,112.01,112.01
01/04/2018 04.15,,,112.7,112.7
01/04/2018 04.30,,,109.53,109.53
01/04/2018 04.45,,,106.17,106.17
01/04/2018 05.00,,,105.25,105.25
01/04/2018 05.15,,,106.44,106.44
01/04/2018 05.30,,,107.28,107.28
01/04/2018 05.45,,,105.4,105.4
01/04/2018 06.00,,,103.57,103.57
01/04/2018 06.15,,,103.85,103.85
01/04/2018 06.30,,,102.86,102.86
01/04/2018 06.45,,,97.16,97.16
01/04/2018 07.00,,,94.11,94.11
01/04/2018 07.15,,,90.69,90.69
01/04/2018 07.30,,,89.11,89.11
01/04/2018 07.45,,,87.56,87.56
01/04/2018 08.00,,,85.72,85.72
01/04/2018 08.15,,,84.19,84.19
01/04/2018 08.30,,,83.06,83.06
01/04/2018 08.45,,,80.09,80.09
01/04/2018 09.00,,,80.79,80.79
01/04/2018 09.15,,,80.72,80.72
01/04/2018 09.30,,,79.87,79.87
01/04/2018 09.45,,,77.48,77.48
01/04/2018 10.00,,,73.91,73.91
01/04/2018 10.15,,,70.93,70.93
01/04/2018 10.30,,,71.01,71.01
01/04/2018 10.45,,,70.51,70.51
01/04/2018 11.00,,,67.96,67.96
01/04/2018 11.15,,,65.35,65.35
01/04/2018 11.30,,,65.67,65.67
01/04/2018 11.45,,,59.93,59.93
01/04/2018 12.00,,,61.3,61.3
01/04/2018 12.15,,,59.54,59.54
01/04/2018 12.30,,,62.75,62.75
01/04/2018 12.45,,,64.5,64.5
01/04/2018 13.00,,,63.71,63.71
01/04/2018 13.15,,,67.12,67.12
01/04/2018 13.30,,,68.8,68.8
01/04/2018 13.45,,,65.04,65.04
01/04/2018 14.00,,,62.54,62.54
01/04/2018 14.15,,,64.75,64.75
01/04/2018 14.30,,,62.92,62.92
01/04/2018 14.45,,,64.87,64.87
01/04/2018 15.00,,,63.88,63.88
01/04/2018 15.15,,,62.79,62.79
01/04/2018 15.30,,,62.17,62.17
01/04/2018 15.45,,,66.32,66.32
01/04/2018 16.00,,,67.54,67.54
01/04/2018 16.15,,,68.38,68.38
01/04/2018 16.30,,,71.77,71.77
01/04/2018 16.45,,,75.88,75.88
01/04/2018 17.00,,,78.85,78.85
01/04/2018 17.15,,,77.53,77.53
01/04/2018 17.30,,,79.25,79.25
01/04/2018 17.45,,,81.2,81.2
01/04/2018 18.00,,,81.98,81.98
01/04/2018 18.15,,,82.87,82.87
01/04/2018 18.30,,,83.4,83.4
01/04/2018 18.45,,,83.99,83.99
01/04/2018 19.00,,,82.17,82.17
01/04/2018 19.15,,,85.04,85.04
01/04/2018 19.30,,,88.66,88.66
01/04/2018 19.45,,,90.09,90.09
01/04/2018 20.00,,,91.4,91.4
01/04/2018 20.15,,,97.62,97.62
01/04/2018 20.30,,,99.62,99.62
01/04/2018 20.45,,,101.49,101.49
01/04/2018 21.00,,,104.7,104.7
01/04/2018 21.15,,,105.94,105.94
01/04/2018 21.30,,,115.17,115.17
01/04/2018 21.45,,,117.48,117.48
01/04/2018 22.00,,,122.11,122.11
01/04/2018 22.15,,,128.7,128.7
01/04/2018 22.30,,,136.91,136.91
01/04/2018 22.45,,,136.89,136.89
01/04/2018 23.00,,,139.3,139.3
01/04/2018 23.15,,,142.89,142.89
01/04/2018 23.30,,,145.06,145.06
01/04/2018 23.45,,,148.78,148.78
01/04/2018 24.00,,,154.7,154.7
02/04/2018 00.15,,157.36,,157.36
02/04/2018 00.30,,160.7,,160.7
02/04/2018 00.45,,162.12,,162.12
02/04/2018 01.00,,165.51,,165.51
02/04/2018 01.15,,162.72,,162.72
02/04/2018 01.30,,158.84,,158.84
02/04/2018 01.45,,157.26,,157.26
02/04/2018 02.00,,151.31,,151.31
02/04/2018 02.15,,148.36,,148.36
02/04/2018 02.30,,147.56,,147.56
02/04/2018 02.45,,145.3,,145.3
02/04/2018 03.00,,138.65,,138.65
02/04/2018 03.15,,136.39,,136.39
02/04/2018 03.30,,135.17,,135.17
02/04/2018 03.45,,133.01,,133.01
02/04/2018 04.00,,133.28,,133.28
02/04/2018 04.15,,129.6,,129.6
02/04/2018 04.30,,126.6,,126.6
02/04/2018 04.45,,124.85,,124.85
02/04/2018 05.00,,122.69,,122.69
02/04/2018 05.15,,125.98,,125.98
02/04/2018 05.30,,122.52,,122.52
02/04/2018 05.45,,121.28,,121.28
02/04/2018 06.00,,122.36,,122.36
02/04/2018 06.15,,122.85,,122.85
02/04/2018 06.30,,121.65,,121.65
02/04/2018 06.45,,113.56,,113.56
02/04/2018 07.00,,114.82,,114.82
02/04/2018 07.15,,115.11,,115.11
02/04/2018 07.30,,115.72,,115.72
02/04/2018 07.45,,118.41,,118.41
02/04/2018 08.00,,119.44,,119.44
02/04/2018 08.15,,126.2,,126.2
02/04/2018 08.30,,118.49,,118.49
02/04/2018 08.45,,121.8,,121.8
02/04/2018 09.00,,116.93,,116.93
02/04/2018 09.15,110.3,,,110.3
02/04/2018 09.30,101.95,,,101.95
02/04/2018 09.45,91.45,,,91.45
02/04/2018 10.00,93.24,,,93.24
02/04/2018 10.15,92.11,,,92.11
02/04/2018 10.30,89.33,,,89.33
02/04/2018 10.45,83.09,,,83.09
02/04/2018 11.00,82.66,,,82.66
02/04/2018 11.15,83.12,,,83.12
02/04/2018 11.30,83.27,,,83.27
02/04/2018 11.45,82.16,,,82.16
02/04/2018 12.00,77.12,,,77.12
02/04/2018 12.15,73.2,,,73.2
02/04/2018 12.30,75.06,,,75.06
02/04/2018 12.45,78.19,,,78.19
02/04/2018 13.00,75.67,,,75.67
02/04/2018 13.15,72.62,,,72.62
02/04/2018 13.30,73.06,,,73.06
02/04/2018 13.45,68.61,,,68.61
02/04/2018 14.00,73.35,,,73.35
02/04/2018 14.15,76.24,,,76.24
02/04/2018 14.30,76.41,,,76.41
02/04/2018 14.45,74.58,,,74.58
02/04/2018 15.00,81.48,,,81.48
02/04/2018 15.15,81.58,,,81.58
02/04/2018 15.30,82.74,,,82.74
02/04/2018 15.45,84.53,,,84.53
02/04/2018 16.00,87.14,,,87.14
02/04/2018 16.15,88.87,,,88.87
02/04/2018 16.30,88.9,,,88.9
02/04/2018 16.45,89.04,,,89.04
02/04/2018 17.00,91.49,,,91.49
02/04/2018 17.15,95.41,,,95.41
02/04/2018 17.30,92.43,,,92.43
02/04/2018 17.45,90.67,,,90.67
02/04/2018 18.00,100.49,,,100.49
02/04/2018 18.15,101.3,,,101.3
02/04/2018 18.30,106.06,,,106.06
02/04/2018 18.45,104.53,,,104.53
02/04/2018 19.00,105.43,,,105.43
02/04/2018 19.15,109.03,,,109.03
02/04/2018 19.30,111.27,,,111.27
02/04/2018 19.45,115.11,,,115.11
02/04/2018 20.00,118.33,,,118.33
02/04/2018 20.15,115.59,,,115.59
02/04/2018 20.30,114.88,,,114.88
02/04/2018 20.45,118.64,,,118.64
02/04/2018 21.00,121.98,,,121.98
02/04/2018 21.15,131.59,,,131.59
02/04/2018 21.30,131.14,,,131.14
02/04/2018 21.45,136.59,,,136.59
02/04/2018 22.00,136.46,,,136.46
02/04/2018 22.15,,144.94,,144.94
02/04/2018 22.30,,145.43,,145.43
02/04/2018 22.45,,141.51,,141.51
02/04/2018 23.00,,144.23,,144.23
02/04/2018 23.15,,147.54,,147.54
02/04/2018 23.30,,149.07,,149.07
02/04/2018 23.45,,150.39,,150.39
02/04/2018 24.00,,157.75,,157.75
03/04/2018 00.15,,164.38,,164.38
03/04/2018 00.30,,173.8,,173.8
03/04/2018 00.45,,173.76,,173.76
03/04/2018 01.00,,170.49,,170.49
03/04/2018 01.15,,173.8,,173.8
03/04/2018 01.30,,167.57,,167.57
03/04/2018 01.45,,160.38,,160.38
03/04/2018 02.00,,159.26,,159.26
03/04/2018 02.15,,154.59,,154.59
03/04/2018 02.30,,149.73,,149.73
03/04/2018 02.45,,145.73,,145.73
03/04/2018 03.00,,142.3,,142.3
03/04/2018 03.15,,141.14,,141.14
03/04/2018 03.30,,137.73,,137.73
03/04/2018 03.45,,135.12,,135.12
03/04/2018 04.00,,130.93,,130.93
03/04/2018 04.15,,130.57,,130.57
03/04/2018 04.30,,127.09,,127.09
03/04/2018 04.45,,126.65,,126.65
03/04/2018 05.00,,122.64,,122.64
03/04/2018 05.15,,121.73,,121.73
03/04/2018 05.30,,123.36,,123.36
03/04/2018 05.45,,121.01,,121.01
03/04/2018 06.00,,118.57,,118.57
03/04/2018 06.15,,117.28,,117.28
03/04/2018 06.30,,114.82,,114.82
03/04/2018 06.45,,112.72,,112.72
03/04/2018 07.00,,109.53,,109.53
03/04/2018 07.15,,110.27,,110.27
03/04/2018 07.30,,115.43,,115.43
03/04/2018 07.45,,110.11,,110.11
03/04/2018 08.00,,114.78,,114.78
03/04/2018 08.15,,116.98,,116.98
03/04/2018 08.30,,117.98,,117.98
03/04/2018 08.45,,114.35,,114.35
03/04/2018 09.00,,112.38,,112.38
03/04/2018 09.15,103.94,,,103.94
03/04/2018 09.30,93.54,,,93.54
03/04/2018 09.45,84.4,,,84.4
03/04/2018 10.00,73.79,,,73.79
03/04/2018 10.15,81.87,,,81.87
03/04/2018 10.30,76.06,,,76.06
03/04/2018 10.45,72.09,,,72.09
03/04/2018 11.00,70.54,,,70.54
03/04/2018 11.15,67.88,,,67.88
03/04/2018 11.30,66.93,,,66.93
03/04/2018 11.45,63.01,,,63.01
03/04/2018 12.00,65.74,,,65.74
03/04/2018 12.15,71.59,,,71.59
03/04/2018 12.30,71.08,,,71.08
03/04/2018 12.45,73.61,,,73.61
03/04/2018 13.00,75.51,,,75.51
03/04/2018 13.15,77.66,,,77.66
03/04/2018 13.30,77.27,,,77.27
03/04/2018 13.45,85.17,,,85.17
03/04/2018 14.00,88.33,,,88.33
03/04/2018 14.15,83.28,,,83.28
03/04/2018 14.30,84.56,,,84.56
03/04/2018 14.45,85.51,,,85.51
03/04/2018 15.00,92.22,,,92.22
03/04/2018 15.15,91.2,,,91.2
03/04/2018 15.30,95.22,,,95.22
03/04/2018 15.45,98.01,,,98.01
03/04/2018 16.00,93.98,,,93.98
03/04/2018 16.15,93.59,,,93.59
03/04/2018 16.30,90.85,,,90.85
03/04/2018 16.45,90.28,,,90.28
03/04/2018 17.00,92.24,,,92.24
03/04/2018 17.15,97.59,,,97.59
03/04/2018 17.30,96.66,,,96.66
03/04/2018 17.45,97.27,,,97.27
03/04/2018 18.00,101.62,,,101.62
03/04/2018 18.15,104.65,,,104.65
03/04/2018 18.30,105.65,,,105.65
03/04/2018 18.45,110.57,,,110.57
03/04/2018 19.00,107.69,,,107.69
03/04/2018 19.15,101.53,,,101.53
