,RATE A,RATE B,RATE C,Total
01/08/2018 00.15,,77.01,,77.01
01/08/2018 00.30,,78.01,,78.01
01/08/2018 00.45,,75.72,,75.72
01/08/2018 01.00,,73.4,,73.4
01/08/2018 01.15,,73.35,,73.35
01/08/2018 01.30,,70.93,,70.93
01/08/2018 01.45,,69.83,,69.83
01/08/2018 02.00,,69.12,,69.12
01/08/2018 02.15,,70.21,,70.21
01/08/2018 02.30,,68,,68
01/08/2018 02.45,,67.16,,67.16
01/08/2018 03.00,,66.21,,66.21
01/08/2018 03.15,,64.72,,64.72
01/08/2018 03.30,,63.53,,63.53
01/08/2018 03.45,,63.25,,63.25
01/08/2018 04.00,,63.87,,63.87
01/08/2018 04.15,,62.56,,62.56
01/08/2018 04.30,,60.63,,60.63
01/08/2018 04.45,,59.87,,59.87
01/08/2018 05.00,,59.4,,59.4
01/08/2018 05.15,,59.67,,59.67
01/08/2018 05.30,,59.09,,59.09
01/08/2018 05.45,,58.87,,58.87
01/08/2018 06.00,,58.04,,58.04
01/08/2018 06.15,,58.75,,58.75
01/08/2018 06.30,,58.17,,58.17
01/08/2018 06.45,,56.25,,56.25
01/08/2018 07.00,,58.3,,58.3
01/08/2018 07.15,,58.82,,58.82
01/08/2018 07.30,,52.53,,52.53
01/08/2018 07.45,,51.61,,51.61
01/08/2018 08.00,,47.37,,47.37
01/08/2018 08.15,,48.45,,48.45
01/08/2018 08.30,,46.29,,46.29
01/08/2018 08.45,,45.59,,45.59
01/08/2018 09.00,,46.22,,46.22
01/08/2018 09.15,40.08,,,40.08
01/08/2018 09.30,42.8,,,42.8
01/08/2018 09.45,43.76,,,43.76
01/08/2018 10.00,44.59,,,44.59
01/08/2018 10.15,42.85,,,42.85
01/08/2018 10.30,41.51,,,41.51
01/08/2018 10.45,42.92,,,42.92
01/08/2018 11.00,43.37,,,43.37
01/08/2018 11.15,42.05,,,42.05
01/08/2018 11.30,41.82,,,41.82
01/08/2018 11.45,40.85,,,40.85
01/08/2018 12.00,40.72,,,40.72
01/08/2018 12.15,39.63,,,39.63
01/08/2018 12.30,40.66,,,40.66
01/08/2018 12.45,40.97,,,40.97
01/08/2018 13.00,42.85,,,42.85
01/08/2018 13.15,42.51,,,42.51
01/08/2018 13.30,43.67,,,43.67
01/08/2018 13.45,43.58,,,43.58
01/08/2018 14.00,47.63,,,47.63
01/08/2018 14.15,46.19,,,46.19
01/08/2018 14.30,41.26,,,41.26
01/08/2018 14.45,39.63,,,39.63
01/08/2018 15.00,45.58,,,45.58
01/08/2018 15.15,50.8,,,50.8
01/08/2018 15.30,52.06,,,52.06
01/08/2018 15.45,50.56,,,50.56
01/08/2018 16.00,50.69,,,50.69
01/08/2018 16.15,49.61,,,49.61
01/08/2018 16.30,52.88,,,52.88
01/08/2018 16.45,51.34,,,51.34
01/08/2018 17.00,50.84,,,50.84
01/08/2018 17.15,54.09,,,54.09
01/08/2018 17.30,53.43,,,53.43
01/08/2018 17.45,53.35,,,53.35
01/08/2018 18.00,53.43,,,53.43
01/08/2018 18.15,51.3,,,51.3
01/08/2018 18.30,52.45,,,52.45
01/08/2018 18.45,53.51,,,53.51
01/08/2018 19.00,53.98,,,53.98
01/08/2018 19.15,54.46,,,54.46
01/08/2018 19.30,55.13,,,55.13
01/08/2018 19.45,55.5,,,55.5
01/08/2018 20.00,57.42,,,57.42
01/08/2018 20.15,57.29,,,57.29
01/08/2018 20.30,56.72,,,56.72
01/08/2018 20.45,58.92,,,58.92
01/08/2018 21.00,61.88,,,61.88
01/08/2018 21.15,62.88,,,62.88
01/08/2018 21.30,65.64,,,65.64
01/08/2018 21.45,66.98,,,66.98
01/08/2018 22.00,71.08,,,71.08
01/08/2018 22.15,,72.88,,72.88
01/08/2018 22.30,,72.82,,72.82
01/08/2018 22.45,,71.66,,71.66
01/08/2018 23.00,,72.14,,72.14
01/08/2018 23.15,,72.12,,72.12
01/08/2018 23.30,,75.3,,75.3
01/08/2018 23.45,,74.96,,74.96
01/08/2018 24.00,,74.45,,74.45
02/08/2018 00.15,,75.3,,75.3
02/08/2018 00.30,,77.06,,77.06
02/08/2018 00.45,,76.25,,76.25
02/08/2018 01.00,,75.22,,75.22
02/08/2018 01.15,,76.17,,76.17
02/08/2018 01.30,,76.3,,76.3
02/08/2018 01.45,,72.33,,72.33
02/08/2018 02.00,,73.93,,73.93
02/08/2018 02.15,,74.11,,74.11
02/08/2018 02.30,,72.72,,72.72
02/08/2018 02.45,,70.03,,70.03
02/08/2018 03.00,,71.29,,71.29
02/08/2018 03.15,,69.06,,69.06
02/08/2018 03.30,,67.59,,67.59
02/08/2018 03.45,,67.42,,67.42
02/08/2018 04.00,,66.5,,66.5
02/08/2018 04.15,,63.95,,63.95
02/08/2018 04.30,,62.54,,62.54
02/08/2018 04.45,,61.61,,61.61
02/08/2018 05.00,,60.77,,60.77
02/08/2018 05.15,,61.79,,61.79
02/08/2018 05.30,,62.43,,62.43
02/08/2018 05.45,,61.17,,61.17
02/08/2018 06.00,,61.46,,61.46
02/08/2018 06.15,,62.03,,62.03
02/08/2018 06.30,,58.82,,58.82
02/08/2018 06.45,,59.04,,59.04
02/08/2018 07.00,,57.67,,57.67
02/08/2018 07.15,,57.51,,57.51
02/08/2018 07.30,,56.16,,56.16
02/08/2018 07.45,,54.08,,54.08
02/08/2018 08.00,,52.43,,52.43
02/08/2018 08.15,,52.01,,52.01
02/08/2018 08.30,,50.66,,50.66
02/08/2018 08.45,,50.75,,50.75
02/08/2018 09.00,,48.84,,48.84
02/08/2018 09.15,48.79,,,48.79
02/08/2018 09.30,48.92,,,48.92
02/08/2018 09.45,47.76,,,47.76
02/08/2018 10.00,45.85,,,45.85
02/08/2018 10.15,46.45,,,46.45
02/08/2018 10.30,48.21,,,48.21
02/08/2018 10.45,48.59,,,48.59
02/08/2018 11.00,46.29,,,46.29
02/08/2018 11.15,49.51,,,49.51
02/08/2018 11.30,42.85,,,42.85
02/08/2018 11.45,43.48,,,43.48
02/08/2018 12.00,46.22,,,46.22
02/08/2018 12.15,46.59,,,46.59
02/08/2018 12.30,42.03,,,42.03
02/08/2018 12.45,42.76,,,42.76
02/08/2018 13.00,44.13,,,44.13
02/08/2018 13.15,42.79,,,42.79
02/08/2018 13.30,41.85,,,41.85
02/08/2018 13.45,44.26,,,44.26
02/08/2018 14.00,43.77,,,43.77
02/08/2018 14.15,48.34,,,48.34
02/08/2018 14.30,47.87,,,47.87
02/08/2018 14.45,45.72,,,45.72
02/08/2018 15.00,50.13,,,50.13
02/08/2018 15.15,48.14,,,48.14
02/08/2018 15.30,47.45,,,47.45
02/08/2018 15.45,46.92,,,46.92
02/08/2018 16.00,51.75,,,51.75
02/08/2018 16.15,50.09,,,50.09
02/08/2018 16.30,50.93,,,50.93
02/08/2018 16.45,48.58,,,48.58
02/08/2018 17.00,47.09,,,47.09
02/08/2018 17.15,46.27,,,46.27
02/08/2018 17.30,46.53,,,46.53
02/08/2018 17.45,46.76,,,46.76
02/08/2018 18.00,47.3,,,47.3
02/08/2018 18.15,47.66,,,47.66
02/08/2018 18.30,48.45,,,48.45
02/08/2018 18.45,50.58,,,50.58
02/08/2018 19.00,49.06,,,49.06
02/08/2018 19.15,48.43,,,48.43
02/08/2018 19.30,50.13,,,50.13
02/08/2018 19.45,48.24,,,48.24
02/08/2018 20.00,47.48,,,47.48
02/08/2018 20.15,47.34,,,47.34
02/08/2018 20.30,49.21,,,49.21
02/08/2018 20.45,48.8,,,48.8
02/08/2018 21.00,49.82,,,49.82
02/08/2018 21.15,53.24,,,53.24
02/08/2018 21.30,54.71,,,54.71
02/08/2018 21.45,57.19,,,57.19
02/08/2018 22.00,54.63,,,54.63
02/08/2018 22.15,,58.08,,58.08
02/08/2018 22.30,,56.16,,56.16
02/08/2018 22.45,,58.92,,58.92
02/08/2018 23.00,,59.35,,59.35
02/08/2018 23.15,,61.72,,61.72
02/08/2018 23.30,,64.58,,64.58
02/08/2018 23.45,,64.42,,64.42
02/08/2018 24.00,,65.01,,65.01
03/08/2018 00.15,,69.88,,69.88
03/08/2018 00.30,,85.67,,85.67
03/08/2018 00.45,,114.3,,114.3
03/08/2018 01.00,,116.07,,116.07
03/08/2018 01.15,,116.83,,116.83
03/08/2018 01.30,,113.48,,113.48
03/08/2018 01.45,,114.67,,114.67
03/08/2018 02.00,,111.57,,111.57
03/08/2018 02.15,,106.41,,106.41
03/08/2018 02.30,,104.09,,104.09
03/08/2018 02.45,,105.07,,105.07
03/08/2018 03.00,,101.01,,101.01
03/08/2018 03.15,,97.48,,97.48
03/08/2018 03.30,,97.64,,97.64
03/08/2018 03.45,,92.82,,92.82
03/08/2018 04.00,,92.56,,92.56
03/08/2018 04.15,,90.51,,90.51
03/08/2018 04.30,,89.14,,89.14
03/08/2018 04.45,,88.95,,88.95
03/08/2018 05.00,,89.22,,89.22
03/08/2018 05.15,,91.3,,91.3
03/08/2018 05.30,,92.62,,92.62
03/08/2018 05.45,,91.19,,91.19
03/08/2018 06.00,,90.38,,90.38
03/08/2018 06.15,,88.2,,88.2
03/08/2018 06.30,,84.22,,84.22
03/08/2018 06.45,,84.49,,84.49
03/08/2018 07.00,,79.46,,79.46
03/08/2018 07.15,,76.9,,76.9
03/08/2018 07.30,,76.41,,76.41
03/08/2018 07.45,,75.98,,75.98
03/08/2018 08.00,,71.61,,71.61
03/08/2018 08.15,,70.09,,70.09
03/08/2018 08.30,,67.19,,67.19
03/08/2018 08.45,,62.85,,62.85
03/08/2018 09.00,,64.24,,64.24
03/08/2018 09.15,65.83,,,65.83
03/08/2018 09.30,59.75,,,59.75
03/08/2018 09.45,56.46,,,56.46
03/08/2018 10.00,62.45,,,62.45
03/08/2018 10.15,60.29,,,60.29
03/08/2018 10.30,64.5,,,64.5
03/08/2018 10.45,61.83,,,61.83
03/08/2018 11.00,64.19,,,64.19
03/08/2018 11.15,60.03,,,60.03
03/08/2018 11.30,65.33,,,65.33
03/08/2018 11.45,60.03,,,60.03
03/08/2018 12.00,57.85,,,57.85
03/08/2018 12.15,59.85,,,59.85
03/08/2018 12.30,55.58,,,55.58
03/08/2018 12.45,52.01,,,52.01
03/08/2018 13.00,54.21,,,54.21
03/08/2018 13.15,56.82,,,56.82
03/08/2018 13.30,59.43,,,59.43
03/08/2018 13.45,59.56,,,59.56
03/08/2018 14.00,60.54,,,60.54
03/08/2018 14.15,56.82,,,56.82
03/08/2018 14.30,60.13,,,60.13
03/08/2018 14.45,61.51,,,61.51
03/08/2018 15.00,56.85,,,56.85
03/08/2018 15.15,66.75,,,66.75
03/08/2018 15.30,68.59,,,68.59
03/08/2018 15.45,67.71,,,67.71
03/08/2018 16.00,68.69,,,68.69
03/08/2018 16.15,70.51,,,70.51
03/08/2018 16.30,72.75,,,72.75
03/08/2018 16.45,71.56,,,71.56
03/08/2018 17.00,71.12,,,71.12
03/08/2018 17.15,79.24,,,79.24
03/08/2018 17.30,79.8,,,79.8
03/08/2018 17.45,79.09,,,79.09
03/08/2018 18.00,75.72,,,75.72
03/08/2018 18.15,74.61,,,74.61
03/08/2018 18.30,77.29,,,77.29
03/08/2018 18.45,79.95,,,79.95
03/08/2018 19.00,77.14,,,77.14
03/08/2018 19.15,74.75,,,74.75
03/08/2018 19.30,74.93,,,74.93
03/08/2018 19.45,75.29,,,75.29
03/08/2018 20.00,78.35,,,78.35
03/08/2018 20.15,79.06,,,79.06
03/08/2018 20.30,79.54,,,79.54
03/08/2018 20.45,81.83,,,81.83
03/08/2018 21.00,83.35,,,83.35
03/08/2018 21.15,82.24,,,82.24
03/08/2018 21.30,87.14,,,87.14
03/08/2018 21.45,91.43,,,91.43
03/08/2018 22.00,87.58,,,87.58
03/08/2018 22.15,,91.04,,91.04
03/08/2018 22.30,,91.38,,91.38
03/08/2018 22.45,,91.04,,91.04
03/08/2018 23.00,,91.95,,91.95
03/08/2018 23.15,,92.88,,92.88
03/08/2018 23.30,,94.57,,94.57
03/08/2018 23.45,,94.28,,94.28
03/08/2018 24.00,,95.7,,95.7
04/08/2018 00.15,,,97.53,97.53
04/08/2018 00.30,,,99.51,99.51
04/08/2018 00.45,,,100.15,100.15
04/08/2018 01.00,,,99.25,99.25
04/08/2018 01.15,,,96.27,96.27
04/08/2018 01.30,,,93.16,93.16
04/08/2018 01.45,,,94.98,94.98
04/08/2018 02.00,,,96.24,96.24
04/08/2018 02.15,,,96.64,96.64
04/08/2018 02.30,,,93.66,93.66
04/08/2018 02.45,,,91.03,91.03
04/08/2018 03.00,,,89.95,89.95
04/08/2018 03.15,,,87.48,87.48
04/08/2018 03.30,,,87.93,87.93
04/08/2018 03.45,,,87.45,87.45
04/08/2018 04.00,,,85.99,85.99
04/08/2018 04.15,,,84.09,84.09
04/08/2018 04.30,,,81.51,81.51
04/08/2018 04.45,,,83.01,83.01
04/08/2018 05.00,,,79.69,79.69
04/08/2018 05.15,,,85.35,85.35
04/08/2018 05.30,,,83.82,83.82
04/08/2018 05.45,,,81.3,81.3
04/08/2018 06.00,,,84.62,84.62
04/08/2018 06.15,,,84.32,84.32
04/08/2018 06.30,,,81.01,81.01
04/08/2018 06.45,,,80.19,80.19
04/08/2018 07.00,,,82.48,82.48
04/08/2018 07.15,,,86.11,86.11
04/08/2018 07.30,,,82.69,82.69
04/08/2018 07.45,,,82.72,82.72
04/08/2018 08.00,,,79.66,79.66
04/08/2018 08.15,,,79.61,79.61
04/08/2018 08.30,,,83.87,83.87
04/08/2018 08.45,,,80.43,80.43
04/08/2018 09.00,,,79.35,79.35
04/08/2018 09.15,,,80.58,80.58
04/08/2018 09.30,,,84.59,84.59
04/08/2018 09.45,,,81.12,81.12
04/08/2018 10.00,,,79.59,79.59
04/08/2018 10.15,,,74.77,74.77
04/08/2018 10.30,,,73.98,73.98
04/08/2018 10.45,,,81.61,81.61
04/08/2018 11.00,,,74.14,74.14
04/08/2018 11.15,,,77.16,77.16
04/08/2018 11.30,,,75.14,75.14
04/08/2018 11.45,,,70.03,70.03
04/08/2018 12.00,,,68.51,68.51
04/08/2018 12.15,,,67,67
04/08/2018 12.30,,,69.64,69.64
04/08/2018 12.45,,,80.82,80.82
04/08/2018 13.00,,,76.14,76.14
04/08/2018 13.15,,,77.3,77.3
04/08/2018 13.30,,,76.12,76.12
04/08/2018 13.45,,,73.85,73.85
04/08/2018 14.00,,,74.56,74.56
04/08/2018 14.15,,,80.46,80.46
04/08/2018 14.30,,,78.49,78.49
04/08/2018 14.45,,,74.58,74.58
04/08/2018 15.00,,,71.61,71.61
04/08/2018 15.15,,,71.79,71.79
04/08/2018 15.30,,,72.82,72.82
04/08/2018 15.45,,,76.01,76.01
04/08/2018 16.00,,,78.29,78.29
04/08/2018 16.15,,,74.38,74.38
04/08/2018 16.30,,,70.08,70.08
04/08/2018 16.45,,,66.69,66.69
04/08/2018 17.00,,,63.54,63.54
04/08/2018 17.15,,,65.77,65.77
04/08/2018 17.30,,,64.25,64.25
04/08/2018 17.45,,,63.85,63.85
04/08/2018 18.00,,,64.24,64.24
04/08/2018 18.15,,,65.38,65.38
04/08/2018 18.30,,,66.29,66.29
04/08/2018 18.45,,,67.9,67.9
04/08/2018 19.00,,,68.75,68.75
04/08/2018 19.15,,,69.66,69.66
04/08/2018 19.30,,,68.93,68.93
04/08/2018 19.45,,,67.19,67.19
04/08/2018 20.00,,,68.19,68.19
04/08/2018 20.15,,,71.51,71.51
04/08/2018 20.30,,,72.67,72.67
04/08/2018 20.45,,,71.48,71.48
04/08/2018 21.00,,,73.14,73.14
04/08/2018 21.15,,,73.85,73.85
04/08/2018 21.30,,,75.8,75.8
04/08/2018 21.45,,,77.38,77.38
04/08/2018 22.00,,,75.61,75.61
04/08/2018 22.15,,,79.75,79.75
04/08/2018 22.30,,,79.16,79.16
04/08/2018 22.45,,,82.62,82.62
04/08/2018 23.00,,,82.27,82.27
04/08/2018 23.15,,,89.75,89.75
04/08/2018 23.30,,,90.07,90.07
04/08/2018 23.45,,,92.69,92.69
04/08/2018 24.00,,,94.78,94.78
05/08/2018 00.15,,,96.04,96.04
05/08/2018 00.30,,,97.85,97.85
05/08/2018 00.45,,,98.32,98.32
05/08/2018 01.00,,,97.74,97.74
05/08/2018 01.15,,,100.25,100.25
05/08/2018 01.30,,,100.32,100.32
05/08/2018 01.45,,,100.67,100.67
05/08/2018 02.00,,,97.57,97.57
05/08/2018 02.15,,,97.28,97.28
05/08/2018 02.30,,,92.62,92.62
05/08/2018 02.45,,,88.32,88.32
05/08/2018 03.00,,,87.59,87.59
05/08/2018 03.15,,,87.09,87.09
05/08/2018 03.30,,,86.56,86.56
05/08/2018 03.45,,,83.87,83.87
05/08/2018 04.00,,,84.85,84.85
05/08/2018 04.15,,,82.87,82.87
05/08/2018 04.30,,,80.62,80.62
05/08/2018 04.45,,,78.95,78.95
05/08/2018 05.00,,,81.66,81.66
05/08/2018 05.15,,,82.83,82.83
05/08/2018 05.30,,,80.27,80.27
05/08/2018 05.45,,,79.16,79.16
05/08/2018 06.00,,,80.03,80.03
05/08/2018 06.15,,,79.04,79.04
05/08/2018 06.30,,,77.96,77.96
05/08/2018 06.45,,,74.66,74.66
05/08/2018 07.00,,,72.62,72.62
05/08/2018 07.15,,,69.64,69.64
05/08/2018 07.30,,,68.08,68.08
05/08/2018 07.45,,,64.79,64.79
05/08/2018 08.00,,,61.4,61.4
05/08/2018 08.15,,,60.13,60.13
05/08/2018 08.30,,,60.45,60.45
05/08/2018 08.45,,,59.45,59.45
05/08/2018 09.00,,,61.24,61.24
05/08/2018 09.15,,,58.63,58.63
05/08/2018 09.30,,,54.85,54.85
05/08/2018 09.45,,,52.5,52.5
05/08/2018 10.00,,,49.16,49.16
05/08/2018 10.15,,,52.43,52.43
05/08/2018 10.30,,,44.93,44.93
05/08/2018 10.45,,,51,51
05/08/2018 11.00,,,51.63,51.63
05/08/2018 11.15,,,48.75,48.75
05/08/2018 11.30,,,48.27,48.27
05/08/2018 11.45,,,48.35,48.35
05/08/2018 12.00,,,50.61,50.61
05/08/2018 12.15,,,45.92,45.92
05/08/2018 12.30,,,45.14,45.14
05/08/2018 12.45,,,51.74,51.74
05/08/2018 13.00,,,50.53,50.53
