,RATE A,RATE B,RATE C,Total
01/02/2018 00.15,,98.51,,98.51
01/02/2018 00.30,,100.49,,100.49
01/02/2018 00.45,,105.7,,105.7
01/02/2018 01.00,,106.28,,106.28
01/02/2018 01.15,,103.4,,103.4
01/02/2018 01.30,,103.59,,103.59
01/02/2018 01.45,,102.41,,102.41
01/02/2018 02.00,,101.78,,101.78
01/02/2018 02.15,,101.78,,101.78
01/02/2018 02.30,,100.12,,100.12
01/02/2018 02.45,,98.96,,98.96
01/02/2018 03.00,,92.75,,92.75
01/02/2018 03.15,,86.06,,86.06
01/02/2018 03.30,,86.49,,86.49
01/02/2018 03.45,,89.25,,89.25
01/02/2018 04.00,,81.25,,81.25
01/02/2018 04.15,,80.08,,80.08
01/02/2018 04.30,,79.93,,79.93
01/02/2018 04.45,,77.96,,77.96
01/02/2018 05.00,,76.67,,76.67
01/02/2018 05.15,,75.87,,75.87
01/02/2018 05.30,,81.35,,81.35
01/02/2018 05.45,,76.82,,76.82
01/02/2018 06.00,,75.62,,75.62
01/02/2018 06.15,,75.3,,75.3
01/02/2018 06.30,,78.2,,78.2
01/02/2018 06.45,,73.8,,73.8
01/02/2018 07.00,,72.83,,72.83
01/02/2018 07.15,,71.08,,71.08
01/02/2018 07.30,,69.82,,69.82
01/02/2018 07.45,,67.56,,67.56
01/02/2018 08.00,,69,,69
01/02/2018 08.15,,74.41,,74.41
01/02/2018 08.30,,70.96,,70.96
01/02/2018 08.45,,69.35,,69.35
01/02/2018 09.00,,66.37,,66.37
01/02/2018 09.15,69.29,,,69.29
01/02/2018 09.30,60.54,,,60.54
01/02/2018 09.45,59.33,,,59.33
01/02/2018 10.00,58.51,,,58.51
01/02/2018 10.15,60.4,,,60.4
01/02/2018 10.30,57.96,,,57.96
01/02/2018 10.45,54.84,,,54.84
01/02/2018 11.00,53.32,,,53.32
01/02/2018 11.15,52.79,,,52.79
01/02/2018 11.30,47.34,,,47.34
01/02/2018 11.45,45.82,,,45.82
01/02/2018 12.00,45.48,,,45.48
01/02/2018 12.15,43.46,,,43.46
01/02/2018 12.30,48.42,,,48.42
01/02/2018 12.45,49.88,,,49.88
01/02/2018 13.00,56.04,,,56.04
01/02/2018 13.15,52.95,,,52.95
01/02/2018 13.30,51.59,,,51.59
01/02/2018 13.45,58.92,,,58.92
01/02/2018 14.00,54.35,,,54.35
01/02/2018 14.15,52.42,,,52.42
01/02/2018 14.30,47.5,,,47.5
01/02/2018 14.45,53.82,,,53.82
01/02/2018 15.00,62.01,,,62.01
01/02/2018 15.15,54.3,,,54.3
01/02/2018 15.30,56.08,,,56.08
01/02/2018 15.45,56.08,,,56.08
01/02/2018 16.00,53.04,,,53.04
01/02/2018 16.15,54.85,,,54.85
01/02/2018 16.30,53.38,,,53.38
01/02/2018 16.45,51.95,,,51.95
01/02/2018 17.00,52.13,,,52.13
01/02/2018 17.15,52.88,,,52.88
01/02/2018 17.30,53.74,,,53.74
01/02/2018 17.45,51.9,,,51.9
01/02/2018 18.00,52.55,,,52.55
01/02/2018 18.15,54.11,,,54.11
01/02/2018 18.30,58.04,,,58.04
01/02/2018 18.45,57.59,,,57.59
01/02/2018 19.00,57.8,,,57.8
01/02/2018 19.15,64.92,,,64.92
01/02/2018 19.30,61.82,,,61.82
01/02/2018 19.45,62.56,,,62.56
01/02/2018 20.00,61.4,,,61.4
01/02/2018 20.15,59.79,,,59.79
01/02/2018 20.30,60.72,,,60.72
01/02/2018 20.45,63.79,,,63.79
01/02/2018 21.00,63.71,,,63.71
01/02/2018 21.15,66.25,,,66.25
01/02/2018 21.30,68.54,,,68.54
01/02/2018 21.45,75.19,,,75.19
01/02/2018 22.00,79.61,,,79.61
01/02/2018 22.15,,84.24,,84.24
01/02/2018 22.30,,81.32,,81.32
01/02/2018 22.45,,79.22,,79.22
01/02/2018 23.00,,80.99,,80.99
01/02/2018 23.15,,77.91,,77.91
01/02/2018 23.30,,80.25,,80.25
01/02/2018 23.45,,80.7,,80.7
01/02/2018 24.00,,86.46,,86.46
02/02/2018 00.15,,92.38,,92.38
02/02/2018 00.30,,91.95,,91.95
02/02/2018 00.45,,91.51,,91.51
02/02/2018 01.00,,86.67,,86.67
02/02/2018 01.15,,85.16,,85.16
02/02/2018 01.30,,83.61,,83.61
02/02/2018 01.45,,84.16,,84.16
02/02/2018 02.00,,82.33,,82.33
02/02/2018 02.15,,79.85,,79.85
02/02/2018 02.30,,81.53,,81.53
02/02/2018 02.45,,75.91,,75.91
02/02/2018 03.00,,72.88,,72.88
02/02/2018 03.15,,72.19,,72.19
02/02/2018 03.30,,70.53,,70.53
02/02/2018 03.45,,69.82,,69.82
02/02/2018 04.00,,68.25,,68.25
02/02/2018 04.15,,66.21,,66.21
02/02/2018 04.30,,67.22,,67.22
02/02/2018 04.45,,65.14,,65.14
02/02/2018 05.00,,66.3,,66.3
02/02/2018 05.15,,68.59,,68.59
02/02/2018 05.30,,68.01,,68.01
02/02/2018 05.45,,67.46,,67.46
02/02/2018 06.00,,66.88,,66.88
02/02/2018 06.15,,67.53,,67.53
02/02/2018 06.30,,70.14,,70.14
02/02/2018 06.45,,66.12,,66.12
02/02/2018 07.00,,63.33,,63.33
02/02/2018 07.15,,62.16,,62.16
02/02/2018 07.30,,61.51,,61.51
02/02/2018 07.45,,58.96,,58.96
02/02/2018 08.00,,59.08,,59.08
02/02/2018 08.15,,59.71,,59.71
02/02/2018 08.30,,61.37,,61.37
02/02/2018 08.45,,59.93,,59.93
02/02/2018 09.00,,58.93,,58.93
02/02/2018 09.15,59.46,,,59.46
02/02/2018 09.30,57.27,,,57.27
02/02/2018 09.45,55.09,,,55.09
02/02/2018 10.00,59.67,,,59.67
