,RATE A,RATE B,RATE C,Total
01/06/2018 00.15,,143.78,,143.78
01/06/2018 00.30,,149.23,,149.23
01/06/2018 00.45,,152.65,,152.65
01/06/2018 01.00,,150.55,,150.55
01/06/2018 01.15,,152.68,,152.68
01/06/2018 01.30,,150.18,,150.18
01/06/2018 01.45,,151.57,,151.57
01/06/2018 02.00,,148.33,,148.33
01/06/2018 02.15,,148.52,,148.52
01/06/2018 02.30,,147.52,,147.52
01/06/2018 02.45,,141.6,,141.6
01/06/2018 03.00,,141.09,,141.09
01/06/2018 03.15,,138.23,,138.23
01/06/2018 03.30,,138.51,,138.51
01/06/2018 03.45,,135.41,,135.41
01/06/2018 04.00,,135.62,,135.62
01/06/2018 04.15,,131.96,,131.96
01/06/2018 04.30,,129.17,,129.17
01/06/2018 04.45,,127.59,,127.59
01/06/2018 05.00,,128.99,,128.99
01/06/2018 05.15,,130.83,,130.83
01/06/2018 05.30,,131.14,,131.14
01/06/2018 05.45,,129.2,,129.2
01/06/2018 06.00,,125.1,,125.1
01/06/2018 06.15,,122.64,,122.64
01/06/2018 06.30,,120.56,,120.56
01/06/2018 06.45,,117.65,,117.65
01/06/2018 07.00,,117.15,,117.15
01/06/2018 07.15,,116.06,,116.06
01/06/2018 07.30,,115.15,,115.15
01/06/2018 07.45,,111.61,,111.61
01/06/2018 08.00,,108.3,,108.3
01/06/2018 08.15,,106.96,,106.96
01/06/2018 08.30,,104.35,,104.35
01/06/2018 08.45,,100.19,,100.19
01/06/2018 09.00,,95.41,,95.41
01/06/2018 09.15,92.3,,,92.3
01/06/2018 09.30,93.67,,,93.67
01/06/2018 09.45,88.91,,,88.91
01/06/2018 10.00,87.9,,,87.9
01/06/2018 10.15,87.32,,,87.32
01/06/2018 10.30,89.16,,,89.16
01/06/2018 10.45,87.7,,,87.7
01/06/2018 11.00,85.14,,,85.14
01/06/2018 11.15,82.37,,,82.37
01/06/2018 11.30,84.17,,,84.17
01/06/2018 11.45,81.12,,,81.12
01/06/2018 12.00,77.88,,,77.88
