,RATE A,RATE B,RATE C,Total
01/03/2018 00.15,,,172.3,172.3
01/03/2018 00.30,,,172.65,172.65
01/03/2018 00.45,,,173.55,173.55
01/03/2018 01.00,,,171.96,171.96
01/03/2018 01.15,,,172.17,172.17
01/03/2018 01.30,,,168.02,168.02
01/03/2018 01.45,,,166.26,166.26
01/03/2018 02.00,,,162.07,162.07
01/03/2018 02.15,,,157.39,157.39
01/03/2018 02.30,,,156.47,156.47
01/03/2018 02.45,,,153.14,153.14
01/03/2018 03.00,,,157.65,157.65
01/03/2018 03.15,,,154.15,154.15
01/03/2018 03.30,,,148.44,148.44
01/03/2018 03.45,,,145.94,145.94
01/03/2018 04.00,,,142.97,142.97
01/03/2018 04.15,,,138.44,138.44
01/03/2018 04.30,,,137.89,137.89
01/03/2018 04.45,,,133.73,133.73
01/03/2018 05.00,,,132.01,132.01
01/03/2018 05.15,,,131.64,131.64
01/03/2018 05.30,,,130.6,130.6
01/03/2018 05.45,,,128.77,128.77
01/03/2018 06.00,,,125.64,125.64
01/03/2018 06.15,,,124.31,124.31
01/03/2018 06.30,,,119.64,119.64
01/03/2018 06.45,,,116.44,116.44
01/03/2018 07.00,,,114.07,114.07
01/03/2018 07.15,,,113.46,113.46
01/03/2018 07.30,,,113.12,113.12
01/03/2018 07.45,,,113.98,113.98
01/03/2018 08.00,,,111.22,111.22
01/03/2018 08.15,,,112.7,112.7
01/03/2018 08.30,,,113.64,113.64
01/03/2018 08.45,,,115.65,115.65
01/03/2018 09.00,,,113.49,113.49
01/03/2018 09.15,,,113.83,113.83
01/03/2018 09.30,,,109.41,109.41
01/03/2018 09.45,,,101.48,101.48
01/03/2018 10.00,,,102.14,102.14
01/03/2018 10.15,,,98.06,98.06
01/03/2018 10.30,,,95.24,95.24
01/03/2018 10.45,,,90.22,90.22
01/03/2018 11.00,,,89.82,89.82
01/03/2018 11.15,,,90.93,90.93
01/03/2018 11.30,,,84.25,84.25
01/03/2018 11.45,,,80.98,80.98
01/03/2018 12.00,,,78.72,78.72
01/03/2018 12.15,,,74.43,74.43
01/03/2018 12.30,,,80.41,80.41
01/03/2018 12.45,,,74.45,74.45
01/03/2018 13.00,,,80.75,80.75
01/03/2018 13.15,,,78.9,78.9
01/03/2018 13.30,,,75.32,75.32
01/03/2018 13.45,,,71.54,71.54
01/03/2018 14.00,,,70.04,70.04
01/03/2018 14.15,,,69.69,69.69
01/03/2018 14.30,,,77.53,77.53
01/03/2018 14.45,,,79.04,79.04
01/03/2018 15.00,,,76.77,76.77
