,RATE A,RATE B,RATE C,Total
01/05/2018 00.15,,,149.46,149.46
01/05/2018 00.30,,,147.68,147.68
01/05/2018 00.45,,,151.31,151.31
01/05/2018 01.00,,,149.57,149.57
01/05/2018 01.15,,,145.22,145.22
01/05/2018 01.30,,,142.91,142.91
01/05/2018 01.45,,,140.57,140.57
01/05/2018 02.00,,,135.83,135.83
01/05/2018 02.15,,,134.88,134.88
01/05/2018 02.30,,,130.56,130.56
01/05/2018 02.45,,,130.62,130.62
01/05/2018 03.00,,,129.35,129.35
01/05/2018 03.15,,,125.06,125.06
01/05/2018 03.30,,,121.94,121.94
01/05/2018 03.45,,,121.88,121.88
01/05/2018 04.00,,,117.62,117.62
01/05/2018 04.15,,,118.59,118.59
01/05/2018 04.30,,,114.15,114.15
01/05/2018 04.45,,,116.4,116.4
01/05/2018 05.00,,,112.43,112.43
01/05/2018 05.15,,,111.73,111.73
01/05/2018 05.30,,,111.4,111.4
01/05/2018 05.45,,,111.27,111.27
01/05/2018 06.00,,,108.28,108.28
01/05/2018 06.15,,,103.8,103.8
01/05/2018 06.30,,,104.49,104.49
01/05/2018 06.45,,,102.49,102.49
01/05/2018 07.00,,,104.24,104.24
01/05/2018 07.15,,,103.36,103.36
01/05/2018 07.30,,,105.12,105.12
01/05/2018 07.45,,,110.86,110.86
01/05/2018 08.00,,,110.14,110.14
01/05/2018 08.15,,,109.23,109.23
01/05/2018 08.30,,,111.51,111.51
01/05/2018 08.45,,,112.98,112.98
01/05/2018 09.00,,,108.28,108.28
01/05/2018 09.15,,,99.07,99.07
01/05/2018 09.30,,,93.12,93.12
01/05/2018 09.45,,,92.45,92.45
01/05/2018 10.00,,,84.53,84.53
01/05/2018 10.15,,,78.88,78.88
01/05/2018 10.30,,,74.77,74.77
01/05/2018 10.45,,,73.06,73.06
01/05/2018 11.00,,,75.74,75.74
01/05/2018 11.15,,,65.42,65.42
01/05/2018 11.30,,,63.88,63.88
01/05/2018 11.45,,,50.82,50.82
01/05/2018 12.00,,,54.5,54.5
01/05/2018 12.15,,,57.35,57.35
01/05/2018 12.30,,,70.24,70.24
01/05/2018 12.45,,,65.54,65.54
01/05/2018 13.00,,,69.83,69.83
01/05/2018 13.15,,,68.16,68.16
01/05/2018 13.30,,,69.21,69.21
01/05/2018 13.45,,,65.19,65.19
01/05/2018 14.00,,,66.95,66.95
01/05/2018 14.15,,,78.25,78.25
01/05/2018 14.30,,,81.12,81.12
01/05/2018 14.45,,,80.25,80.25
01/05/2018 15.00,,,76.33,76.33
01/05/2018 15.15,,,80.7,80.7
01/05/2018 15.30,,,79.7,79.7
01/05/2018 15.45,,,81.64,81.64
01/05/2018 16.00,,,79.35,79.35
01/05/2018 16.15,,,79.67,79.67
01/05/2018 16.30,,,77.04,77.04
01/05/2018 16.45,,,79.35,79.35
01/05/2018 17.00,,,85.66,85.66
01/05/2018 17.15,,,87.19,87.19
01/05/2018 17.30,,,86.48,86.48
01/05/2018 17.45,,,87.74,87.74
01/05/2018 18.00,,,89.53,89.53
01/05/2018 18.15,,,91.01,91.01
01/05/2018 18.30,,,96.38,96.38
01/05/2018 18.45,,,97.46,97.46
01/05/2018 19.00,,,99.61,99.61
01/05/2018 19.15,,,98.28,98.28
01/05/2018 19.30,,,101.93,101.93
01/05/2018 19.45,,,104.25,104.25
01/05/2018 20.00,,,106.35,106.35
01/05/2018 20.15,,,110.36,110.36
01/05/2018 20.30,,,111.43,111.43
01/05/2018 20.45,,,112.93,112.93
01/05/2018 21.00,,,114.51,114.51
01/05/2018 21.15,,,119.49,119.49
01/05/2018 21.30,,,124.31,124.31
01/05/2018 21.45,,,128.25,128.25
01/05/2018 22.00,,,134.3,134.3
01/05/2018 22.15,,,140.77,140.77
01/05/2018 22.30,,,145.83,145.83
01/05/2018 22.45,,,143.73,143.73
01/05/2018 23.00,,,147.85,147.85
01/05/2018 23.15,,,154.51,154.51
01/05/2018 23.30,,,162.36,162.36
01/05/2018 23.45,,,168.67,168.67
01/05/2018 24.00,,,168.39,168.39
02/05/2018 00.15,,174.44,,174.44
02/05/2018 00.30,,174.21,,174.21
02/05/2018 00.45,,179.54,,179.54
02/05/2018 01.00,,177.2,,177.2
02/05/2018 01.15,,169.62,,169.62
02/05/2018 01.30,,166.23,,166.23
02/05/2018 01.45,,168.2,,168.2
02/05/2018 02.00,,160.02,,160.02
02/05/2018 02.15,,158.51,,158.51
02/05/2018 02.30,,154.68,,154.68
02/05/2018 02.45,,149.44,,149.44
02/05/2018 03.00,,146.25,,146.25
02/05/2018 03.15,,142.93,,142.93
02/05/2018 03.30,,142.15,,142.15
02/05/2018 03.45,,140.62,,140.62
02/05/2018 04.00,,137.98,,137.98
02/05/2018 04.15,,135.39,,135.39
02/05/2018 04.30,,134.96,,134.96
02/05/2018 04.45,,132.56,,132.56
02/05/2018 05.00,,129.99,,129.99
02/05/2018 05.15,,130.93,,130.93
02/05/2018 05.30,,130.1,,130.1
02/05/2018 05.45,,129.2,,129.2
02/05/2018 06.00,,128.86,,128.86
02/05/2018 06.15,,124.07,,124.07
02/05/2018 06.30,,120.99,,120.99
02/05/2018 06.45,,119.38,,119.38
02/05/2018 07.00,,120.11,,120.11
02/05/2018 07.15,,122.46,,122.46
02/05/2018 07.30,,122.4,,122.4
02/05/2018 07.45,,122.61,,122.61
02/05/2018 08.00,,126.78,,126.78
02/05/2018 08.15,,124.99,,124.99
02/05/2018 08.30,,122.8,,122.8
02/05/2018 08.45,,117.49,,117.49
02/05/2018 09.00,,110.88,,110.88
02/05/2018 09.15,108.51,,,108.51
02/05/2018 09.30,100.41,,,100.41
02/05/2018 09.45,93.64,,,93.64
02/05/2018 10.00,81.72,,,81.72
02/05/2018 10.15,88.91,,,88.91
02/05/2018 10.30,78.8,,,78.8
02/05/2018 10.45,84.83,,,84.83
02/05/2018 11.00,83.27,,,83.27
02/05/2018 11.15,73.77,,,73.77
02/05/2018 11.30,85.59,,,85.59
02/05/2018 11.45,83.16,,,83.16
02/05/2018 12.00,76.06,,,76.06
02/05/2018 12.15,77.29,,,77.29
02/05/2018 12.30,74.19,,,74.19
02/05/2018 12.45,74.45,,,74.45
02/05/2018 13.00,73.17,,,73.17
02/05/2018 13.15,73.19,,,73.19
02/05/2018 13.30,59.51,,,59.51
02/05/2018 13.45,59.5,,,59.5
02/05/2018 14.00,63.08,,,63.08
02/05/2018 14.15,63.12,,,63.12
02/05/2018 14.30,65.9,,,65.9
02/05/2018 14.45,68.37,,,68.37
02/05/2018 15.00,69.03,,,69.03
02/05/2018 15.15,67.96,,,67.96
02/05/2018 15.30,69.54,,,69.54
02/05/2018 15.45,72.79,,,72.79
02/05/2018 16.00,77.66,,,77.66
02/05/2018 16.15,81.75,,,81.75
02/05/2018 16.30,77.64,,,77.64
02/05/2018 16.45,76.7,,,76.7
02/05/2018 17.00,75.79,,,75.79
02/05/2018 17.15,79.03,,,79.03
02/05/2018 17.30,80.93,,,80.93
02/05/2018 17.45,85.98,,,85.98
02/05/2018 18.00,84.28,,,84.28
02/05/2018 18.15,88.54,,,88.54
