,RATE A,RATE B,RATE C,Total
01/11/2018 00.15,,148.78,,148.78
01/11/2018 00.30,,152.88,,152.88
01/11/2018 00.45,,155.46,,155.46
01/11/2018 01.00,,151.97,,151.97
01/11/2018 01.15,,152.85,,152.85
01/11/2018 01.30,,148.78,,148.78
01/11/2018 01.45,,141.28,,141.28
01/11/2018 02.00,,139.93,,139.93
01/11/2018 02.15,,140.2,,140.2
01/11/2018 02.30,,134.49,,134.49
01/11/2018 02.45,,131.44,,131.44
01/11/2018 03.00,,127.88,,127.88
01/11/2018 03.15,,127.46,,127.46
01/11/2018 03.30,,123.48,,123.48
01/11/2018 03.45,,119.19,,119.19
01/11/2018 04.00,,116.83,,116.83
01/11/2018 04.15,,114.35,,114.35
01/11/2018 04.30,,111.88,,111.88
01/11/2018 04.45,,110.3,,110.3
01/11/2018 05.00,,109.14,,109.14
01/11/2018 05.15,,110.41,,110.41
01/11/2018 05.30,,109.11,,109.11
01/11/2018 05.45,,106.11,,106.11
01/11/2018 06.00,,103.93,,103.93
01/11/2018 06.15,,99.64,,99.64
01/11/2018 06.30,,99.35,,99.35
01/11/2018 06.45,,100.51,,100.51
01/11/2018 07.00,,102.85,,102.85
01/11/2018 07.15,,106.94,,106.94
01/11/2018 07.30,,107.72,,107.72
01/11/2018 07.45,,104.36,,104.36
01/11/2018 08.00,,106.82,,106.82
01/11/2018 08.15,,106.28,,106.28
01/11/2018 08.30,,105.14,,105.14
01/11/2018 08.45,,106.2,,106.2
01/11/2018 09.00,,97.01,,97.01
01/11/2018 09.15,88.64,,,88.64
01/11/2018 09.30,84.12,,,84.12
01/11/2018 09.45,74.53,,,74.53
01/11/2018 10.00,69.32,,,69.32
01/11/2018 10.15,65.43,,,65.43
01/11/2018 10.30,66.3,,,66.3
01/11/2018 10.45,65.24,,,65.24
01/11/2018 11.00,68.83,,,68.83
01/11/2018 11.15,63.4,,,63.4
01/11/2018 11.30,61.04,,,61.04
01/11/2018 11.45,60.51,,,60.51
01/11/2018 12.00,61.22,,,61.22
01/11/2018 12.15,62.24,,,62.24
01/11/2018 12.30,65.53,,,65.53
01/11/2018 12.45,66.14,,,66.14
01/11/2018 13.00,64.96,,,64.96
01/11/2018 13.15,65.38,,,65.38
01/11/2018 13.30,62.17,,,62.17
01/11/2018 13.45,63.58,,,63.58
01/11/2018 14.00,66.71,,,66.71
01/11/2018 14.15,73.43,,,73.43
01/11/2018 14.30,73.61,,,73.61
01/11/2018 14.45,71.43,,,71.43
01/11/2018 15.00,71.64,,,71.64
01/11/2018 15.15,69.3,,,69.3
01/11/2018 15.30,68.72,,,68.72
01/11/2018 15.45,66.48,,,66.48
01/11/2018 16.00,67.72,,,67.72
01/11/2018 16.15,68.79,,,68.79
01/11/2018 16.30,69.32,,,69.32
01/11/2018 16.45,71.91,,,71.91
01/11/2018 17.00,72.41,,,72.41
01/11/2018 17.15,78.72,,,78.72
01/11/2018 17.30,76.14,,,76.14
01/11/2018 17.45,74.83,,,74.83
01/11/2018 18.00,75.8,,,75.8
01/11/2018 18.15,81.53,,,81.53
01/11/2018 18.30,82.06,,,82.06
01/11/2018 18.45,85.11,,,85.11
01/11/2018 19.00,83.87,,,83.87
01/11/2018 19.15,82.51,,,82.51
01/11/2018 19.30,84.87,,,84.87
01/11/2018 19.45,86.69,,,86.69
01/11/2018 20.00,88.45,,,88.45
01/11/2018 20.15,86.72,,,86.72
01/11/2018 20.30,93.45,,,93.45
01/11/2018 20.45,95.9,,,95.9
01/11/2018 21.00,98.53,,,98.53
01/11/2018 21.15,101.56,,,101.56
01/11/2018 21.30,102.32,,,102.32
01/11/2018 21.45,100.77,,,100.77
01/11/2018 22.00,103.35,,,103.35
01/11/2018 22.15,,110.64,,110.64
01/11/2018 22.30,,111.23,,111.23
01/11/2018 22.45,,111.54,,111.54
01/11/2018 23.00,,115.15,,115.15
01/11/2018 23.15,,118.02,,118.02
01/11/2018 23.30,,121.78,,121.78
01/11/2018 23.45,,125.85,,125.85
01/11/2018 24.00,,128.14,,128.14
02/11/2018 00.15,,129.09,,129.09
02/11/2018 00.30,,131.73,,131.73
02/11/2018 00.45,,130.27,,130.27
02/11/2018 01.00,,128.19,,128.19
02/11/2018 01.15,,129.7,,129.7
02/11/2018 01.30,,128.96,,128.96
02/11/2018 01.45,,123.56,,123.56
02/11/2018 02.00,,119.28,,119.28
02/11/2018 02.15,,115.23,,115.23
02/11/2018 02.30,,114.85,,114.85
02/11/2018 02.45,,110.88,,110.88
02/11/2018 03.00,,109.53,,109.53
02/11/2018 03.15,,106.38,,106.38
02/11/2018 03.30,,103.07,,103.07
02/11/2018 03.45,,99.17,,99.17
02/11/2018 04.00,,96.61,,96.61
02/11/2018 04.15,,96.46,,96.46
02/11/2018 04.30,,93.98,,93.98
02/11/2018 04.45,,92.41,,92.41
02/11/2018 05.00,,90.61,,90.61
02/11/2018 05.15,,91.37,,91.37
02/11/2018 05.30,,89.51,,89.51
02/11/2018 05.45,,89.43,,89.43
02/11/2018 06.00,,86.82,,86.82
02/11/2018 06.15,,83.24,,83.24
02/11/2018 06.30,,83.38,,83.38
02/11/2018 06.45,,84.58,,84.58
02/11/2018 07.00,,85.83,,85.83
02/11/2018 07.15,,90.01,,90.01
02/11/2018 07.30,,88.53,,88.53
02/11/2018 07.45,,92.24,,92.24
02/11/2018 08.00,,91.48,,91.48
02/11/2018 08.15,,88.87,,88.87
02/11/2018 08.30,,84.98,,84.98
02/11/2018 08.45,,87.24,,87.24
02/11/2018 09.00,,85.99,,85.99
02/11/2018 09.15,82.03,,,82.03
02/11/2018 09.30,74.74,,,74.74
02/11/2018 09.45,67.08,,,67.08
02/11/2018 10.00,65.04,,,65.04
02/11/2018 10.15,62.63,,,62.63
02/11/2018 10.30,60.3,,,60.3
02/11/2018 10.45,63.43,,,63.43
02/11/2018 11.00,63.09,,,63.09
02/11/2018 11.15,66.61,,,66.61
02/11/2018 11.30,66.56,,,66.56
02/11/2018 11.45,59.77,,,59.77
02/11/2018 12.00,59.04,,,59.04
02/11/2018 12.15,62.11,,,62.11
02/11/2018 12.30,61.83,,,61.83
02/11/2018 12.45,64.72,,,64.72
02/11/2018 13.00,65.22,,,65.22
02/11/2018 13.15,63.71,,,63.71
02/11/2018 13.30,60.56,,,60.56
02/11/2018 13.45,61.04,,,61.04
02/11/2018 14.00,66.71,,,66.71
02/11/2018 14.15,63.06,,,63.06
02/11/2018 14.30,61.8,,,61.8
02/11/2018 14.45,63.64,,,63.64
02/11/2018 15.00,64.62,,,64.62
02/11/2018 15.15,63.83,,,63.83
02/11/2018 15.30,63.17,,,63.17
02/11/2018 15.45,64.17,,,64.17
02/11/2018 16.00,67.54,,,67.54
02/11/2018 16.15,71.32,,,71.32
02/11/2018 16.30,69.46,,,69.46
02/11/2018 16.45,74.11,,,74.11
02/11/2018 17.00,72.95,,,72.95
02/11/2018 17.15,77.88,,,77.88
02/11/2018 17.30,78.14,,,78.14
02/11/2018 17.45,74.7,,,74.7
02/11/2018 18.00,76.85,,,76.85
02/11/2018 18.15,76.64,,,76.64
02/11/2018 18.30,78.04,,,78.04
02/11/2018 18.45,76.4,,,76.4
02/11/2018 19.00,76.25,,,76.25
02/11/2018 19.15,75.38,,,75.38
02/11/2018 19.30,73.45,,,73.45
02/11/2018 19.45,74.61,,,74.61
02/11/2018 20.00,75.85,,,75.85
02/11/2018 20.15,73.93,,,73.93
02/11/2018 20.30,73.82,,,73.82
02/11/2018 20.45,77.95,,,77.95
02/11/2018 21.00,76.87,,,76.87
02/11/2018 21.15,78.33,,,78.33
02/11/2018 21.30,81.79,,,81.79
02/11/2018 21.45,81.72,,,81.72
02/11/2018 22.00,84.51,,,84.51
02/11/2018 22.15,,89.74,,89.74
02/11/2018 22.30,,91.8,,91.8
02/11/2018 22.45,,89.69,,89.69
02/11/2018 23.00,,88.22,,88.22
02/11/2018 23.15,,91.48,,91.48
02/11/2018 23.30,,94.9,,94.9
02/11/2018 23.45,,100.43,,100.43
02/11/2018 24.00,,97.22,,97.22
03/11/2018 00.15,,,98.3,98.3
03/11/2018 00.30,,,100.53,100.53
03/11/2018 00.45,,,102.9,102.9
03/11/2018 01.00,,,102.83,102.83
03/11/2018 01.15,,,101.8,101.8
03/11/2018 01.30,,,100.3,100.3
03/11/2018 01.45,,,99.8,99.8
03/11/2018 02.00,,,99.45,99.45
03/11/2018 02.15,,,97.99,97.99
03/11/2018 02.30,,,94.12,94.12
03/11/2018 02.45,,,91.61,91.61
03/11/2018 03.00,,,90.3,90.3
03/11/2018 03.15,,,86.77,86.77
03/11/2018 03.30,,,83.82,83.82
03/11/2018 03.45,,,81.93,81.93
03/11/2018 04.00,,,83.37,83.37
03/11/2018 04.15,,,82.03,82.03
03/11/2018 04.30,,,79.49,79.49
03/11/2018 04.45,,,79.35,79.35
03/11/2018 05.00,,,79.06,79.06
03/11/2018 05.15,,,77.64,77.64
03/11/2018 05.30,,,79.19,79.19
03/11/2018 05.45,,,76.72,76.72
03/11/2018 06.00,,,73.12,73.12
03/11/2018 06.15,,,73.17,73.17
03/11/2018 06.30,,,70.75,70.75
03/11/2018 06.45,,,71.12,71.12
03/11/2018 07.00,,,69.3,69.3
03/11/2018 07.15,,,69.79,69.79
03/11/2018 07.30,,,72.01,72.01
03/11/2018 07.45,,,69.88,69.88
03/11/2018 08.00,,,68.91,68.91
03/11/2018 08.15,,,66.79,66.79
03/11/2018 08.30,,,68.08,68.08
03/11/2018 08.45,,,67.16,67.16
03/11/2018 09.00,,,68.41,68.41
03/11/2018 09.15,,,64.38,64.38
03/11/2018 09.30,,,62.59,62.59
03/11/2018 09.45,,,59.61,59.61
03/11/2018 10.00,,,54.84,54.84
03/11/2018 10.15,,,52.06,52.06
03/11/2018 10.30,,,49.8,49.8
03/11/2018 10.45,,,52.74,52.74
03/11/2018 11.00,,,52.11,52.11
03/11/2018 11.15,,,52.51,52.51
03/11/2018 11.30,,,47.16,47.16
03/11/2018 11.45,,,47.59,47.59
03/11/2018 12.00,,,47.27,47.27
03/11/2018 12.15,,,47.59,47.59
03/11/2018 12.30,,,46.92,46.92
03/11/2018 12.45,,,47.9,47.9
03/11/2018 13.00,,,47.82,47.82
03/11/2018 13.15,,,48.4,48.4
03/11/2018 13.30,,,53.01,53.01
03/11/2018 13.45,,,52.8,52.8
03/11/2018 14.00,,,49.14,49.14
03/11/2018 14.15,,,50.63,50.63
03/11/2018 14.30,,,50.9,50.9
03/11/2018 14.45,,,49.9,49.9
03/11/2018 15.00,,,50.22,50.22
03/11/2018 15.15,,,51.77,51.77
03/11/2018 15.30,,,58.24,58.24
03/11/2018 15.45,,,55.34,55.34
03/11/2018 16.00,,,63.01,63.01
03/11/2018 16.15,,,61.29,61.29
03/11/2018 16.30,,,60.29,60.29
03/11/2018 16.45,,,61.56,61.56
03/11/2018 17.00,,,60.14,60.14
03/11/2018 17.15,,,63.06,63.06
03/11/2018 17.30,,,65.56,65.56
03/11/2018 17.45,,,66.45,66.45
03/11/2018 18.00,,,66.16,66.16
03/11/2018 18.15,,,67.08,67.08
03/11/2018 18.30,,,68.74,68.74
03/11/2018 18.45,,,71.25,71.25
03/11/2018 19.00,,,70.3,70.3
03/11/2018 19.15,,,69.91,69.91
03/11/2018 19.30,,,70.95,70.95
03/11/2018 19.45,,,69.85,69.85
