,RATE A,RATE B,RATE C,Total
01/10/2018 00.15,,161.2,,161.2
01/10/2018 00.30,,161.91,,161.91
01/10/2018 00.45,,162.41,,162.41
01/10/2018 01.00,,163.55,,163.55
01/10/2018 01.15,,164.89,,164.89
01/10/2018 01.30,,163.1,,163.1
01/10/2018 01.45,,164.65,,164.65
01/10/2018 02.00,,163.31,,163.31
01/10/2018 02.15,,161.43,,161.43
01/10/2018 02.30,,157.73,,157.73
01/10/2018 02.45,,153.15,,153.15
01/10/2018 03.00,,151.97,,151.97
01/10/2018 03.15,,151.25,,151.25
01/10/2018 03.30,,149.02,,149.02
01/10/2018 03.45,,146.67,,146.67
01/10/2018 04.00,,142.52,,142.52
01/10/2018 04.15,,138.67,,138.67
01/10/2018 04.30,,138.31,,138.31
01/10/2018 04.45,,133.77,,133.77
01/10/2018 05.00,,132.1,,132.1
01/10/2018 05.15,,132.72,,132.72
01/10/2018 05.30,,132.94,,132.94
01/10/2018 05.45,,130.62,,130.62
01/10/2018 06.00,,128.69,,128.69
01/10/2018 06.15,,127.7,,127.7
01/10/2018 06.30,,123.98,,123.98
01/10/2018 06.45,,120.14,,120.14
01/10/2018 07.00,,124.41,,124.41
01/10/2018 07.15,,125.56,,125.56
01/10/2018 07.30,,121.73,,121.73
01/10/2018 07.45,,123.54,,123.54
01/10/2018 08.00,,127.1,,127.1
01/10/2018 08.15,,134.2,,134.2
01/10/2018 08.30,,136.52,,136.52
01/10/2018 08.45,,136.41,,136.41
01/10/2018 09.00,,133.22,,133.22
01/10/2018 09.15,129.56,,,129.56
01/10/2018 09.30,123.98,,,123.98
01/10/2018 09.45,125.25,,,125.25
01/10/2018 10.00,126.09,,,126.09
01/10/2018 10.15,122.2,,,122.2
01/10/2018 10.30,117.65,,,117.65
01/10/2018 10.45,119.17,,,119.17
01/10/2018 11.00,111.43,,,111.43
01/10/2018 11.15,112.23,,,112.23
01/10/2018 11.30,105.15,,,105.15
01/10/2018 11.45,109.56,,,109.56
01/10/2018 12.00,107.43,,,107.43
01/10/2018 12.15,107.11,,,107.11
01/10/2018 12.30,105.82,,,105.82
01/10/2018 12.45,108.9,,,108.9
01/10/2018 13.00,102.88,,,102.88
01/10/2018 13.15,111.62,,,111.62
01/10/2018 13.30,110.01,,,110.01
01/10/2018 13.45,110.7,,,110.7
01/10/2018 14.00,96.33,,,96.33
01/10/2018 14.15,85.45,,,85.45
01/10/2018 14.30,89.75,,,89.75
01/10/2018 14.45,91.61,,,91.61
01/10/2018 15.00,103.14,,,103.14
01/10/2018 15.15,104.49,,,104.49
01/10/2018 15.30,105.32,,,105.32
01/10/2018 15.45,99.36,,,99.36
01/10/2018 16.00,105.17,,,105.17
01/10/2018 16.15,107.69,,,107.69
01/10/2018 16.30,98.56,,,98.56
01/10/2018 16.45,96.01,,,96.01
01/10/2018 17.00,96.06,,,96.06
01/10/2018 17.15,95.48,,,95.48
01/10/2018 17.30,93.83,,,93.83
01/10/2018 17.45,97.28,,,97.28
01/10/2018 18.00,96.72,,,96.72
01/10/2018 18.15,97.3,,,97.3
01/10/2018 18.30,100.62,,,100.62
01/10/2018 18.45,108.54,,,108.54
01/10/2018 19.00,111.7,,,111.7
01/10/2018 19.15,112.69,,,112.69
01/10/2018 19.30,116.32,,,116.32
01/10/2018 19.45,115.64,,,115.64
01/10/2018 20.00,111.99,,,111.99
01/10/2018 20.15,112.65,,,112.65
01/10/2018 20.30,116.33,,,116.33
01/10/2018 20.45,121.83,,,121.83
01/10/2018 21.00,121.07,,,121.07
01/10/2018 21.15,123.59,,,123.59
01/10/2018 21.30,128.64,,,128.64
01/10/2018 21.45,132.49,,,132.49
01/10/2018 22.00,138.14,,,138.14
01/10/2018 22.15,,139.17,,139.17
01/10/2018 22.30,,141.86,,141.86
01/10/2018 22.45,,142.49,,142.49
01/10/2018 23.00,,148.99,,148.99
01/10/2018 23.15,,155.31,,155.31
01/10/2018 23.30,,158.6,,158.6
01/10/2018 23.45,,160.75,,160.75
01/10/2018 24.00,,167.05,,167.05
02/10/2018 00.15,,169.89,,169.89
02/10/2018 00.30,,170.3,,170.3
02/10/2018 00.45,,171.38,,171.38
02/10/2018 01.00,,171.54,,171.54
02/10/2018 01.15,,173.54,,173.54
02/10/2018 01.30,,167.84,,167.84
02/10/2018 01.45,,166.76,,166.76
02/10/2018 02.00,,162.68,,162.68
02/10/2018 02.15,,163.96,,163.96
02/10/2018 02.30,,158.07,,158.07
02/10/2018 02.45,,156.05,,156.05
02/10/2018 03.00,,150.8,,150.8
02/10/2018 03.15,,145.94,,145.94
02/10/2018 03.30,,145.83,,145.83
02/10/2018 03.45,,143.04,,143.04
02/10/2018 04.00,,139.44,,139.44
02/10/2018 04.15,,137.54,,137.54
02/10/2018 04.30,,135.8,,135.8
02/10/2018 04.45,,133.27,,133.27
02/10/2018 05.00,,130.65,,130.65
02/10/2018 05.15,,130.96,,130.96
02/10/2018 05.30,,132.54,,132.54
02/10/2018 05.45,,127.85,,127.85
02/10/2018 06.00,,128.88,,128.88
02/10/2018 06.15,,129.06,,129.06
02/10/2018 06.30,,123.81,,123.81
02/10/2018 06.45,,125.41,,125.41
02/10/2018 07.00,,127.51,,127.51
02/10/2018 07.15,,130.25,,130.25
02/10/2018 07.30,,131.52,,131.52
02/10/2018 07.45,,127.94,,127.94
02/10/2018 08.00,,131.19,,131.19
02/10/2018 08.15,,131.72,,131.72
02/10/2018 08.30,,123.36,,123.36
02/10/2018 08.45,,119.88,,119.88
02/10/2018 09.00,,112.43,,112.43
02/10/2018 09.15,113.19,,,113.19
02/10/2018 09.30,113.98,,,113.98
02/10/2018 09.45,118.23,,,118.23
02/10/2018 10.00,117.19,,,117.19
02/10/2018 10.15,116.33,,,116.33
02/10/2018 10.30,108.38,,,108.38
02/10/2018 10.45,111.82,,,111.82
02/10/2018 11.00,109.33,,,109.33
02/10/2018 11.15,108.33,,,108.33
02/10/2018 11.30,104.48,,,104.48
02/10/2018 11.45,96.72,,,96.72
02/10/2018 12.00,92.03,,,92.03
02/10/2018 12.15,93.07,,,93.07
02/10/2018 12.30,94.36,,,94.36
02/10/2018 12.45,103.51,,,103.51
02/10/2018 13.00,104.9,,,104.9
02/10/2018 13.15,96.06,,,96.06
02/10/2018 13.30,105.85,,,105.85
02/10/2018 13.45,105.06,,,105.06
02/10/2018 14.00,98.56,,,98.56
02/10/2018 14.15,106.27,,,106.27
02/10/2018 14.30,111.73,,,111.73
02/10/2018 14.45,108.46,,,108.46
02/10/2018 15.00,105.12,,,105.12
02/10/2018 15.15,98.46,,,98.46
02/10/2018 15.30,98.4,,,98.4
02/10/2018 15.45,96.59,,,96.59
02/10/2018 16.00,91.12,,,91.12
02/10/2018 16.15,88.38,,,88.38
