"DateTime","PV Installed","Energy Yield","Co2 Avoidance","Save Money"
"(YYYY-MM-DD HH:MM)","(kWp)","(kWh)","(kg./year)","(Baht)"
"2018-11-01 00:15",89.28,0.00,0.00,0.00
"2018-11-01 00:30",89.28,0.00,0.00,0.00
"2018-11-01 00:45",89.28,0.00,0.00,0.00
"2018-11-01 01:00",89.28,0.00,0.00,0.00
"2018-11-01 01:15",89.28,0.00,0.00,0.00
"2018-11-01 01:30",89.28,0.00,0.00,0.00
"2018-11-01 01:45",89.28,0.00,0.00,0.00
"2018-11-01 02:00",89.28,0.00,0.00,0.00
"2018-11-01 02:15",89.28,0.00,0.00,0.00
"2018-11-01 02:30",89.28,0.00,0.00,0.00
"2018-11-01 02:45",89.28,0.00,0.00,0.00
"2018-11-01 03:00",89.28,0.00,0.00,0.00
"2018-11-01 03:15",89.28,0.00,0.00,0.00
"2018-11-01 03:30",89.28,0.00,0.00,0.00
"2018-11-01 03:45",89.28,0.00,0.00,0.00
"2018-11-01 04:00",89.28,0.00,0.00,0.00
"2018-11-01 04:15",89.28,0.00,0.00,0.00
"2018-11-01 04:30",89.28,0.00,0.00,0.00
"2018-11-01 04:45",89.28,0.00,0.00,0.00
"2018-11-01 05:00",89.28,0.00,0.00,0.00
"2018-11-01 05:15",89.28,0.00,0.00,0.00
"2018-11-01 05:30",89.28,0.00,0.00,0.00
"2018-11-01 05:45",89.28,0.00,0.00,0.00
"2018-11-01 06:00",89.28,0.00,0.00,0.00
"2018-11-01 06:15",89.28,0.19,0.11,0.81
"2018-11-01 06:30",89.28,0.74,0.41,3.10
"2018-11-01 06:45",89.28,1.57,0.88,6.60
"2018-11-01 07:00",89.28,2.72,1.53,11.45
"2018-11-01 07:15",89.28,4.16,2.33,17.51
"2018-11-01 07:30",89.28,5.86,3.29,24.65
"2018-11-01 07:45",89.28,7.41,4.16,31.19
"2018-11-01 08:00",89.28,8.99,5.04,37.85
"2018-11-01 08:15",89.28,10.48,5.88,44.12
"2018-11-01 08:30",89.28,11.87,6.66,49.98
"2018-11-01 08:45",89.28,13.12,7.36,55.23
"2018-11-01 09:00",89.28,14.13,7.93,59.47
"2018-11-01 09:15",89.28,15.10,8.47,63.58
"2018-11-01 09:30",89.28,15.82,8.88,66.61
"2018-11-01 09:45",89.28,16.82,9.43,70.79
"2018-11-01 10:00",89.28,17.58,9.86,74.02
"2018-11-01 10:15",89.28,17.95,10.07,75.57
"2018-11-01 10:30",89.28,18.50,10.38,77.86
"2018-11-01 10:45",89.28,18.88,10.59,79.48
"2018-11-01 11:00",89.28,19.07,10.70,80.29
"2018-11-01 11:15",89.28,19.58,10.99,82.44
"2018-11-01 11:30",89.28,20.05,11.25,84.40
"2018-11-01 11:45",89.28,20.67,11.60,87.02
"2018-11-01 12:00",89.28,20.34,11.41,85.61
"2018-11-01 12:15",89.28,19.92,11.18,83.86
"2018-11-01 12:30",89.28,20.22,11.35,85.14
"2018-11-01 12:45",89.28,20.03,11.24,84.33
"2018-11-01 13:00",89.28,19.84,11.13,83.52
"2018-11-01 13:15",89.28,19.02,10.67,80.09
"2018-11-01 13:30",89.28,18.56,10.41,78.13
"2018-11-01 13:45",89.28,17.97,10.08,75.64
