,RATE A,RATE B,RATE C,Total
01/04/2018 00.15,,,18.95,18.95
01/04/2018 00.30,,,19.89,19.89
01/04/2018 00.45,,,19.16,19.16
01/04/2018 01.00,,,19,19
01/04/2018 01.15,,,18.81,18.81
01/04/2018 01.30,,,19.42,19.42
01/04/2018 01.45,,,19.58,19.58
01/04/2018 02.00,,,18.74,18.74
01/04/2018 02.15,,,18.82,18.82
01/04/2018 02.30,,,19.5,19.5
01/04/2018 02.45,,,19.21,19.21
01/04/2018 03.00,,,18.74,18.74
01/04/2018 03.15,,,18.82,18.82
01/04/2018 03.30,,,19.71,19.71
01/04/2018 03.45,,,18.95,18.95
01/04/2018 04.00,,,18.97,18.97
01/04/2018 04.15,,,18.92,18.92
01/04/2018 04.30,,,18.9,18.9
01/04/2018 04.45,,,18.81,18.81
01/04/2018 05.00,,,20.05,20.05
01/04/2018 05.15,,,18.93,18.93
01/04/2018 05.30,,,18.84,18.84
01/04/2018 05.45,,,18.77,18.77
01/04/2018 06.00,,,18,18
01/04/2018 06.15,,,17,17
01/04/2018 06.30,,,16.21,16.21
01/04/2018 06.45,,,8.92,8.92
01/04/2018 07.00,,,4.74,4.74
01/04/2018 07.15,,,4.5,4.5
01/04/2018 07.30,,,4.55,4.55
01/04/2018 07.45,,,5.63,5.63
01/04/2018 08.00,,,4.53,4.53
01/04/2018 08.15,,,4.52,4.52
01/04/2018 08.30,,,5.68,5.68
01/04/2018 08.45,,,4.52,4.52
01/04/2018 09.00,,,5.79,5.79
01/04/2018 09.15,,,4.6,4.6
01/04/2018 09.30,,,5.31,5.31
01/04/2018 09.45,,,4.89,4.89
01/04/2018 10.00,,,22.58,22.58
01/04/2018 10.15,,,307.92,307.92
01/04/2018 10.30,,,423.62,423.62
01/04/2018 10.45,,,484.44,484.44
01/04/2018 11.00,,,516.21,516.21
01/04/2018 11.15,,,516.93,516.93
01/04/2018 11.30,,,493.5,493.5
01/04/2018 11.45,,,468.74,468.74
01/04/2018 12.00,,,481.79,481.79
01/04/2018 12.15,,,460.79,460.79
01/04/2018 12.30,,,504.29,504.29
01/04/2018 12.45,,,523.69,523.69
01/04/2018 13.00,,,526.03,526.03
01/04/2018 13.15,,,560.35,560.35
01/04/2018 13.30,,,570.92,570.92
01/04/2018 13.45,,,557.27,557.27
01/04/2018 14.00,,,533.87,533.87
01/04/2018 14.15,,,523.39,523.39
01/04/2018 14.30,,,522.19,522.19
01/04/2018 14.45,,,540.03,540.03
01/04/2018 15.00,,,527.11,527.11
01/04/2018 15.15,,,527.58,527.58
01/04/2018 15.30,,,527.76,527.76
01/04/2018 15.45,,,538.72,538.72
01/04/2018 16.00,,,528.77,528.77
01/04/2018 16.15,,,525.97,525.97
01/04/2018 16.30,,,543.09,543.09
01/04/2018 16.45,,,549.98,549.98
01/04/2018 17.00,,,542.76,542.76
01/04/2018 17.15,,,533.79,533.79
01/04/2018 17.30,,,520.37,520.37
01/04/2018 17.45,,,527.13,527.13
01/04/2018 18.00,,,526.27,526.27
01/04/2018 18.15,,,530.76,530.76
01/04/2018 18.30,,,531.93,531.93
01/04/2018 18.45,,,534.34,534.34
01/04/2018 19.00,,,533.01,533.01
01/04/2018 19.15,,,532.92,532.92
01/04/2018 19.30,,,526.13,526.13
01/04/2018 19.45,,,522.48,522.48
01/04/2018 20.00,,,518.64,518.64
01/04/2018 20.15,,,514.87,514.87
01/04/2018 20.30,,,511.53,511.53
01/04/2018 20.45,,,511.32,511.32
01/04/2018 21.00,,,509.34,509.34
01/04/2018 21.15,,,506.47,506.47
01/04/2018 21.30,,,504.69,504.69
01/04/2018 21.45,,,502.37,502.37
01/04/2018 22.00,,,510.48,510.48
01/04/2018 22.15,,,510.31,510.31
01/04/2018 22.30,,,505.16,505.16
01/04/2018 22.45,,,504.48,504.48
01/04/2018 23.00,,,498.53,498.53
01/04/2018 23.15,,,494.84,494.84
01/04/2018 23.30,,,499.87,499.87
01/04/2018 23.45,,,498.05,498.05
