,RATE A,RATE B,RATE C,Total
01/08/2018 00.15,,518.11,,518.11
01/08/2018 00.30,,519.82,,519.82
01/08/2018 00.45,,518.97,,518.97
01/08/2018 01.00,,508.77,,508.77
01/08/2018 01.15,,504.6,,504.6
01/08/2018 01.30,,505.48,,505.48
01/08/2018 01.45,,497.79,,497.79
01/08/2018 02.00,,495.71,,495.71
01/08/2018 02.15,,499.48,,499.48
01/08/2018 02.30,,493.37,,493.37
01/08/2018 02.45,,483.13,,483.13
01/08/2018 03.00,,488.23,,488.23
01/08/2018 03.15,,487.68,,487.68
01/08/2018 03.30,,485.03,,485.03
01/08/2018 03.45,,477.07,,477.07
01/08/2018 04.00,,479.15,,479.15
01/08/2018 04.15,,480.81,,480.81
01/08/2018 04.30,,474.61,,474.61
01/08/2018 04.45,,478.23,,478.23
01/08/2018 05.00,,478.03,,478.03
01/08/2018 05.15,,484.76,,484.76
01/08/2018 05.30,,491.48,,491.48
01/08/2018 05.45,,499.79,,499.79
01/08/2018 06.00,,508.47,,508.47
01/08/2018 06.15,,518.52,,518.52
01/08/2018 06.30,,548.67,,548.67
01/08/2018 06.45,,571.66,,571.66
01/08/2018 07.00,,602.48,,602.48
01/08/2018 07.15,,647.72,,647.72
01/08/2018 07.30,,722.58,,722.58
01/08/2018 07.45,,827.08,,827.08
01/08/2018 08.00,,907.78,,907.78
01/08/2018 08.15,,1009.95,,1009.95
01/08/2018 08.30,,1057.72,,1057.72
01/08/2018 08.45,,1106.88,,1106.88
01/08/2018 09.00,,1148.23,,1148.23
01/08/2018 09.15,1089.82,,,1089.82
01/08/2018 09.30,1129.54,,,1129.54
01/08/2018 09.45,1147.59,,,1147.59
01/08/2018 10.00,1163.57,,,1163.57
01/08/2018 10.15,1160.6,,,1160.6
01/08/2018 10.30,1143.48,,,1143.48
01/08/2018 10.45,1146.75,,,1146.75
01/08/2018 11.00,1146.65,,,1146.65
01/08/2018 11.15,1126.56,,,1126.56
01/08/2018 11.30,1159.85,,,1159.85
01/08/2018 11.45,1124.57,,,1124.57
01/08/2018 12.00,1109.56,,,1109.56
01/08/2018 12.15,1073.38,,,1073.38
01/08/2018 12.30,1077.22,,,1077.22
01/08/2018 12.45,1098.19,,,1098.19
01/08/2018 13.00,1131.78,,,1131.78
01/08/2018 13.15,1116.8,,,1116.8
01/08/2018 13.30,1109.59,,,1109.59
01/08/2018 13.45,1139.39,,,1139.39
01/08/2018 14.00,1184.75,,,1184.75
01/08/2018 14.15,1199.08,,,1199.08
01/08/2018 14.30,1143.41,,,1143.41
01/08/2018 14.45,1128.02,,,1128.02
01/08/2018 15.00,1121.86,,,1121.86
01/08/2018 15.15,1131.56,,,1131.56
01/08/2018 15.30,1133.17,,,1133.17
01/08/2018 15.45,1111.06,,,1111.06
01/08/2018 16.00,1083.51,,,1083.51
01/08/2018 16.15,1031.55,,,1031.55
01/08/2018 16.30,1008.71,,,1008.71
01/08/2018 16.45,940.07,,,940.07
01/08/2018 17.00,901.47,,,901.47
01/08/2018 17.15,869.44,,,869.44
