,RATE A,RATE B,RATE C,Total
01/12/2018 00.15,,,506.79,506.79
01/12/2018 00.30,,,505.29,505.29
01/12/2018 00.45,,,505.92,505.92
01/12/2018 01.00,,,499.77,499.77
01/12/2018 01.15,,,493.21,493.21
01/12/2018 01.30,,,491.89,491.89
01/12/2018 01.45,,,491.37,491.37
01/12/2018 02.00,,,488.37,488.37
01/12/2018 02.15,,,496.07,496.07
01/12/2018 02.30,,,497.15,497.15
01/12/2018 02.45,,,494.29,494.29
01/12/2018 03.00,,,489.69,489.69
01/12/2018 03.15,,,480.61,480.61
01/12/2018 03.30,,,480.58,480.58
01/12/2018 03.45,,,474.29,474.29
01/12/2018 04.00,,,477.15,477.15
01/12/2018 04.15,,,476.7,476.7
01/12/2018 04.30,,,470.82,470.82
01/12/2018 04.45,,,473.08,473.08
01/12/2018 05.00,,,472.58,472.58
01/12/2018 05.15,,,469.26,469.26
01/12/2018 05.30,,,477.78,477.78
01/12/2018 05.45,,,482.92,482.92
01/12/2018 06.00,,,488.98,488.98
01/12/2018 06.15,,,496.81,496.81
01/12/2018 06.30,,,494.11,494.11
01/12/2018 06.45,,,502.66,502.66
01/12/2018 07.00,,,511.21,511.21
01/12/2018 07.15,,,524.9,524.9
01/12/2018 07.30,,,532.51,532.51
01/12/2018 07.45,,,532.29,532.29
01/12/2018 08.00,,,538.18,538.18
01/12/2018 08.15,,,582.75,582.75
01/12/2018 08.30,,,623.15,623.15
01/12/2018 08.45,,,640.59,640.59
01/12/2018 09.00,,,642.8,642.8
01/12/2018 09.15,,,653.6,653.6
01/12/2018 09.30,,,666.89,666.89
01/12/2018 09.45,,,653.14,653.14
01/12/2018 10.00,,,646.73,646.73
01/12/2018 10.15,,,641.64,641.64
01/12/2018 10.30,,,636.28,636.28
01/12/2018 10.45,,,640.86,640.86
01/12/2018 11.00,,,649.51,649.51
01/12/2018 11.15,,,646.73,646.73
01/12/2018 11.30,,,647.04,647.04
01/12/2018 11.45,,,658.44,658.44
01/12/2018 12.00,,,644.23,644.23
01/12/2018 12.15,,,670.09,670.09
01/12/2018 12.30,,,685.18,685.18
01/12/2018 12.45,,,675.44,675.44
01/12/2018 13.00,,,684.67,684.67
01/12/2018 13.15,,,678.55,678.55
01/12/2018 13.30,,,659.54,659.54
01/12/2018 13.45,,,647.14,647.14
01/12/2018 14.00,,,674.3,674.3
01/12/2018 14.15,,,674.49,674.49
01/12/2018 14.30,,,656.26,656.26
01/12/2018 14.45,,,679.6,679.6
01/12/2018 15.00,,,671.2,671.2
01/12/2018 15.15,,,672.86,672.86
01/12/2018 15.30,,,657.28,657.28
01/12/2018 15.45,,,619.51,619.51
01/12/2018 16.00,,,616.25,616.25
01/12/2018 16.15,,,624.8,624.8
01/12/2018 16.30,,,606.04,606.04
01/12/2018 16.45,,,592.83,592.83
01/12/2018 17.00,,,584.87,584.87
01/12/2018 17.15,,,577.22,577.22
01/12/2018 17.30,,,568.62,568.62
01/12/2018 17.45,,,541.74,541.74
01/12/2018 18.00,,,553.61,553.61
01/12/2018 18.15,,,555.16,555.16
01/12/2018 18.30,,,545.88,545.88
01/12/2018 18.45,,,545.43,545.43
01/12/2018 19.00,,,539.74,539.74
01/12/2018 19.15,,,549.48,549.48
01/12/2018 19.30,,,541.95,541.95
01/12/2018 19.45,,,544.09,544.09
01/12/2018 20.00,,,532.39,532.39
01/12/2018 20.15,,,538.8,538.8
01/12/2018 20.30,,,534.9,534.9
01/12/2018 20.45,,,534.14,534.14
01/12/2018 21.00,,,529,529
01/12/2018 21.15,,,522.87,522.87
01/12/2018 21.30,,,525.21,525.21
01/12/2018 21.45,,,515.97,515.97
01/12/2018 22.00,,,511.95,511.95
01/12/2018 22.15,,,521.32,521.32
01/12/2018 22.30,,,531.76,531.76
01/12/2018 22.45,,,523.27,523.27
01/12/2018 23.00,,,526.66,526.66
01/12/2018 23.15,,,514.03,514.03
01/12/2018 23.30,,,513.92,513.92
01/12/2018 23.45,,,513.64,513.64
01/12/2018 24.00,,,512.23,512.23
02/12/2018 00.15,,,504.27,504.27
02/12/2018 00.30,,,509.63,509.63
02/12/2018 00.45,,,503.69,503.69
02/12/2018 01.00,,,498.74,498.74
02/12/2018 01.15,,,503.53,503.53
02/12/2018 01.30,,,501.06,501.06
02/12/2018 01.45,,,493.61,493.61
02/12/2018 02.00,,,493.1,493.1
02/12/2018 02.15,,,482.82,482.82
02/12/2018 02.30,,,486.92,486.92
02/12/2018 02.45,,,478.97,478.97
02/12/2018 03.00,,,477.76,477.76
02/12/2018 03.15,,,473.66,473.66
02/12/2018 03.30,,,471.89,471.89
02/12/2018 03.45,,,471.78,471.78
02/12/2018 04.00,,,470.58,470.58
02/12/2018 04.15,,,471.28,471.28
02/12/2018 04.30,,,477.07,477.07
02/12/2018 04.45,,,472.97,472.97
02/12/2018 05.00,,,466.15,466.15
02/12/2018 05.15,,,466.15,466.15
02/12/2018 05.30,,,469.58,469.58
02/12/2018 05.45,,,466.36,466.36
02/12/2018 06.00,,,473.1,473.1
02/12/2018 06.15,,,485.5,485.5
02/12/2018 06.30,,,483.44,483.44
02/12/2018 06.45,,,476.21,476.21
02/12/2018 07.00,,,484.19,484.19
02/12/2018 07.15,,,479.89,479.89
02/12/2018 07.30,,,496.39,496.39
02/12/2018 07.45,,,497.06,497.06
02/12/2018 08.00,,,502.13,502.13
02/12/2018 08.15,,,508.56,508.56
02/12/2018 08.30,,,528.24,528.24
02/12/2018 08.45,,,541.9,541.9
02/12/2018 09.00,,,552.09,552.09
02/12/2018 09.15,,,529.34,529.34
02/12/2018 09.30,,,518.5,518.5
02/12/2018 09.45,,,526.87,526.87
02/12/2018 10.00,,,550.64,550.64
02/12/2018 10.15,,,537.53,537.53
02/12/2018 10.30,,,563.38,563.38
02/12/2018 10.45,,,548.03,548.03
02/12/2018 11.00,,,523.74,523.74
02/12/2018 11.15,,,522.4,522.4
02/12/2018 11.30,,,526.18,526.18
02/12/2018 11.45,,,528.79,528.79
02/12/2018 12.00,,,552.14,552.14
02/12/2018 12.15,,,515.55,515.55
02/12/2018 12.30,,,541.26,541.26
02/12/2018 12.45,,,550.56,550.56
02/12/2018 13.00,,,545.69,545.69
02/12/2018 13.15,,,534.35,534.35
02/12/2018 13.30,,,520.21,520.21
02/12/2018 13.45,,,529.53,529.53
02/12/2018 14.00,,,540.68,540.68
02/12/2018 14.15,,,530.77,530.77
02/12/2018 14.30,,,540.08,540.08
02/12/2018 14.45,,,544.58,544.58
02/12/2018 15.00,,,574.16,574.16
02/12/2018 15.15,,,554.46,554.46
02/12/2018 15.30,,,557.19,557.19
02/12/2018 15.45,,,552.19,552.19
02/12/2018 16.00,,,573.37,573.37
02/12/2018 16.15,,,569.66,569.66
02/12/2018 16.30,,,556.79,556.79
02/12/2018 16.45,,,548.69,548.69
02/12/2018 17.00,,,542.84,542.84
02/12/2018 17.15,,,528.05,528.05
02/12/2018 17.30,,,527.16,527.16
02/12/2018 17.45,,,530.89,530.89
02/12/2018 18.00,,,539.21,539.21
02/12/2018 18.15,,,552.95,552.95
02/12/2018 18.30,,,523.1,523.1
02/12/2018 18.45,,,458.76,458.76
02/12/2018 19.00,,,452.05,452.05
02/12/2018 19.15,,,506.23,506.23
02/12/2018 19.30,,,486.08,486.08
02/12/2018 19.45,,,481.57,481.57
02/12/2018 20.00,,,502.63,502.63
02/12/2018 20.15,,,486.86,486.86
02/12/2018 20.30,,,485.68,485.68
02/12/2018 20.45,,,465,465
02/12/2018 21.00,,,511.08,511.08
02/12/2018 21.15,,,615.43,615.43
02/12/2018 21.30,,,598.88,598.88
02/12/2018 21.45,,,568.01,568.01
02/12/2018 22.00,,,541.38,541.38
02/12/2018 22.15,,,535.9,535.9
02/12/2018 22.30,,,534.61,534.61
02/12/2018 22.45,,,530.5,530.5
02/12/2018 23.00,,,527.34,527.34
02/12/2018 23.15,,,523.16,523.16
02/12/2018 23.30,,,526.32,526.32
02/12/2018 23.45,,,523.08,523.08
02/12/2018 24.00,,,523.87,523.87
03/12/2018 00.15,,523.92,,523.92
03/12/2018 00.30,,523.85,,523.85
03/12/2018 00.45,,518.81,,518.81
03/12/2018 01.00,,507.55,,507.55
03/12/2018 01.15,,509.13,,509.13
03/12/2018 01.30,,511.74,,511.74
03/12/2018 01.45,,504.34,,504.34
03/12/2018 02.00,,507.19,,507.19
03/12/2018 02.15,,508.42,,508.42
03/12/2018 02.30,,498.31,,498.31
03/12/2018 02.45,,495.05,,495.05
03/12/2018 03.00,,490.19,,490.19
03/12/2018 03.15,,492.34,,492.34
03/12/2018 03.30,,488.73,,488.73
03/12/2018 03.45,,485.68,,485.68
03/12/2018 04.00,,485.23,,485.23
03/12/2018 04.15,,488.1,,488.1
03/12/2018 04.30,,485.47,,485.47
03/12/2018 04.45,,477.16,,477.16
03/12/2018 05.00,,482.92,,482.92
03/12/2018 05.15,,489.13,,489.13
03/12/2018 05.30,,491.94,,491.94
03/12/2018 05.45,,504.89,,504.89
03/12/2018 06.00,,497.89,,497.89
03/12/2018 06.15,,505.74,,505.74
03/12/2018 06.30,,518.39,,518.39
03/12/2018 06.45,,548.56,,548.56
03/12/2018 07.00,,584.93,,584.93
03/12/2018 07.15,,613.27,,613.27
03/12/2018 07.30,,658.35,,658.35
03/12/2018 07.45,,739,,739
03/12/2018 08.00,,804.17,,804.17
03/12/2018 08.15,,914.7,,914.7
03/12/2018 08.30,,959.42,,959.42
03/12/2018 08.45,,1027.42,,1027.42
03/12/2018 09.00,,1082.5,,1082.5
03/12/2018 09.15,1102.56,,,1102.56
03/12/2018 09.30,1117.43,,,1117.43
03/12/2018 09.45,1112.35,,,1112.35
03/12/2018 10.00,1132.52,,,1132.52
03/12/2018 10.15,1149.33,,,1149.33
03/12/2018 10.30,1131.04,,,1131.04
03/12/2018 10.45,1111.93,,,1111.93
03/12/2018 11.00,1175.33,,,1175.33
03/12/2018 11.15,1192.57,,,1192.57
03/12/2018 11.30,1165.8,,,1165.8
03/12/2018 11.45,1185.42,,,1185.42
03/12/2018 12.00,1177.23,,,1177.23
03/12/2018 12.15,1173.88,,,1173.88
03/12/2018 12.30,1168.17,,,1168.17
03/12/2018 12.45,1197.07,,,1197.07
03/12/2018 13.00,1196.25,,,1196.25
03/12/2018 13.15,1209.99,,,1209.99
03/12/2018 13.30,1218.26,,,1218.26
03/12/2018 13.45,1211.28,,,1211.28
03/12/2018 14.00,1222.26,,,1222.26
03/12/2018 14.15,1220.81,,,1220.81
03/12/2018 14.30,1206.28,,,1206.28
03/12/2018 14.45,1213.86,,,1213.86
03/12/2018 15.00,1213.78,,,1213.78
03/12/2018 15.15,1200.26,,,1200.26
03/12/2018 15.30,1186.42,,,1186.42
03/12/2018 15.45,1177.47,,,1177.47
03/12/2018 16.00,1140.94,,,1140.94
03/12/2018 16.15,1119.32,,,1119.32
03/12/2018 16.30,1079.56,,,1079.56
03/12/2018 16.45,983.9,,,983.9
03/12/2018 17.00,921.84,,,921.84
03/12/2018 17.15,872.28,,,872.28
03/12/2018 17.30,850.64,,,850.64
03/12/2018 17.45,835.85,,,835.85
03/12/2018 18.00,828.66,,,828.66
03/12/2018 18.15,816.37,,,816.37
03/12/2018 18.30,803.01,,,803.01
03/12/2018 18.45,782.27,,,782.27
03/12/2018 19.00,768.24,,,768.24
03/12/2018 19.15,755.15,,,755.15
03/12/2018 19.30,737.81,,,737.81
03/12/2018 19.45,704.55,,,704.55
03/12/2018 20.00,680.3,,,680.3
03/12/2018 20.15,648.07,,,648.07
03/12/2018 20.30,630.69,,,630.69
03/12/2018 20.45,604.57,,,604.57
03/12/2018 21.00,589.8,,,589.8
03/12/2018 21.15,581.98,,,581.98
03/12/2018 21.30,582.98,,,582.98
03/12/2018 21.45,580.83,,,580.83
03/12/2018 22.00,579.93,,,579.93
03/12/2018 22.15,,578.11,,578.11
03/12/2018 22.30,,571.9,,571.9
03/12/2018 22.45,,571.14,,571.14
03/12/2018 23.00,,564.29,,564.29
03/12/2018 23.15,,569.59,,569.59
03/12/2018 23.30,,566.72,,566.72
03/12/2018 23.45,,569.71,,569.71
03/12/2018 24.00,,560.85,,560.85
04/12/2018 00.15,,558.72,,558.72
04/12/2018 00.30,,554.05,,554.05
04/12/2018 00.45,,549.29,,549.29
04/12/2018 01.00,,540.8,,540.8
04/12/2018 01.15,,541.29,,541.29
04/12/2018 01.30,,545.26,,545.26
04/12/2018 01.45,,540.03,,540.03
04/12/2018 02.00,,544.66,,544.66
04/12/2018 02.15,,541.71,,541.71
04/12/2018 02.30,,532.14,,532.14
04/12/2018 02.45,,527.55,,527.55
04/12/2018 03.00,,524.89,,524.89
04/12/2018 03.15,,520.55,,520.55
04/12/2018 03.30,,519.52,,519.52
04/12/2018 03.45,,517.45,,517.45
04/12/2018 04.00,,513.19,,513.19
04/12/2018 04.15,,513.39,,513.39
04/12/2018 04.30,,507.1,,507.1
04/12/2018 04.45,,507.35,,507.35
04/12/2018 05.00,,508.74,,508.74
04/12/2018 05.15,,512.37,,512.37
04/12/2018 05.30,,517.31,,517.31
04/12/2018 05.45,,527.93,,527.93
04/12/2018 06.00,,538.59,,538.59
04/12/2018 06.15,,556.08,,556.08
04/12/2018 06.30,,591.49,,591.49
04/12/2018 06.45,,629.07,,629.07
04/12/2018 07.00,,659.96,,659.96
04/12/2018 07.15,,694.5,,694.5
04/12/2018 07.30,,744.95,,744.95
04/12/2018 07.45,,817.14,,817.14
04/12/2018 08.00,,918.07,,918.07
04/12/2018 08.15,,1014.79,,1014.79
04/12/2018 08.30,,1068.85,,1068.85
04/12/2018 08.45,,1128.73,,1128.73
04/12/2018 09.00,,1157.09,,1157.09
04/12/2018 09.15,1184.65,,,1184.65
04/12/2018 09.30,1190.1,,,1190.1
04/12/2018 09.45,1199,,,1199
04/12/2018 10.00,1209.68,,,1209.68
04/12/2018 10.15,1228.71,,,1228.71
04/12/2018 10.30,1199.71,,,1199.71
04/12/2018 10.45,1179.76,,,1179.76
04/12/2018 11.00,1175.55,,,1175.55
04/12/2018 11.15,1179.02,,,1179.02
04/12/2018 11.30,1074.85,,,1074.85
04/12/2018 11.45,1064.67,,,1064.67
04/12/2018 12.00,1127.38,,,1127.38
04/12/2018 12.15,1179.62,,,1179.62
04/12/2018 12.30,1131.28,,,1131.28
04/12/2018 12.45,1115.94,,,1115.94
04/12/2018 13.00,1141.77,,,1141.77
04/12/2018 13.15,1132.88,,,1132.88
04/12/2018 13.30,1161.51,,,1161.51
04/12/2018 13.45,1172.25,,,1172.25
04/12/2018 14.00,1179.99,,,1179.99
04/12/2018 14.15,1161.3,,,1161.3
04/12/2018 14.30,1171.8,,,1171.8
04/12/2018 14.45,1184.07,,,1184.07
04/12/2018 15.00,1165.47,,,1165.47
04/12/2018 15.15,1173.28,,,1173.28
04/12/2018 15.30,1163.67,,,1163.67
