,RATE A,RATE B,RATE C,Total
01/02/2018 00.15,,526.66,,526.66
01/02/2018 00.30,,520.42,,520.42
01/02/2018 00.45,,508.68,,508.68
01/02/2018 01.00,,513.6,,513.6
01/02/2018 01.15,,509.61,,509.61
01/02/2018 01.30,,505.39,,505.39
01/02/2018 01.45,,499.21,,499.21
01/02/2018 02.00,,497.73,,497.73
01/02/2018 02.15,,496.13,,496.13
01/02/2018 02.30,,490.89,,490.89
01/02/2018 02.45,,486.63,,486.63
01/02/2018 03.00,,482.69,,482.69
01/02/2018 03.15,,477.65,,477.65
01/02/2018 03.30,,479.45,,479.45
01/02/2018 03.45,,473.5,,473.5
01/02/2018 04.00,,469.81,,469.81
01/02/2018 04.15,,472.79,,472.79
01/02/2018 04.30,,469.1,,469.1
01/02/2018 04.45,,471.79,,471.79
01/02/2018 05.00,,472.87,,472.87
01/02/2018 05.15,,475.49,,475.49
01/02/2018 05.30,,482.82,,482.82
01/02/2018 05.45,,486.05,,486.05
01/02/2018 06.00,,487.87,,487.87
01/02/2018 06.15,,506.19,,506.19
01/02/2018 06.30,,523.29,,523.29
01/02/2018 06.45,,559.58,,559.58
01/02/2018 07.00,,597.51,,597.51
01/02/2018 07.15,,601.67,,601.67
01/02/2018 07.30,,648.65,,648.65
01/02/2018 07.45,,699.46,,699.46
01/02/2018 08.00,,753.02,,753.02
01/02/2018 08.15,,820.51,,820.51
01/02/2018 08.30,,880.75,,880.75
01/02/2018 08.45,,946.87,,946.87
01/02/2018 09.00,,964.63,,964.63
01/02/2018 09.15,952.02,,,952.02
01/02/2018 09.30,956.5,,,956.5
01/02/2018 09.45,958.5,,,958.5
01/02/2018 10.00,992.73,,,992.73
01/02/2018 10.15,963.54,,,963.54
01/02/2018 10.30,953.84,,,953.84
01/02/2018 10.45,974.95,,,974.95
01/02/2018 11.00,992.74,,,992.74
01/02/2018 11.15,946.96,,,946.96
01/02/2018 11.30,926.89,,,926.89
01/02/2018 11.45,927.28,,,927.28
01/02/2018 12.00,940.15,,,940.15
01/02/2018 12.15,914.15,,,914.15
01/02/2018 12.30,952.02,,,952.02
01/02/2018 12.45,941.89,,,941.89
01/02/2018 13.00,957.68,,,957.68
01/02/2018 13.15,1002.34,,,1002.34
01/02/2018 13.30,964.36,,,964.36
01/02/2018 13.45,999.1,,,999.1
01/02/2018 14.00,978.13,,,978.13
01/02/2018 14.15,936.84,,,936.84
01/02/2018 14.30,952.1,,,952.1
01/02/2018 14.45,954.34,,,954.34
01/02/2018 15.00,948.92,,,948.92
01/02/2018 15.15,933.49,,,933.49
01/02/2018 15.30,929.38,,,929.38
01/02/2018 15.45,931.39,,,931.39
01/02/2018 16.00,915.73,,,915.73
01/02/2018 16.15,898.88,,,898.88
