,RATE A,RATE B,RATE C,Total
01/01/2018 00.15,,,403.2,403.2
01/01/2018 00.30,,,408.07,408.07
01/01/2018 00.45,,,402.3,402.3
01/01/2018 01.00,,,400.01,400.01
01/01/2018 01.15,,,400.75,400.75
01/01/2018 01.30,,,395.73,395.73
01/01/2018 01.45,,,391.86,391.86
01/01/2018 02.00,,,395.73,395.73
01/01/2018 02.15,,,395.18,395.18
01/01/2018 02.30,,,393.49,393.49
01/01/2018 02.45,,,389.93,389.93
01/01/2018 03.00,,,381.14,381.14
01/01/2018 03.15,,,381.81,381.81
01/01/2018 03.30,,,376.54,376.54
01/01/2018 03.45,,,376.85,376.85
01/01/2018 04.00,,,378.1,378.1
01/01/2018 04.15,,,375.54,375.54
01/01/2018 04.30,,,371.36,371.36
01/01/2018 04.45,,,367.93,367.93
01/01/2018 05.00,,,374.35,374.35
01/01/2018 05.15,,,378.65,378.65
01/01/2018 05.30,,,378.2,378.2
01/01/2018 05.45,,,375.49,375.49
01/01/2018 06.00,,,386.3,386.3
01/01/2018 06.15,,,394.65,394.65
01/01/2018 06.30,,,398.23,398.23
01/01/2018 06.45,,,395.75,395.75
01/01/2018 07.00,,,394.65,394.65
01/01/2018 07.15,,,381.04,381.04
01/01/2018 07.30,,,375.38,375.38
01/01/2018 07.45,,,369.65,369.65
01/01/2018 08.00,,,367.06,367.06
01/01/2018 08.15,,,355.59,355.59
01/01/2018 08.30,,,357.96,357.96
01/01/2018 08.45,,,357.44,357.44
01/01/2018 09.00,,,342.66,342.66
01/01/2018 09.15,,,346.32,346.32
01/01/2018 09.30,,,332.7,332.7
01/01/2018 09.45,,,325.59,325.59
01/01/2018 10.00,,,316.08,316.08
01/01/2018 10.15,,,317.92,317.92
01/01/2018 10.30,,,316.11,316.11
01/01/2018 10.45,,,317.08,317.08
01/01/2018 11.00,,,318.61,318.61
01/01/2018 11.15,,,314.85,314.85
01/01/2018 11.30,,,311.74,311.74
01/01/2018 11.45,,,308.46,308.46
01/01/2018 12.00,,,327.09,327.09
01/01/2018 12.15,,,323.72,323.72
01/01/2018 12.30,,,299.46,299.46
01/01/2018 12.45,,,298.9,298.9
01/01/2018 13.00,,,293.61,293.61
01/01/2018 13.15,,,320.91,320.91
01/01/2018 13.30,,,378.38,378.38
01/01/2018 13.45,,,396.85,396.85
01/01/2018 14.00,,,330.61,330.61
01/01/2018 14.15,,,315.24,315.24
