,RATE A,RATE B,RATE C,Total
01/07/2018 00.15,,,483.95,483.95
01/07/2018 00.30,,,480.87,480.87
01/07/2018 00.45,,,481.52,481.52
01/07/2018 01.00,,,475.42,475.42
01/07/2018 01.15,,,477.61,477.61
01/07/2018 01.30,,,473.57,473.57
01/07/2018 01.45,,,472.13,472.13
01/07/2018 02.00,,,467.37,467.37
01/07/2018 02.15,,,466.81,466.81
01/07/2018 02.30,,,465.79,465.79
01/07/2018 02.45,,,466.57,466.57
01/07/2018 03.00,,,458.6,458.6
01/07/2018 03.15,,,454.02,454.02
01/07/2018 03.30,,,447.49,447.49
01/07/2018 03.45,,,448.7,448.7
01/07/2018 04.00,,,449.62,449.62
01/07/2018 04.15,,,446.65,446.65
01/07/2018 04.30,,,439.25,439.25
01/07/2018 04.45,,,447.81,447.81
01/07/2018 05.00,,,448.42,448.42
01/07/2018 05.15,,,449.76,449.76
01/07/2018 05.30,,,450.57,450.57
01/07/2018 05.45,,,454.37,454.37
01/07/2018 06.00,,,450.54,450.54
01/07/2018 06.15,,,440.83,440.83
01/07/2018 06.30,,,445.04,445.04
01/07/2018 06.45,,,454.15,454.15
01/07/2018 07.00,,,452.04,452.04
01/07/2018 07.15,,,474.28,474.28
01/07/2018 07.30,,,467.53,467.53
01/07/2018 07.45,,,470.95,470.95
01/07/2018 08.00,,,470.1,470.1
01/07/2018 08.15,,,486.9,486.9
01/07/2018 08.30,,,497.9,497.9
01/07/2018 08.45,,,494.68,494.68
01/07/2018 09.00,,,490.68,490.68
01/07/2018 09.15,,,497.42,497.42
01/07/2018 09.30,,,492.77,492.77
01/07/2018 09.45,,,483.36,483.36
01/07/2018 10.00,,,475.41,475.41
01/07/2018 10.15,,,467.23,467.23
01/07/2018 10.30,,,463.37,463.37
01/07/2018 10.45,,,462.73,462.73
01/07/2018 11.00,,,471.76,471.76
01/07/2018 11.15,,,471.23,471.23
01/07/2018 11.30,,,488.39,488.39
01/07/2018 11.45,,,476.05,476.05
01/07/2018 12.00,,,482.79,482.79
01/07/2018 12.15,,,493.45,493.45
01/07/2018 12.30,,,479.32,479.32
01/07/2018 12.45,,,481.55,481.55
01/07/2018 13.00,,,479.74,479.74
01/07/2018 13.15,,,475.39,475.39
01/07/2018 13.30,,,499.6,499.6
01/07/2018 13.45,,,496.21,496.21
01/07/2018 14.00,,,512.79,512.79
01/07/2018 14.15,,,509.53,509.53
01/07/2018 14.30,,,501.76,501.76
01/07/2018 14.45,,,515.56,515.56
01/07/2018 15.00,,,520.48,520.48
01/07/2018 15.15,,,517.52,517.52
01/07/2018 15.30,,,534.5,534.5
01/07/2018 15.45,,,537.53,537.53
01/07/2018 16.00,,,547.77,547.77
01/07/2018 16.15,,,561.16,561.16
01/07/2018 16.30,,,550.42,550.42
01/07/2018 16.45,,,551.42,551.42
01/07/2018 17.00,,,543.32,543.32
01/07/2018 17.15,,,533.89,533.89
01/07/2018 17.30,,,538.95,538.95
01/07/2018 17.45,,,547.61,547.61
01/07/2018 18.00,,,542.92,542.92
01/07/2018 18.15,,,542.58,542.58
01/07/2018 18.30,,,541.8,541.8
01/07/2018 18.45,,,563.64,563.64
01/07/2018 19.00,,,572.72,572.72
01/07/2018 19.15,,,571.01,571.01
01/07/2018 19.30,,,559.79,559.79
01/07/2018 19.45,,,554.05,554.05
01/07/2018 20.00,,,537.09,537.09
01/07/2018 20.15,,,532.05,532.05
01/07/2018 20.30,,,523.16,523.16
01/07/2018 20.45,,,518.48,518.48
01/07/2018 21.00,,,519.87,519.87
01/07/2018 21.15,,,521.14,521.14
01/07/2018 21.30,,,523.1,523.1
01/07/2018 21.45,,,522.4,522.4
01/07/2018 22.00,,,525.34,525.34
01/07/2018 22.15,,,520.56,520.56
01/07/2018 22.30,,,517.19,517.19
01/07/2018 22.45,,,514.68,514.68
01/07/2018 23.00,,,514.93,514.93
01/07/2018 23.15,,,508.31,508.31
01/07/2018 23.30,,,500.63,500.63
01/07/2018 23.45,,,505.13,505.13
01/07/2018 24.00,,,511.08,511.08
02/07/2018 00.15,,507.77,,507.77
02/07/2018 00.30,,509.35,,509.35
02/07/2018 00.45,,504.03,,504.03
02/07/2018 01.00,,499.77,,499.77
02/07/2018 01.15,,489.87,,489.87
02/07/2018 01.30,,491.08,,491.08
02/07/2018 01.45,,494.03,,494.03
02/07/2018 02.00,,484.99,,484.99
02/07/2018 02.15,,491.32,,491.32
02/07/2018 02.30,,489.21,,489.21
02/07/2018 02.45,,483.63,,483.63
02/07/2018 03.00,,480.16,,480.16
