,RATE A,RATE B,RATE C,Total
01/03/2018 00.15,,,502.81,502.81
01/03/2018 00.30,,,502.31,502.31
01/03/2018 00.45,,,504.47,504.47
01/03/2018 01.00,,,501.81,501.81
01/03/2018 01.15,,,505.68,505.68
01/03/2018 01.30,,,500.34,500.34
01/03/2018 01.45,,,498.1,498.1
01/03/2018 02.00,,,487.53,487.53
01/03/2018 02.15,,,488.15,488.15
01/03/2018 02.30,,,484.73,484.73
01/03/2018 02.45,,,483.79,483.79
01/03/2018 03.00,,,476.07,476.07
01/03/2018 03.15,,,474.6,474.6
01/03/2018 03.30,,,472.94,472.94
01/03/2018 03.45,,,470.15,470.15
01/03/2018 04.00,,,468.94,468.94
01/03/2018 04.15,,,468.66,468.66
01/03/2018 04.30,,,464.57,464.57
01/03/2018 04.45,,,463.92,463.92
01/03/2018 05.00,,,466.41,466.41
01/03/2018 05.15,,,466.63,466.63
01/03/2018 05.30,,,468,468
01/03/2018 05.45,,,477.6,477.6
01/03/2018 06.00,,,480.34,480.34
01/03/2018 06.15,,,489.31,489.31
01/03/2018 06.30,,,491.61,491.61
01/03/2018 06.45,,,488.71,488.71
01/03/2018 07.00,,,475.74,475.74
01/03/2018 07.15,,,482.4,482.4
01/03/2018 07.30,,,478.45,478.45
01/03/2018 07.45,,,479.34,479.34
01/03/2018 08.00,,,470.97,470.97
01/03/2018 08.15,,,477.68,477.68
01/03/2018 08.30,,,479.07,479.07
01/03/2018 08.45,,,481.63,481.63
01/03/2018 09.00,,,476.97,476.97
01/03/2018 09.15,,,476.63,476.63
01/03/2018 09.30,,,480.6,480.6
01/03/2018 09.45,,,480.92,480.92
01/03/2018 10.00,,,476.65,476.65
01/03/2018 10.15,,,490.48,490.48
01/03/2018 10.30,,,483.58,483.58
01/03/2018 10.45,,,475.81,475.81
01/03/2018 11.00,,,483.84,483.84
01/03/2018 11.15,,,483.24,483.24
01/03/2018 11.30,,,516.66,516.66
01/03/2018 11.45,,,453.1,453.1
01/03/2018 12.00,,,464.1,464.1
01/03/2018 12.15,,,473.92,473.92
01/03/2018 12.30,,,465.68,465.68
01/03/2018 12.45,,,467.92,467.92
01/03/2018 13.00,,,467.32,467.32
01/03/2018 13.15,,,467.12,467.12
01/03/2018 13.30,,,467.07,467.07
01/03/2018 13.45,,,492.66,492.66
01/03/2018 14.00,,,469.57,469.57
01/03/2018 14.15,,,478.99,478.99
01/03/2018 14.30,,,492.74,492.74
01/03/2018 14.45,,,494.03,494.03
01/03/2018 15.00,,,489.73,489.73
01/03/2018 15.15,,,508.79,508.79
01/03/2018 15.30,,,524.89,524.89
01/03/2018 15.45,,,548.76,548.76
01/03/2018 16.00,,,543.9,543.9
01/03/2018 16.15,,,533.4,533.4
01/03/2018 16.30,,,524.22,524.22
01/03/2018 16.45,,,528.47,528.47
01/03/2018 17.00,,,540.13,540.13
01/03/2018 17.15,,,542.71,542.71
01/03/2018 17.30,,,540.13,540.13
01/03/2018 17.45,,,544.87,544.87
01/03/2018 18.00,,,543.48,543.48
01/03/2018 18.15,,,554.56,554.56
01/03/2018 18.30,,,557.38,557.38
01/03/2018 18.45,,,565.83,565.83
01/03/2018 19.00,,,556.29,556.29
01/03/2018 19.15,,,544.71,544.71
01/03/2018 19.30,,,541,541
01/03/2018 19.45,,,548.95,548.95
01/03/2018 20.00,,,531.74,531.74
01/03/2018 20.15,,,536.69,536.69
01/03/2018 20.30,,,530.03,530.03
01/03/2018 20.45,,,535.48,535.48
01/03/2018 21.00,,,536.77,536.77
01/03/2018 21.15,,,534.45,534.45
01/03/2018 21.30,,,527.53,527.53
01/03/2018 21.45,,,523.31,523.31
01/03/2018 22.00,,,524.24,524.24
01/03/2018 22.15,,,525.55,525.55
01/03/2018 22.30,,,524.92,524.92
01/03/2018 22.45,,,530.77,530.77
01/03/2018 23.00,,,518.76,518.76
01/03/2018 23.15,,,518.37,518.37
01/03/2018 23.30,,,519.87,519.87
01/03/2018 23.45,,,522.21,522.21
01/03/2018 24.00,,,516.39,516.39
02/03/2018 00.15,,510.26,,510.26
02/03/2018 00.30,,512.89,,512.89
02/03/2018 00.45,,508.47,,508.47
02/03/2018 01.00,,504.68,,504.68
02/03/2018 01.15,,498.95,,498.95
02/03/2018 01.30,,497.63,,497.63
02/03/2018 01.45,,495.32,,495.32
02/03/2018 02.00,,490.39,,490.39
02/03/2018 02.15,,485.82,,485.82
02/03/2018 02.30,,484.08,,484.08
02/03/2018 02.45,,488.74,,488.74
02/03/2018 03.00,,480.26,,480.26
02/03/2018 03.15,,472.6,,472.6
02/03/2018 03.30,,473.2,,473.2
02/03/2018 03.45,,471.6,,471.6
02/03/2018 04.00,,469.6,,469.6
02/03/2018 04.15,,468.29,,468.29
02/03/2018 04.30,,462.55,,462.55
02/03/2018 04.45,,466.7,,466.7
02/03/2018 05.00,,465.73,,465.73
02/03/2018 05.15,,469.5,,469.5
02/03/2018 05.30,,471.6,,471.6
02/03/2018 05.45,,482.89,,482.89
02/03/2018 06.00,,495.03,,495.03
02/03/2018 06.15,,505.11,,505.11
02/03/2018 06.30,,530.43,,530.43
02/03/2018 06.45,,546.35,,546.35
02/03/2018 07.00,,566.54,,566.54
02/03/2018 07.15,,615.19,,615.19
02/03/2018 07.30,,671.78,,671.78
02/03/2018 07.45,,762.89,,762.89
02/03/2018 08.00,,859.36,,859.36
02/03/2018 08.15,,961.18,,961.18
02/03/2018 08.30,,996.21,,996.21
02/03/2018 08.45,,1064.93,,1064.93
02/03/2018 09.00,,1088.9,,1088.9
02/03/2018 09.15,1121.3,,,1121.3
02/03/2018 09.30,1109.77,,,1109.77
02/03/2018 09.45,1116.06,,,1116.06
02/03/2018 10.00,1167.12,,,1167.12
