,RATE A,RATE B,RATE C,Total
01/05/2018 00.15,,,488.18,488.18
01/05/2018 00.30,,,490.47,490.47
01/05/2018 00.45,,,489.13,489.13
01/05/2018 01.00,,,484.02,484.02
01/05/2018 01.15,,,479.16,479.16
01/05/2018 01.30,,,475.15,475.15
01/05/2018 01.45,,,477.47,477.47
01/05/2018 02.00,,,474.74,474.74
01/05/2018 02.15,,,478.99,478.99
01/05/2018 02.30,,,474.5,474.5
01/05/2018 02.45,,,467.65,467.65
01/05/2018 03.00,,,466.37,466.37
01/05/2018 03.15,,,462.28,462.28
01/05/2018 03.30,,,461.62,461.62
01/05/2018 03.45,,,459.15,459.15
01/05/2018 04.00,,,457.29,457.29
01/05/2018 04.15,,,456.21,456.21
01/05/2018 04.30,,,451.83,451.83
01/05/2018 04.45,,,451.6,451.6
01/05/2018 05.00,,,456.68,456.68
01/05/2018 05.15,,,460.44,460.44
01/05/2018 05.30,,,464.63,464.63
01/05/2018 05.45,,,472.86,472.86
01/05/2018 06.00,,,476.74,476.74
01/05/2018 06.15,,,489.5,489.5
01/05/2018 06.30,,,512.71,512.71
01/05/2018 06.45,,,531.58,531.58
01/05/2018 07.00,,,560.11,560.11
01/05/2018 07.15,,,615.43,615.43
01/05/2018 07.30,,,675.23,675.23
01/05/2018 07.45,,,741.03,741.03
01/05/2018 08.00,,,779.08,779.08
01/05/2018 08.15,,,837.59,837.59
01/05/2018 08.30,,,963.97,963.97
01/05/2018 08.45,,,1037.4,1037.4
01/05/2018 09.00,,,1041.9,1041.9
01/05/2018 09.15,,,1037.63,1037.63
01/05/2018 09.30,,,1059.66,1059.66
01/05/2018 09.45,,,1096.09,1096.09
01/05/2018 10.00,,,1097.14,1097.14
01/05/2018 10.15,,,1104.04,1104.04
01/05/2018 10.30,,,1044.85,1044.85
01/05/2018 10.45,,,1062.74,1062.74
01/05/2018 11.00,,,1139.73,1139.73
01/05/2018 11.15,,,1109.07,1109.07
01/05/2018 11.30,,,1032.34,1032.34
01/05/2018 11.45,,,1027.4,1027.4
