,RATE A,RATE B,RATE C,Total
01/09/2018 00.15,,,506.02,506.02
01/09/2018 00.30,,,500.32,500.32
01/09/2018 00.45,,,497,497
01/09/2018 01.00,,,485.97,485.97
01/09/2018 01.15,,,486.31,486.31
01/09/2018 01.30,,,479.29,479.29
01/09/2018 01.45,,,474.26,474.26
01/09/2018 02.00,,,475.23,475.23
01/09/2018 02.15,,,477.2,477.2
01/09/2018 02.30,,,471.16,471.16
01/09/2018 02.45,,,468.97,468.97
01/09/2018 03.00,,,466.23,466.23
01/09/2018 03.15,,,464.91,464.91
01/09/2018 03.30,,,465.84,465.84
01/09/2018 03.45,,,461.02,461.02
01/09/2018 04.00,,,459.83,459.83
01/09/2018 04.15,,,460.79,460.79
01/09/2018 04.30,,,457.97,457.97
01/09/2018 04.45,,,456.78,456.78
01/09/2018 05.00,,,460.31,460.31
01/09/2018 05.15,,,462.97,462.97
01/09/2018 05.30,,,469.45,469.45
01/09/2018 05.45,,,470.13,470.13
01/09/2018 06.00,,,474.99,474.99
01/09/2018 06.15,,,479.45,479.45
01/09/2018 06.30,,,473.6,473.6
01/09/2018 06.45,,,490.63,490.63
01/09/2018 07.00,,,500.15,500.15
01/09/2018 07.15,,,501.39,501.39
01/09/2018 07.30,,,506.53,506.53
01/09/2018 07.45,,,519.77,519.77
01/09/2018 08.00,,,533.03,533.03
01/09/2018 08.15,,,582.77,582.77
01/09/2018 08.30,,,616.53,616.53
01/09/2018 08.45,,,612.91,612.91
01/09/2018 09.00,,,618.51,618.51
01/09/2018 09.15,,,624.2,624.2
01/09/2018 09.30,,,631.91,631.91
01/09/2018 09.45,,,643.31,643.31
01/09/2018 10.00,,,635.7,635.7
01/09/2018 10.15,,,644.41,644.41
01/09/2018 10.30,,,651.22,651.22
01/09/2018 10.45,,,639.41,639.41
01/09/2018 11.00,,,637.36,637.36
01/09/2018 11.15,,,619.78,619.78
01/09/2018 11.30,,,623.17,623.17
01/09/2018 11.45,,,642.41,642.41
01/09/2018 12.00,,,669.41,669.41
01/09/2018 12.15,,,659.38,659.38
01/09/2018 12.30,,,632.54,632.54
01/09/2018 12.45,,,627.7,627.7
01/09/2018 13.00,,,635.07,635.07
01/09/2018 13.15,,,646.3,646.3
01/09/2018 13.30,,,630.77,630.77
01/09/2018 13.45,,,719.89,719.89
01/09/2018 14.00,,,683.12,683.12
01/09/2018 14.15,,,656.76,656.76
01/09/2018 14.30,,,646.41,646.41
01/09/2018 14.45,,,650.67,650.67
01/09/2018 15.00,,,669.92,669.92
01/09/2018 15.15,,,630.77,630.77
01/09/2018 15.30,,,652.54,652.54
01/09/2018 15.45,,,653.93,653.93
01/09/2018 16.00,,,671.52,671.52
01/09/2018 16.15,,,638.73,638.73
01/09/2018 16.30,,,651.51,651.51
01/09/2018 16.45,,,630.51,630.51
01/09/2018 17.00,,,612.41,612.41
01/09/2018 17.15,,,589.72,589.72
01/09/2018 17.30,,,574.96,574.96
01/09/2018 17.45,,,560.45,560.45
01/09/2018 18.00,,,561.42,561.42
01/09/2018 18.15,,,571.29,571.29
01/09/2018 18.30,,,554.32,554.32
01/09/2018 18.45,,,562.48,562.48
01/09/2018 19.00,,,550.87,550.87
01/09/2018 19.15,,,545.63,545.63
01/09/2018 19.30,,,540.82,540.82
01/09/2018 19.45,,,527.61,527.61
01/09/2018 20.00,,,528.42,528.42
01/09/2018 20.15,,,527.85,527.85
01/09/2018 20.30,,,522.6,522.6
01/09/2018 20.45,,,512.5,512.5
01/09/2018 21.00,,,514.26,514.26
01/09/2018 21.15,,,513.81,513.81
01/09/2018 21.30,,,518.08,518.08
01/09/2018 21.45,,,516.53,516.53
01/09/2018 22.00,,,514.87,514.87
01/09/2018 22.15,,,514.05,514.05
01/09/2018 22.30,,,514.68,514.68
01/09/2018 22.45,,,515.13,515.13
01/09/2018 23.00,,,512.32,512.32
01/09/2018 23.15,,,506.98,506.98
01/09/2018 23.30,,,507.9,507.9
01/09/2018 23.45,,,507.6,507.6
01/09/2018 24.00,,,503.1,503.1
02/09/2018 00.15,,,502.76,502.76
02/09/2018 00.30,,,496.63,496.63
02/09/2018 00.45,,,501.53,501.53
02/09/2018 01.00,,,490.78,490.78
02/09/2018 01.15,,,487.4,487.4
02/09/2018 01.30,,,484.89,484.89
02/09/2018 01.45,,,475.73,475.73
02/09/2018 02.00,,,475.52,475.52
02/09/2018 02.15,,,480.61,480.61
02/09/2018 02.30,,,475.94,475.94
02/09/2018 02.45,,,470.24,470.24
02/09/2018 03.00,,,469.99,469.99
02/09/2018 03.15,,,465.2,465.2
02/09/2018 03.30,,,465.02,465.02
02/09/2018 03.45,,,471.1,471.1
02/09/2018 04.00,,,467.53,467.53
02/09/2018 04.15,,,463.28,463.28
02/09/2018 04.30,,,462.86,462.86
02/09/2018 04.45,,,457.04,457.04
02/09/2018 05.00,,,451.68,451.68
02/09/2018 05.15,,,456.91,456.91
02/09/2018 05.30,,,454.33,454.33
02/09/2018 05.45,,,458.94,458.94
02/09/2018 06.00,,,468.1,468.1
02/09/2018 06.15,,,460.84,460.84
02/09/2018 06.30,,,454.42,454.42
02/09/2018 06.45,,,474.94,474.94
02/09/2018 07.00,,,490.15,490.15
02/09/2018 07.15,,,481.26,481.26
02/09/2018 07.30,,,475.73,475.73
02/09/2018 07.45,,,487.07,487.07
02/09/2018 08.00,,,476.82,476.82
02/09/2018 08.15,,,477,477
02/09/2018 08.30,,,473.82,473.82
02/09/2018 08.45,,,476.84,476.84
02/09/2018 09.00,,,478.34,478.34
02/09/2018 09.15,,,510.69,510.69
02/09/2018 09.30,,,480.26,480.26
02/09/2018 09.45,,,533.92,533.92
02/09/2018 10.00,,,506.52,506.52
02/09/2018 10.15,,,481.4,481.4
02/09/2018 10.30,,,483.9,483.9
02/09/2018 10.45,,,481.84,481.84
02/09/2018 11.00,,,470.44,470.44
02/09/2018 11.15,,,497.06,497.06
02/09/2018 11.30,,,515.13,515.13
02/09/2018 11.45,,,512.18,512.18
02/09/2018 12.00,,,564.95,564.95
02/09/2018 12.15,,,552.09,552.09
02/09/2018 12.30,,,531.53,531.53
02/09/2018 12.45,,,516.74,516.74
02/09/2018 13.00,,,515.06,515.06
02/09/2018 13.15,,,519.02,519.02
02/09/2018 13.30,,,514.66,514.66
02/09/2018 13.45,,,512.81,512.81
02/09/2018 14.00,,,531.26,531.26
02/09/2018 14.15,,,538.74,538.74
02/09/2018 14.30,,,533.4,533.4
02/09/2018 14.45,,,538.14,538.14
02/09/2018 15.00,,,560.19,560.19
02/09/2018 15.15,,,543.45,543.45
02/09/2018 15.30,,,558,558
02/09/2018 15.45,,,597.72,597.72
02/09/2018 16.00,,,596.56,596.56
02/09/2018 16.15,,,592.98,592.98
02/09/2018 16.30,,,561.13,561.13
02/09/2018 16.45,,,545.5,545.5
02/09/2018 17.00,,,544.3,544.3
02/09/2018 17.15,,,548.69,548.69
02/09/2018 17.30,,,546.3,546.3
02/09/2018 17.45,,,554.37,554.37
02/09/2018 18.00,,,556.43,556.43
02/09/2018 18.15,,,560.82,560.82
02/09/2018 18.30,,,570.46,570.46
02/09/2018 18.45,,,572.22,572.22
02/09/2018 19.00,,,571.32,571.32
02/09/2018 19.15,,,563.09,563.09
02/09/2018 19.30,,,562.72,562.72
02/09/2018 19.45,,,561.93,561.93
02/09/2018 20.00,,,566.43,566.43
02/09/2018 20.15,,,566.71,566.71
02/09/2018 20.30,,,579.98,579.98
02/09/2018 20.45,,,585.93,585.93
02/09/2018 21.00,,,571.09,571.09
02/09/2018 21.15,,,569.95,569.95
02/09/2018 21.30,,,566.9,566.9
02/09/2018 21.45,,,560.75,560.75
02/09/2018 22.00,,,564.08,564.08
02/09/2018 22.15,,,557.46,557.46
02/09/2018 22.30,,,560.19,560.19
02/09/2018 22.45,,,561.45,561.45
02/09/2018 23.00,,,555.82,555.82
02/09/2018 23.15,,,555.48,555.48
02/09/2018 23.30,,,554.24,554.24
02/09/2018 23.45,,,553.05,553.05
02/09/2018 24.00,,,554.01,554.01
03/09/2018 00.15,,556.43,,556.43
03/09/2018 00.30,,553.4,,553.4
03/09/2018 00.45,,546.06,,546.06
03/09/2018 01.00,,547.77,,547.77
03/09/2018 01.15,,536.59,,536.59
03/09/2018 01.30,,528.48,,528.48
03/09/2018 01.45,,526.71,,526.71
03/09/2018 02.00,,524.53,,524.53
03/09/2018 02.15,,530.08,,530.08
03/09/2018 02.30,,523.21,,523.21
03/09/2018 02.45,,520.43,,520.43
03/09/2018 03.00,,518.22,,518.22
03/09/2018 03.15,,512.23,,512.23
03/09/2018 03.30,,506.68,,506.68
03/09/2018 03.45,,509.58,,509.58
03/09/2018 04.00,,504.24,,504.24
03/09/2018 04.15,,512.31,,512.31
03/09/2018 04.30,,500.37,,500.37
03/09/2018 04.45,,501.05,,501.05
03/09/2018 05.00,,503.11,,503.11
03/09/2018 05.15,,509.4,,509.4
03/09/2018 05.30,,519.1,,519.1
03/09/2018 05.45,,529.14,,529.14
03/09/2018 06.00,,529.69,,529.69
03/09/2018 06.15,,536.59,,536.59
03/09/2018 06.30,,544.13,,544.13
03/09/2018 06.45,,599.3,,599.3
03/09/2018 07.00,,630.91,,630.91
03/09/2018 07.15,,667.15,,667.15
03/09/2018 07.30,,729.36,,729.36
03/09/2018 07.45,,834.72,,834.72
03/09/2018 08.00,,946.47,,946.47
03/09/2018 08.15,,1012.58,,1012.58
03/09/2018 08.30,,1072.25,,1072.25
03/09/2018 08.45,,1145.73,,1145.73
03/09/2018 09.00,,1174.18,,1174.18
03/09/2018 09.15,1173.49,,,1173.49
03/09/2018 09.30,1180.86,,,1180.86
03/09/2018 09.45,1169.68,,,1169.68
03/09/2018 10.00,1174.54,,,1174.54
03/09/2018 10.15,1165.89,,,1165.89
03/09/2018 10.30,1197.96,,,1197.96
03/09/2018 10.45,1209.63,,,1209.63
03/09/2018 11.00,1193.38,,,1193.38
03/09/2018 11.15,1196.79,,,1196.79
03/09/2018 11.30,1212.6,,,1212.6
03/09/2018 11.45,1201.37,,,1201.37
03/09/2018 12.00,1200.99,,,1200.99
03/09/2018 12.15,1173.62,,,1173.62
03/09/2018 12.30,1193.31,,,1193.31
03/09/2018 12.45,1164.88,,,1164.88
03/09/2018 13.00,1147.75,,,1147.75
03/09/2018 13.15,1157.59,,,1157.59
03/09/2018 13.30,1190.57,,,1190.57
03/09/2018 13.45,1214.7,,,1214.7
03/09/2018 14.00,1211.79,,,1211.79
03/09/2018 14.15,1206.57,,,1206.57
03/09/2018 14.30,1227.53,,,1227.53
03/09/2018 14.45,1235.55,,,1235.55
03/09/2018 15.00,1241.65,,,1241.65
03/09/2018 15.15,1229.26,,,1229.26
03/09/2018 15.30,1229.29,,,1229.29
03/09/2018 15.45,1213.33,,,1213.33
03/09/2018 16.00,1189.49,,,1189.49
03/09/2018 16.15,1152.75,,,1152.75
03/09/2018 16.30,1122.65,,,1122.65
03/09/2018 16.45,1056.27,,,1056.27
03/09/2018 17.00,1010.39,,,1010.39
03/09/2018 17.15,986.34,,,986.34
03/09/2018 17.30,942.44,,,942.44
03/09/2018 17.45,903.88,,,903.88
03/09/2018 18.00,878.7,,,878.7
03/09/2018 18.15,835.61,,,835.61
