"DateTime","PV Installed","Energy Yield","Co2 Avoidance","Save Money"
"(YYYY-MM-DD HH:MM)","(kWp)","(kWh)","(kg./year)","(Baht)"
"2018-04-01 00:15",1143.90,0.04,0.02,0.17
"2018-04-01 00:30",1143.90,0.09,0.05,0.37
"2018-04-01 00:45",1143.90,0.02,0.01,0.07
"2018-04-01 01:00",1143.90,0.08,0.04,0.34
"2018-04-01 01:15",1143.90,0.03,0.02,0.13
"2018-04-01 01:30",1143.90,0.05,0.03,0.20
"2018-04-01 01:45",1143.90,0.06,0.04,0.27
"2018-04-01 02:00",1143.90,0.04,0.02,0.17
"2018-04-01 02:15",1143.90,0.03,0.02,0.13
"2018-04-01 02:30",1143.90,0.05,0.03,0.20
"2018-04-01 02:45",1143.90,0.06,0.03,0.24
"2018-04-01 03:00",1143.90,0.02,0.01,0.07
"2018-04-01 03:15",1143.90,0.08,0.04,0.34
"2018-04-01 03:30",1143.90,0.06,0.03,0.24
"2018-04-01 03:45",1143.90,0.05,0.03,0.20
"2018-04-01 04:00",1143.90,0.04,0.02,0.17
"2018-04-01 04:15",1143.90,0.02,0.01,0.07
"2018-04-01 04:30",1143.90,0.05,0.03,0.20
"2018-04-01 04:45",1143.90,0.12,0.07,0.51
"2018-04-01 05:00",1143.90,0.02,0.01,0.07
"2018-04-01 05:15",1143.90,0.02,0.01,0.07
"2018-04-01 05:30",1143.90,0.06,0.03,0.24
"2018-04-01 05:45",1143.90,0.03,0.02,0.13
"2018-04-01 06:00",1143.90,0.10,0.05,0.40
"2018-04-01 06:15",1143.90,0.34,0.19,1.41
"2018-04-01 06:30",1143.90,2.10,1.18,8.86
"2018-04-01 06:45",1143.90,1.73,0.97,7.27
"2018-04-01 07:00",1143.90,3.14,1.76,13.24
"2018-04-01 07:15",1143.90,4.67,2.62,19.67
"2018-04-01 07:30",1143.90,7.48,4.20,31.49
"2018-04-01 07:45",1143.90,12.98,7.28,54.66
"2018-04-01 08:00",1143.90,20.62,11.57,86.82
"2018-04-01 08:15",1143.90,32.02,17.96,134.78
"2018-04-01 08:30",1143.90,42.06,23.59,177.04
"2018-04-01 08:45",1143.90,47.06,26.40,198.09
"2018-04-01 09:00",1143.90,45.51,25.53,191.59
"2018-04-01 09:15",1143.90,39.94,22.40,168.12
"2018-04-01 09:30",1143.90,36.24,20.33,152.56
"2018-04-01 09:45",1143.90,46.72,26.21,196.68
"2018-04-01 10:00",1143.90,34.22,19.20,144.04
"2018-04-01 10:15",1143.90,47.41,26.60,199.57
