"DateTime","PV Installed","Energy Yield","Co2 Avoidance","Save Money"
"(YYYY-MM-DD HH:MM)","(kWp)","(kWh)","(kg./year)","(Baht)"
"2018-08-01 00:15",1143.90,0.00,0.00,0.00
"2018-08-01 00:30",1143.90,0.10,0.06,0.44
"2018-08-01 00:45",1143.90,0.01,0.00,0.03
"2018-08-01 01:00",1143.90,0.07,0.04,0.30
"2018-08-01 01:15",1143.90,0.01,0.00,0.03
"2018-08-01 01:30",1143.90,0.02,0.01,0.07
"2018-08-01 01:45",1143.90,0.06,0.04,0.27
"2018-08-01 02:00",1143.90,0.11,0.06,0.47
"2018-08-01 02:15",1143.90,0.06,0.03,0.24
"2018-08-01 02:30",1143.90,0.02,0.01,0.10
"2018-08-01 02:45",1143.90,0.02,0.01,0.10
"2018-08-01 03:00",1143.90,0.05,0.03,0.20
"2018-08-01 03:15",1143.90,0.06,0.03,0.24
"2018-08-01 03:30",1143.90,0.06,0.03,0.24
"2018-08-01 03:45",1143.90,0.02,0.01,0.07
"2018-08-01 04:00",1143.90,0.09,0.05,0.37
"2018-08-01 04:15",1143.90,0.06,0.04,0.27
"2018-08-01 04:30",1143.90,0.06,0.03,0.24
"2018-08-01 04:45",1143.90,0.00,0.00,0.00
"2018-08-01 05:00",1143.90,0.06,0.03,0.24
"2018-08-01 05:15",1143.90,0.02,0.01,0.10
"2018-08-01 05:30",1143.90,0.07,0.04,0.30
"2018-08-01 05:45",1143.90,0.00,0.00,0.00
"2018-08-01 06:00",1143.90,0.55,0.31,2.32
"2018-08-01 06:15",1143.90,4.63,2.60,19.50
"2018-08-01 06:30",1143.90,16.06,9.01,67.62
"2018-08-01 06:45",1143.90,30.02,16.84,126.39
"2018-08-01 07:00",1143.90,33.35,18.71,140.40
"2018-08-01 07:15",1143.90,34.06,19.11,143.37
"2018-08-01 07:30",1143.90,33.70,18.91,141.88
"2018-08-01 07:45",1143.90,50.80,28.50,213.85
"2018-08-01 08:00",1143.90,48.82,27.39,205.50
"2018-08-01 08:15",1143.90,79.67,44.70,335.40
"2018-08-01 08:30",1143.90,104.27,58.50,438.95
"2018-08-01 08:45",1143.90,69.58,39.03,292.89
"2018-08-01 09:00",1143.90,127.22,71.37,535.57
