"DateTime","PV Installed","Energy Yield","Co2 Avoidance","Save Money"
"(YYYY-MM-DD HH:MM)","(kWp)","(kWh)","(kg./year)","(Baht)"
"2018-12-01 00:15",1143.90,0.07,0.04,0.30
"2018-12-01 00:30",1143.90,0.00,0.00,0.00
"2018-12-01 00:45",1143.90,0.07,0.04,0.30
"2018-12-01 01:00",1143.90,0.04,0.02,0.17
"2018-12-01 01:15",1143.90,0.02,0.01,0.07
"2018-12-01 01:30",1143.90,0.01,0.00,0.03
"2018-12-01 01:45",1143.90,0.04,0.02,0.17
"2018-12-01 02:00",1143.90,0.09,0.05,0.37
"2018-12-01 02:15",1143.90,0.10,0.05,0.40
"2018-12-01 02:30",1143.90,0.02,0.01,0.10
"2018-12-01 02:45",1143.90,0.02,0.01,0.10
"2018-12-01 03:00",1143.90,0.00,0.00,0.00
"2018-12-01 03:15",1143.90,0.02,0.01,0.10
"2018-12-01 03:30",1143.90,0.09,0.05,0.37
"2018-12-01 03:45",1143.90,0.02,0.01,0.10
"2018-12-01 04:00",1143.90,0.00,0.00,0.00
"2018-12-01 04:15",1143.90,0.02,0.01,0.10
"2018-12-01 04:30",1143.90,0.15,0.09,0.64
"2018-12-01 04:45",1143.90,0.02,0.01,0.07
"2018-12-01 05:00",1143.90,0.06,0.03,0.24
"2018-12-01 05:15",1143.90,0.01,0.00,0.03
"2018-12-01 05:30",1143.90,0.02,0.01,0.10
"2018-12-01 05:45",1143.90,0.05,0.03,0.20
"2018-12-01 06:00",1143.90,0.02,0.01,0.10
"2018-12-01 06:15",1143.90,0.04,0.02,0.17
"2018-12-01 06:30",1143.90,1.55,0.87,6.53
"2018-12-01 06:45",1143.90,2.79,1.57,11.75
"2018-12-01 07:00",1143.90,3.58,2.01,15.09
"2018-12-01 07:15",1143.90,5.18,2.90,21.79
"2018-12-01 07:30",1143.90,16.51,9.26,69.51
"2018-12-01 07:45",1143.90,28.21,15.82,118.75
"2018-12-01 08:00",1143.90,44.86,25.16,188.83
"2018-12-01 08:15",1143.90,58.68,32.92,247.03
"2018-12-01 08:30",1143.90,76.84,43.11,323.47
"2018-12-01 08:45",1143.90,71.25,39.97,299.93
"2018-12-01 09:00",1143.90,72.00,40.39,303.10
"2018-12-01 09:15",1143.90,64.06,35.94,269.69
"2018-12-01 09:30",1143.90,93.02,52.18,391.57
"2018-12-01 09:45",1143.90,104.58,58.67,440.23
"2018-12-01 10:00",1143.90,115.82,64.98,487.58
"2018-12-01 10:15",1143.90,110.76,62.14,466.27
"2018-12-01 10:30",1143.90,122.34,68.63,515.03
"2018-12-01 10:45",1143.90,118.83,66.66,500.25
"2018-12-01 11:00",1143.90,123.22,69.12,518.70
"2018-12-01 11:15",1143.90,121.40,68.11,511.06
"2018-12-01 11:30",1143.90,84.70,47.51,356.54
"2018-12-01 11:45",1143.90,115.28,64.67,485.29
"2018-12-01 12:00",1143.90,82.02,46.02,345.30
"2018-12-01 12:15",1143.90,48.58,27.25,204.49
"2018-12-01 12:30",1143.90,59.38,33.31,249.96
"2018-12-01 12:45",1143.90,43.73,24.53,184.08
"2018-12-01 13:00",1143.90,46.39,26.03,195.30
"2018-12-01 13:15",1143.90,91.43,51.29,384.90
"2018-12-01 13:30",1143.90,112.01,62.84,471.52
"2018-12-01 13:45",1143.90,63.06,35.38,265.48
"2018-12-01 14:00",1143.90,72.98,40.94,307.24
"2018-12-01 14:15",1143.90,85.33,47.87,359.21
"2018-12-01 14:30",1143.90,55.18,30.95,232.27
"2018-12-01 14:45",1143.90,57.51,32.26,242.11
"2018-12-01 15:00",1143.90,51.39,28.83,216.34
"2018-12-01 15:15",1143.90,51.26,28.76,215.81
"2018-12-01 15:30",1143.90,79.10,44.37,332.97
"2018-12-01 15:45",1143.90,54.50,30.57,229.41
"2018-12-01 16:00",1143.90,26.54,14.89,111.71
"2018-12-01 16:15",1143.90,22.68,12.72,95.48
"2018-12-01 16:30",1143.90,23.79,13.35,100.16
"2018-12-01 16:45",1143.90,15.31,8.59,64.46
"2018-12-01 17:00",1143.90,6.40,3.59,26.94
"2018-12-01 17:15",1143.90,3.72,2.09,15.66
"2018-12-01 17:30",1143.90,1.45,0.81,6.10
"2018-12-01 17:45",1143.90,0.07,0.04,0.30
"2018-12-01 18:00",1143.90,0.02,0.01,0.10
"2018-12-01 18:15",1143.90,0.05,0.03,0.20
"2018-12-01 18:30",1143.90,0.01,0.00,0.03
"2018-12-01 18:45",1143.90,0.04,0.02,0.17
