"DateTime","PV Installed","Energy Yield","Co2 Avoidance","Save Money"
"(YYYY-MM-DD HH:MM)","(kWp)","(kWh)","(kg./year)","(Baht)"
"2018-02-01 00:15",1143.90,0.02,0.01,0.07
"2018-02-01 00:30",1143.90,0.06,0.03,0.24
"2018-02-01 00:45",1143.90,0.06,0.03,0.24
"2018-02-01 01:00",1143.90,0.06,0.04,0.27
"2018-02-01 01:15",1143.90,0.06,0.03,0.24
"2018-02-01 01:30",1143.90,0.00,0.00,0.00
"2018-02-01 01:45",1143.90,0.07,0.04,0.30
"2018-02-01 02:00",1143.90,0.06,0.04,0.27
"2018-02-01 02:15",1143.90,0.05,0.03,0.20
"2018-02-01 02:30",1143.90,0.04,0.02,0.17
"2018-02-01 02:45",1143.90,0.02,0.01,0.07
"2018-02-01 03:00",1143.90,0.10,0.06,0.44
"2018-02-01 03:15",1143.90,0.02,0.01,0.10
"2018-02-01 03:30",1143.90,0.05,0.03,0.20
"2018-02-01 03:45",1143.90,0.05,0.03,0.20
"2018-02-01 04:00",1143.90,0.09,0.05,0.37
"2018-02-01 04:15",1143.90,0.02,0.01,0.07
"2018-02-01 04:30",1143.90,0.05,0.03,0.20
"2018-02-01 04:45",1143.90,0.04,0.02,0.17
"2018-02-01 05:00",1143.90,0.06,0.03,0.24
"2018-02-01 05:15",1143.90,0.07,0.04,0.30
"2018-02-01 05:30",1143.90,0.05,0.03,0.20
"2018-02-01 05:45",1143.90,0.03,0.02,0.13
"2018-02-01 06:00",1143.90,0.06,0.03,0.24
"2018-02-01 06:15",1143.90,0.02,0.01,0.10
"2018-02-01 06:30",1143.90,0.08,0.04,0.34
"2018-02-01 06:45",1143.90,0.30,0.17,1.28
"2018-02-01 07:00",1143.90,3.04,1.71,12.80
"2018-02-01 07:15",1143.90,10.76,6.04,45.30
"2018-02-01 07:30",1143.90,16.85,9.45,70.93
"2018-02-01 07:45",1143.90,17.81,9.99,74.97
"2018-02-01 08:00",1143.90,23.96,13.44,100.86
"2018-02-01 08:15",1143.90,29.74,16.69,125.21
"2018-02-01 08:30",1143.90,30.48,17.10,128.31
"2018-02-01 08:45",1143.90,40.32,22.62,169.74
"2018-02-01 09:00",1143.90,76.94,43.16,323.88
"2018-02-01 09:15",1143.90,115.54,64.82,486.37
"2018-02-01 09:30",1143.90,130.76,73.36,550.46
"2018-02-01 09:45",1143.90,87.04,48.83,366.41
"2018-02-01 10:00",1143.90,108.09,60.64,455.02
"2018-02-01 10:15",1143.90,112.89,63.33,475.22
"2018-02-01 10:30",1143.90,112.48,63.10,473.51
"2018-02-01 10:45",1143.90,91.78,51.49,386.38
"2018-02-01 11:00",1143.90,112.43,63.07,473.30
"2018-02-01 11:15",1143.90,124.33,69.75,523.38
"2018-02-01 11:30",1143.90,191.19,107.26,804.86
"2018-02-01 11:45",1143.90,177.58,99.62,747.58
"2018-02-01 12:00",1143.90,168.42,94.49,709.01
"2018-02-01 12:15",1143.90,127.38,71.46,536.21
"2018-02-01 12:30",1143.90,124.45,69.82,523.89
"2018-02-01 12:45",1143.90,114.79,64.40,483.24
"2018-02-01 13:00",1143.90,91.59,51.38,385.57
"2018-02-01 13:15",1143.90,123.26,69.15,518.90
"2018-02-01 13:30",1143.90,82.92,46.52,349.07
"2018-02-01 13:45",1143.90,93.13,52.24,392.04
"2018-02-01 14:00",1143.90,145.02,81.35,610.47
"2018-02-01 14:15",1143.90,168.38,94.46,708.81
"2018-02-01 14:30",1143.90,156.52,87.81,658.90
"2018-02-01 14:45",1143.90,138.25,77.56,581.98
"2018-02-01 15:00",1143.90,136.57,76.61,574.91
"2018-02-01 15:15",1143.90,125.62,70.47,528.81
"2018-02-01 15:30",1143.90,110.10,61.77,463.50
"2018-02-01 15:45",1143.90,91.27,51.20,384.23
"2018-02-01 16:00",1143.90,86.69,48.63,364.93
"2018-02-01 16:15",1143.90,67.30,37.76,283.33
"2018-02-01 16:30",1143.90,57.46,32.23,241.87
"2018-02-01 16:45",1143.90,43.18,24.23,181.79
"2018-02-01 17:00",1143.90,32.06,17.98,134.95
"2018-02-01 17:15",1143.90,22.25,12.48,93.66
"2018-02-01 17:30",1143.90,13.68,7.67,57.59
"2018-02-01 17:45",1143.90,6.98,3.92,29.40
"2018-02-01 18:00",1143.90,2.66,1.49,11.21
"2018-02-01 18:15",1143.90,0.26,0.15,1.11
"2018-02-01 18:30",1143.90,0.11,0.06,0.47
"2018-02-01 18:45",1143.90,0.01,0.00,0.03
"2018-02-01 19:00",1143.90,0.04,0.02,0.17
"2018-02-01 19:15",1143.90,0.04,0.02,0.17
"2018-02-01 19:30",1143.90,0.04,0.02,0.17
"2018-02-01 19:45",1143.90,0.08,0.04,0.34
"2018-02-01 20:00",1143.90,0.03,0.02,0.13
"2018-02-01 20:15",1143.90,0.04,0.02,0.17
"2018-02-01 20:30",1143.90,0.02,0.01,0.10
"2018-02-01 20:45",1143.90,0.08,0.04,0.34
"2018-02-01 21:00",1143.90,0.03,0.02,0.13
"2018-02-01 21:15",1143.90,0.04,0.02,0.17
"2018-02-01 21:30",1143.90,0.06,0.04,0.27
"2018-02-01 21:45",1143.90,0.02,0.01,0.10
"2018-02-01 22:00",1143.90,0.07,0.04,0.30
"2018-02-01 22:15",1143.90,0.03,0.02,0.13
"2018-02-01 22:30",1143.90,0.06,0.03,0.24
"2018-02-01 22:45",1143.90,0.06,0.03,0.24
"2018-02-01 23:00",1143.90,0.06,0.03,0.24
"2018-02-01 23:15",1143.90,0.04,0.02,0.17
"2018-02-01 23:30",1143.90,0.02,0.01,0.10
"2018-02-01 23:45",1143.90,0.07,0.04,0.30
"2018-02-02 00:00",1143.90,0.05,0.03,0.20
"2018-02-02 00:15",1143.90,0.06,0.03,0.24
"2018-02-02 00:30",1143.90,0.04,0.02,0.17
"2018-02-02 00:45",1143.90,0.00,0.00,0.00
"2018-02-02 01:00",1143.90,0.09,0.05,0.37
"2018-02-02 01:15",1143.90,0.02,0.01,0.10
"2018-02-02 01:30",1143.90,0.07,0.04,0.30
"2018-02-02 01:45",1143.90,0.04,0.02,0.17
"2018-02-02 02:00",1143.90,0.06,0.04,0.27
"2018-02-02 02:15",1143.90,0.03,0.02,0.13
"2018-02-02 02:30",1143.90,0.04,0.02,0.17
"2018-02-02 02:45",1143.90,0.05,0.03,0.20
"2018-02-02 03:00",1143.90,0.06,0.04,0.27
"2018-02-02 03:15",1143.90,0.06,0.03,0.24
"2018-02-02 03:30",1143.90,0.01,0.00,0.03
"2018-02-02 03:45",1143.90,0.07,0.04,0.30
"2018-02-02 04:00",1143.90,0.01,0.00,0.03
"2018-02-02 04:15",1143.90,0.09,0.05,0.37
"2018-02-02 04:30",1143.90,0.05,0.03,0.20
"2018-02-02 04:45",1143.90,0.03,0.02,0.13
"2018-02-02 05:00",1143.90,0.06,0.03,0.24
"2018-02-02 05:15",1143.90,0.05,0.03,0.20
"2018-02-02 05:30",1143.90,0.08,0.04,0.34
"2018-02-02 05:45",1143.90,0.03,0.02,0.13
"2018-02-02 06:00",1143.90,0.02,0.01,0.10
"2018-02-02 06:15",1143.90,0.03,0.02,0.13
"2018-02-02 06:30",1143.90,0.08,0.04,0.34
"2018-02-02 06:45",1143.90,0.65,0.36,2.73
"2018-02-02 07:00",1143.90,3.47,1.95,14.62
"2018-02-02 07:15",1143.90,8.21,4.60,34.55
"2018-02-02 07:30",1143.90,17.68,9.92,74.43
"2018-02-02 07:45",1143.90,31.18,17.49,131.24
"2018-02-02 08:00",1143.90,50.81,28.50,213.89
"2018-02-02 08:15",1143.90,62.18,34.89,261.78
"2018-02-02 08:30",1143.90,79.03,44.34,332.70
"2018-02-02 08:45",1143.90,92.01,51.62,387.33
"2018-02-02 09:00",1143.90,76.26,42.78,321.05
"2018-02-02 09:15",1143.90,66.59,37.36,280.33
"2018-02-02 09:30",1143.90,84.72,47.53,356.65
"2018-02-02 09:45",1143.90,91.15,51.14,383.72
"2018-02-02 10:00",1143.90,90.27,50.64,380.02
"2018-02-02 10:15",1143.90,98.34,55.17,413.97
"2018-02-02 10:30",1143.90,101.32,56.84,426.53
"2018-02-02 10:45",1143.90,114.82,64.41,483.34
"2018-02-02 11:00",1143.90,98.85,55.45,416.12
"2018-02-02 11:15",1143.90,79.15,44.40,333.21
