"DateTime","PV Installed","Energy Yield","Co2 Avoidance","Save Money"
"(YYYY-MM-DD HH:MM)","(kWp)","(kWh)","(kg./year)","(Baht)"
"2018-01-01 00:15",1143.90,0.10,0.05,0.40
"2018-01-01 00:30",1143.90,0.03,0.02,0.13
"2018-01-01 00:45",1143.90,0.03,0.02,0.13
"2018-01-01 01:00",1143.90,0.02,0.01,0.10
"2018-01-01 01:15",1143.90,0.09,0.05,0.37
"2018-01-01 01:30",1143.90,0.04,0.02,0.17
"2018-01-01 01:45",1143.90,0.05,0.03,0.20
"2018-01-01 02:00",1143.90,0.04,0.02,0.17
"2018-01-01 02:15",1143.90,0.05,0.03,0.20
"2018-01-01 02:30",1143.90,0.06,0.04,0.27
"2018-01-01 02:45",1143.90,0.04,0.02,0.17
"2018-01-01 03:00",1143.90,0.02,0.01,0.10
"2018-01-01 03:15",1143.90,0.05,0.03,0.20
"2018-01-01 03:30",1143.90,0.09,0.05,0.37
"2018-01-01 03:45",1143.90,0.03,0.02,0.13
"2018-01-01 04:00",1143.90,0.03,0.02,0.13
"2018-01-01 04:15",1143.90,0.03,0.02,0.13
"2018-01-01 04:30",1143.90,0.07,0.04,0.30
"2018-01-01 04:45",1143.90,0.06,0.04,0.27
"2018-01-01 05:00",1143.90,0.05,0.03,0.20
"2018-01-01 05:15",1143.90,0.02,0.01,0.10
"2018-01-01 05:30",1143.90,0.02,0.01,0.07
"2018-01-01 05:45",1143.90,0.09,0.05,0.37
"2018-01-01 06:00",1143.90,0.06,0.04,0.27
"2018-01-01 06:15",1143.90,0.03,0.02,0.13
"2018-01-01 06:30",1143.90,0.06,0.04,0.27
"2018-01-01 06:45",1143.90,1.54,0.87,6.50
"2018-01-01 07:00",1143.90,6.36,3.57,26.77
"2018-01-01 07:15",1143.90,12.23,6.86,51.49
"2018-01-01 07:30",1143.90,22.65,12.71,95.34
"2018-01-01 07:45",1143.90,32.98,18.50,138.82
"2018-01-01 08:00",1143.90,49.17,27.58,206.98
"2018-01-01 08:15",1143.90,65.18,36.56,274.37
"2018-01-01 08:30",1143.90,78.57,44.08,330.75
"2018-01-01 08:45",1143.90,83.35,46.76,350.89
"2018-01-01 09:00",1143.90,103.20,57.90,434.44
"2018-01-01 09:15",1143.90,107.55,60.34,452.76
"2018-01-01 09:30",1143.90,126.55,71.00,532.75
"2018-01-01 09:45",1143.90,130.79,73.37,550.60
"2018-01-01 10:00",1143.90,144.46,81.04,608.12
"2018-01-01 10:15",1143.90,149.90,84.09,631.02
"2018-01-01 10:30",1143.90,163.04,91.47,686.35
"2018-01-01 10:45",1143.90,161.25,90.46,678.81
"2018-01-01 11:00",1143.90,176.70,99.13,743.87
"2018-01-01 11:15",1143.90,175.84,98.65,740.23
"2018-01-01 11:30",1143.90,189.05,106.06,795.84
"2018-01-01 11:45",1143.90,167.62,94.03,705.61
"2018-01-01 12:00",1143.90,154.81,86.85,651.70
"2018-01-01 12:15",1143.90,193.81,108.73,815.87
"2018-01-01 12:30",1143.90,200.30,112.37,843.22
"2018-01-01 12:45",1143.90,204.66,114.82,861.57
"2018-01-01 13:00",1143.90,172.29,96.65,725.28
"2018-01-01 13:15",1143.90,101.62,57.01,427.81
"2018-01-01 13:30",1143.90,72.60,40.73,305.62
"2018-01-01 13:45",1143.90,130.38,73.14,548.84
"2018-01-01 14:00",1143.90,173.42,97.29,730.06
"2018-01-01 14:15",1143.90,72.18,40.50,303.87
"2018-01-01 14:30",1143.90,145.54,81.65,612.66
"2018-01-01 14:45",1143.90,131.51,73.78,553.63
"2018-01-01 15:00",1143.90,61.49,34.49,258.85
"2018-01-01 15:15",1143.90,111.30,62.44,468.52
"2018-01-01 15:30",1143.90,75.95,42.61,319.74
"2018-01-01 15:45",1143.90,38.96,21.86,164.01
"2018-01-01 16:00",1143.90,26.97,15.13,113.53
