"DateTime","PV Installed","Energy Yield","Co2 Avoidance","Save Money"
"(YYYY-MM-DD HH:MM)","(kWp)","(kWh)","(kg./year)","(Baht)"
"2018-07-01 00:15",1143.90,0.02,0.01,0.10
"2018-07-01 00:30",1143.90,0.03,0.02,0.13
"2018-07-01 00:45",1143.90,0.02,0.01,0.07
"2018-07-01 01:00",1143.90,0.11,0.06,0.47
"2018-07-01 01:15",1143.90,0.05,0.03,0.20
"2018-07-01 01:30",1143.90,0.05,0.03,0.20
"2018-07-01 01:45",1143.90,0.01,0.00,0.03
"2018-07-01 02:00",1143.90,0.07,0.04,0.30
"2018-07-01 02:15",1143.90,0.09,0.05,0.37
"2018-07-01 02:30",1143.90,0.03,0.02,0.13
"2018-07-01 02:45",1143.90,0.02,0.01,0.07
"2018-07-01 03:00",1143.90,0.02,0.01,0.10
"2018-07-01 03:15",1143.90,0.13,0.07,0.54
"2018-07-01 03:30",1143.90,0.04,0.02,0.17
"2018-07-01 03:45",1143.90,0.04,0.02,0.17
"2018-07-01 04:00",1143.90,0.01,0.00,0.03
"2018-07-01 04:15",1143.90,0.08,0.04,0.34
"2018-07-01 04:30",1143.90,0.06,0.03,0.24
"2018-07-01 04:45",1143.90,0.02,0.01,0.07
"2018-07-01 05:00",1143.90,0.08,0.04,0.34
"2018-07-01 05:15",1143.90,0.02,0.01,0.10
"2018-07-01 05:30",1143.90,0.10,0.06,0.44
"2018-07-01 05:45",1143.90,0.04,0.02,0.17
"2018-07-01 06:00",1143.90,2.19,1.23,9.23
"2018-07-01 06:15",1143.90,6.00,3.37,25.26
"2018-07-01 06:30",1143.90,13.42,7.53,56.48
"2018-07-01 06:45",1143.90,17.69,9.92,74.46
"2018-07-01 07:00",1143.90,25.70,14.42,108.17
"2018-07-01 07:15",1143.90,37.48,21.03,157.78
"2018-07-01 07:30",1143.90,48.46,27.18,203.99
"2018-07-01 07:45",1143.90,62.83,35.25,264.50
"2018-07-01 08:00",1143.90,62.35,34.98,262.48
"2018-07-01 08:15",1143.90,103.15,57.87,434.24
"2018-07-01 08:30",1143.90,107.87,60.52,454.11
"2018-07-01 08:45",1143.90,88.71,49.77,373.45
"2018-07-01 09:00",1143.90,143.67,80.60,604.82
"2018-07-01 09:15",1143.90,145.10,81.40,610.84
"2018-07-01 09:30",1143.90,155.28,87.11,653.68
"2018-07-01 09:45",1143.90,148.89,83.53,626.77
"2018-07-01 10:00",1143.90,135.19,75.84,569.12
"2018-07-01 10:15",1143.90,206.73,115.97,870.26
"2018-07-01 10:30",1143.90,153.96,86.37,648.13
"2018-07-01 10:45",1143.90,214.75,120.48,904.04
"2018-07-01 11:00",1143.90,198.26,111.22,834.60
"2018-07-01 11:15",1143.90,176.83,99.20,744.41
"2018-07-01 11:30",1143.90,175.67,98.55,739.53
"2018-07-01 11:45",1143.90,217.79,122.18,916.84
"2018-07-01 12:00",1143.90,175.64,98.53,739.39
"2018-07-01 12:15",1143.90,198.75,111.50,836.69
"2018-07-01 12:30",1143.90,196.28,110.11,826.28
"2018-07-01 12:45",1143.90,185.06,103.82,779.06
"2018-07-01 13:00",1143.90,220.71,123.82,929.13
"2018-07-01 13:15",1143.90,163.70,91.84,689.14
"2018-07-01 13:30",1143.90,215.87,121.10,908.76
"2018-07-01 13:45",1143.90,158.93,89.16,669.04
"2018-07-01 14:00",1143.90,169.18,94.91,712.21
"2018-07-01 14:15",1143.90,172.26,96.64,725.15
"2018-07-01 14:30",1143.90,160.80,90.21,676.92
"2018-07-01 14:45",1143.90,144.53,81.08,608.42
"2018-07-01 15:00",1143.90,141.22,79.23,594.51
"2018-07-01 15:15",1143.90,120.54,67.62,507.42
"2018-07-01 15:30",1143.90,126.25,70.83,531.47
"2018-07-01 15:45",1143.90,93.61,52.51,394.06
"2018-07-01 16:00",1143.90,89.26,50.08,375.77
"2018-07-01 16:15",1143.90,59.70,33.49,251.34
"2018-07-01 16:30",1143.90,85.38,47.90,359.41
"2018-07-01 16:45",1143.90,46.46,26.06,195.57
"2018-07-01 17:00",1143.90,54.59,30.63,229.82
"2018-07-01 17:15",1143.90,45.86,25.73,193.04
"2018-07-01 17:30",1143.90,32.82,18.41,138.18
"2018-07-01 17:45",1143.90,29.93,16.79,125.99
"2018-07-01 18:00",1143.90,23.42,13.14,98.61
"2018-07-01 18:15",1143.90,16.67,9.35,70.18
"2018-07-01 18:30",1143.90,21.57,12.10,90.79
"2018-07-01 18:45",1143.90,0.63,0.35,2.66
"2018-07-01 19:00",1143.90,0.06,0.03,0.24
"2018-07-01 19:15",1143.90,0.02,0.01,0.10
"2018-07-01 19:30",1143.90,0.07,0.04,0.30
"2018-07-01 19:45",1143.90,0.07,0.04,0.30
"2018-07-01 20:00",1143.90,0.02,0.01,0.07
"2018-07-01 20:15",1143.90,0.06,0.03,0.24
"2018-07-01 20:30",1143.90,0.02,0.01,0.10
"2018-07-01 20:45",1143.90,0.09,0.05,0.37
"2018-07-01 21:00",1143.90,0.06,0.03,0.24
"2018-07-01 21:15",1143.90,0.01,0.00,0.03
"2018-07-01 21:30",1143.90,0.06,0.04,0.27
"2018-07-01 21:45",1143.90,0.06,0.03,0.24
"2018-07-01 22:00",1143.90,0.05,0.03,0.20
"2018-07-01 22:15",1143.90,0.02,0.01,0.10
"2018-07-01 22:30",1143.90,0.05,0.03,0.20
"2018-07-01 22:45",1143.90,0.10,0.05,0.40
"2018-07-01 23:00",1143.90,0.03,0.02,0.13
"2018-07-01 23:15",1143.90,0.04,0.02,0.17
"2018-07-01 23:30",1143.90,0.02,0.01,0.10
"2018-07-01 23:45",1143.90,0.07,0.04,0.30
"2018-07-02 00:00",1143.90,0.09,0.05,0.37
"2018-07-02 00:15",1143.90,0.03,0.02,0.13
"2018-07-02 00:30",1143.90,0.02,0.01,0.07
"2018-07-02 00:45",1143.90,0.06,0.03,0.24
"2018-07-02 01:00",1143.90,0.03,0.02,0.13
"2018-07-02 01:15",1143.90,0.10,0.05,0.40
"2018-07-02 01:30",1143.90,0.03,0.02,0.13
"2018-07-02 01:45",1143.90,0.06,0.03,0.24
