"DateTime","PV Installed","Energy Yield","Co2 Avoidance","Save Money"
"(YYYY-MM-DD HH:MM)","(kWp)","(kWh)","(kg./year)","(Baht)"
"2018-05-01 00:15",1143.90,0.06,0.04,0.27
"2018-05-01 00:30",1143.90,0.06,0.04,0.27
"2018-05-01 00:45",1143.90,0.02,0.01,0.10
"2018-05-01 01:00",1143.90,0.05,0.03,0.20
"2018-05-01 01:15",1143.90,0.03,0.02,0.13
"2018-05-01 01:30",1143.90,0.03,0.02,0.13
"2018-05-01 01:45",1143.90,0.08,0.04,0.34
"2018-05-01 02:00",1143.90,0.06,0.04,0.27
"2018-05-01 02:15",1143.90,0.02,0.01,0.07
"2018-05-01 02:30",1143.90,0.03,0.02,0.13
"2018-05-01 02:45",1143.90,0.07,0.04,0.30
"2018-05-01 03:00",1143.90,0.06,0.04,0.27
"2018-05-01 03:15",1143.90,0.02,0.01,0.10
"2018-05-01 03:30",1143.90,0.05,0.03,0.20
"2018-05-01 03:45",1143.90,0.02,0.01,0.10
"2018-05-01 04:00",1143.90,0.06,0.04,0.27
"2018-05-01 04:15",1143.90,0.05,0.03,0.20
"2018-05-01 04:30",1143.90,0.07,0.04,0.30
"2018-05-01 04:45",1143.90,0.02,0.01,0.10
"2018-05-01 05:00",1143.90,0.07,0.04,0.30
"2018-05-01 05:15",1143.90,0.03,0.02,0.13
"2018-05-01 05:30",1143.90,0.02,0.01,0.10
"2018-05-01 05:45",1143.90,0.17,0.09,0.71
"2018-05-01 06:00",1143.90,1.73,0.97,7.27
"2018-05-01 06:15",1143.90,4.62,2.59,19.43
"2018-05-01 06:30",1143.90,15.71,8.81,66.14
"2018-05-01 06:45",1143.90,23.68,13.28,99.69
"2018-05-01 07:00",1143.90,38.89,21.82,163.71
"2018-05-01 07:15",1143.90,48.38,27.14,203.65
"2018-05-01 07:30",1143.90,68.53,38.44,288.48
"2018-05-01 07:45",1143.90,88.54,49.67,372.74
"2018-05-01 08:00",1143.90,100.90,56.61,424.78
"2018-05-01 08:15",1143.90,75.95,42.61,319.74
"2018-05-01 08:30",1143.90,73.06,40.99,307.58
"2018-05-01 08:45",1143.90,82.61,46.34,347.75
"2018-05-01 09:00",1143.90,123.57,69.32,520.18
"2018-05-01 09:15",1143.90,127.28,71.40,535.81
"2018-05-01 09:30",1143.90,119.52,67.05,503.14
"2018-05-01 09:45",1143.90,108.08,60.63,454.98
"2018-05-01 10:00",1143.90,92.00,51.61,387.29
"2018-05-01 10:15",1143.90,175.14,98.26,737.30
"2018-05-01 10:30",1143.90,195.09,109.44,821.26
"2018-05-01 10:45",1143.90,95.35,53.49,401.40
"2018-05-01 11:00",1143.90,56.18,31.52,236.52
"2018-05-01 11:15",1143.90,156.22,87.64,657.62
"2018-05-01 11:30",1143.90,195.68,109.78,823.75
"2018-05-01 11:45",1143.90,222.40,124.77,936.24
"2018-05-01 12:00",1143.90,208.70,117.08,878.55
"2018-05-01 12:15",1143.90,114.44,64.20,481.76
"2018-05-01 12:30",1143.90,143.24,80.36,603.00
"2018-05-01 12:45",1143.90,189.06,106.06,795.90
"2018-05-01 13:00",1143.90,217.70,122.13,916.47
"2018-05-01 13:15",1143.90,174.08,97.66,732.82
"2018-05-01 13:30",1143.90,154.55,86.70,650.62
"2018-05-01 13:45",1143.90,196.31,110.13,826.41
"2018-05-01 14:00",1143.90,60.55,33.97,254.91
"2018-05-01 14:15",1143.90,39.79,22.32,167.51
"2018-05-01 14:30",1143.90,127.34,71.44,536.05
"2018-05-01 14:45",1143.90,150.84,84.62,634.99
"2018-05-01 15:00",1143.90,86.38,48.46,363.65
"2018-05-01 15:15",1143.90,96.47,54.12,406.12
"2018-05-01 15:30",1143.90,117.86,66.12,496.14
"2018-05-01 15:45",1143.90,70.43,39.51,296.50
"2018-05-01 16:00",1143.90,70.95,39.80,298.69
"2018-05-01 16:15",1143.90,47.80,26.82,201.22
"2018-05-01 16:30",1143.90,73.64,41.31,310.00
"2018-05-01 16:45",1143.90,35.94,20.16,151.31
"2018-05-01 17:00",1143.90,26.17,14.68,110.16
"2018-05-01 17:15",1143.90,19.30,10.83,81.26
"2018-05-01 17:30",1143.90,15.79,8.86,66.48
"2018-05-01 17:45",1143.90,9.01,5.05,37.92
"2018-05-01 18:00",1143.90,3.28,1.84,13.81
"2018-05-01 18:15",1143.90,0.54,0.30,2.26
"2018-05-01 18:30",1143.90,0.10,0.06,0.44
"2018-05-01 18:45",1143.90,0.04,0.02,0.17
"2018-05-01 19:00",1143.90,0.02,0.01,0.07
"2018-05-01 19:15",1143.90,0.06,0.04,0.27
"2018-05-01 19:30",1143.90,0.02,0.01,0.07
"2018-05-01 19:45",1143.90,0.06,0.03,0.24
"2018-05-01 20:00",1143.90,0.08,0.04,0.34
"2018-05-01 20:15",1143.90,0.02,0.01,0.07
"2018-05-01 20:30",1143.90,0.04,0.02,0.17
"2018-05-01 20:45",1143.90,0.04,0.02,0.17
"2018-05-01 21:00",1143.90,0.07,0.04,0.30
"2018-05-01 21:15",1143.90,0.04,0.02,0.17
"2018-05-01 21:30",1143.90,0.05,0.03,0.20
"2018-05-01 21:45",1143.90,0.05,0.03,0.20
"2018-05-01 22:00",1143.90,0.02,0.01,0.07
"2018-05-01 22:15",1143.90,0.08,0.04,0.34
"2018-05-01 22:30",1143.90,0.05,0.03,0.20
"2018-05-01 22:45",1143.90,0.02,0.01,0.07
"2018-05-01 23:00",1143.90,0.07,0.04,0.30
"2018-05-01 23:15",1143.90,0.05,0.03,0.20
"2018-05-01 23:30",1143.90,0.04,0.02,0.17
"2018-05-01 23:45",1143.90,0.04,0.02,0.17
"2018-05-02 00:00",1143.90,0.06,0.03,0.24
"2018-05-02 00:15",1143.90,0.07,0.04,0.30
"2018-05-02 00:30",1143.90,0.04,0.02,0.17
"2018-05-02 00:45",1143.90,0.02,0.01,0.10
"2018-05-02 01:00",1143.90,0.06,0.03,0.24
"2018-05-02 01:15",1143.90,0.06,0.04,0.27
"2018-05-02 01:30",1143.90,0.05,0.03,0.20
"2018-05-02 01:45",1143.90,0.06,0.03,0.24
"2018-05-02 02:00",1143.90,0.04,0.02,0.17
"2018-05-02 02:15",1143.90,0.02,0.01,0.07
"2018-05-02 02:30",1143.90,0.10,0.06,0.44
"2018-05-02 02:45",1143.90,0.04,0.02,0.17
"2018-05-02 03:00",1143.90,0.04,0.02,0.17
"2018-05-02 03:15",1143.90,0.03,0.02,0.13
"2018-05-02 03:30",1143.90,0.06,0.04,0.27
"2018-05-02 03:45",1143.90,0.02,0.01,0.10
"2018-05-02 04:00",1143.90,0.08,0.04,0.34
"2018-05-02 04:15",1143.90,0.05,0.03,0.20
"2018-05-02 04:30",1143.90,0.05,0.03,0.20
"2018-05-02 04:45",1143.90,0.05,0.03,0.20
"2018-05-02 05:00",1143.90,0.03,0.02,0.13
"2018-05-02 05:15",1143.90,0.07,0.04,0.30
