"DateTime","PV Installed","Energy Yield","Co2 Avoidance","Save Money"
"(YYYY-MM-DD HH:MM)","(kWp)","(kWh)","(kg./year)","(Baht)"
"2018-10-01 00:15",1143.90,0.06,0.04,0.27
"2018-10-01 00:30",1143.90,0.02,0.01,0.10
"2018-10-01 00:45",1143.90,0.02,0.01,0.07
"2018-10-01 01:00",1143.90,0.02,0.01,0.07
"2018-10-01 01:15",1143.90,0.10,0.05,0.40
"2018-10-01 01:30",1143.90,0.14,0.08,0.57
"2018-10-01 01:45",1143.90,0.01,0.00,0.03
"2018-10-01 02:00",1143.90,0.02,0.01,0.07
"2018-10-01 02:15",1143.90,0.04,0.02,0.17
"2018-10-01 02:30",1143.90,0.06,0.03,0.24
"2018-10-01 02:45",1143.90,0.02,0.01,0.10
"2018-10-01 03:00",1143.90,0.02,0.01,0.07
"2018-10-01 03:15",1143.90,0.04,0.02,0.17
"2018-10-01 03:30",1143.90,0.06,0.03,0.24
"2018-10-01 03:45",1143.90,0.11,0.06,0.47
"2018-10-01 04:00",1143.90,0.06,0.03,0.24
"2018-10-01 04:15",1143.90,0.01,0.00,0.03
"2018-10-01 04:30",1143.90,0.08,0.04,0.34
"2018-10-01 04:45",1143.90,0.02,0.01,0.10
"2018-10-01 05:00",1143.90,0.04,0.02,0.17
"2018-10-01 05:15",1143.90,0.04,0.02,0.17
"2018-10-01 05:30",1143.90,0.02,0.01,0.07
"2018-10-01 05:45",1143.90,0.05,0.03,0.20
"2018-10-01 06:00",1143.90,0.18,0.10,0.74
"2018-10-01 06:15",1143.90,2.08,1.17,8.76
"2018-10-01 06:30",1143.90,6.36,3.57,26.77
"2018-10-01 06:45",1143.90,14.01,7.86,58.97
"2018-10-01 07:00",1143.90,26.62,14.94,112.08
"2018-10-01 07:15",1143.90,31.34,17.58,131.95
"2018-10-01 07:30",1143.90,64.93,36.42,273.33
"2018-10-01 07:45",1143.90,75.82,42.53,319.16
"2018-10-01 08:00",1143.90,79.49,44.59,334.62
"2018-10-01 08:15",1143.90,61.15,34.31,257.43
"2018-10-01 08:30",1143.90,105.24,59.04,443.03
"2018-10-01 08:45",1143.90,120.89,67.82,508.90
"2018-10-01 09:00",1143.90,109.71,61.55,461.85
"2018-10-01 09:15",1143.90,145.99,81.90,614.58
"2018-10-01 09:30",1143.90,151.30,84.88,636.94
"2018-10-01 09:45",1143.90,138.38,77.63,582.56
"2018-10-01 10:00",1143.90,158.74,89.05,668.23
"2018-10-01 10:15",1143.90,158.41,88.87,666.85
"2018-10-01 10:30",1143.90,153.70,86.23,647.05
"2018-10-01 10:45",1143.90,136.85,76.77,576.09
"2018-10-01 11:00",1143.90,142.57,79.98,600.17
"2018-10-01 11:15",1143.90,107.98,60.57,454.55
"2018-10-01 11:30",1143.90,154.90,86.90,652.07
"2018-10-01 11:45",1143.90,105.96,59.44,446.06
"2018-10-01 12:00",1143.90,79.11,44.38,333.04
"2018-10-01 12:15",1143.90,129.19,72.48,543.86
"2018-10-01 12:30",1143.90,149.50,83.87,629.33
"2018-10-01 12:45",1143.90,124.65,69.93,524.73
"2018-10-01 13:00",1143.90,80.15,44.97,337.42
"2018-10-01 13:15",1143.90,112.31,63.01,472.80
"2018-10-01 13:30",1143.90,88.98,49.92,374.60
"2018-10-01 13:45",1143.90,60.23,33.79,253.56
"2018-10-01 14:00",1143.90,58.52,32.83,246.35
"2018-10-01 14:15",1143.90,65.27,36.62,274.78
"2018-10-01 14:30",1143.90,70.62,39.62,297.31
"2018-10-01 14:45",1143.90,73.38,41.17,308.92
"2018-10-01 15:00",1143.90,37.09,20.81,156.13
"2018-10-01 15:15",1143.90,29.92,16.79,125.95
"2018-10-01 15:30",1143.90,35.76,20.06,150.54
"2018-10-01 15:45",1143.90,28.02,15.72,117.97
"2018-10-01 16:00",1143.90,24.58,13.79,103.46
"2018-10-01 16:15",1143.90,23.13,12.97,97.36
"2018-10-01 16:30",1143.90,20.26,11.36,85.27
"2018-10-01 16:45",1143.90,15.60,8.75,65.67
"2018-10-01 17:00",1143.90,11.82,6.63,49.74
"2018-10-01 17:15",1143.90,8.30,4.66,34.96
"2018-10-01 17:30",1143.90,4.51,2.53,18.99
"2018-10-01 17:45",1143.90,1.95,1.10,8.22
"2018-10-01 18:00",1143.90,0.10,0.06,0.44
"2018-10-01 18:15",1143.90,0.02,0.01,0.10
"2018-10-01 18:30",1143.90,0.10,0.06,0.44
"2018-10-01 18:45",1143.90,0.08,0.04,0.34
"2018-10-01 19:00",1143.90,0.04,0.02,0.17
"2018-10-01 19:15",1143.90,0.02,0.01,0.10
"2018-10-01 19:30",1143.90,0.05,0.03,0.20
"2018-10-01 19:45",1143.90,0.02,0.01,0.10
"2018-10-01 20:00",1143.90,0.01,0.00,0.03
"2018-10-01 20:15",1143.90,0.09,0.05,0.37
"2018-10-01 20:30",1143.90,0.10,0.05,0.40
"2018-10-01 20:45",1143.90,0.02,0.01,0.10
"2018-10-01 21:00",1143.90,0.02,0.01,0.10
"2018-10-01 21:15",1143.90,0.05,0.03,0.20
"2018-10-01 21:30",1143.90,0.04,0.02,0.17
"2018-10-01 21:45",1143.90,0.07,0.04,0.30
"2018-10-01 22:00",1143.90,0.03,0.02,0.13
"2018-10-01 22:15",1143.90,0.02,0.01,0.10
"2018-10-01 22:30",1143.90,0.10,0.05,0.40
"2018-10-01 22:45",1143.90,0.02,0.01,0.07
"2018-10-01 23:00",1143.90,0.05,0.03,0.20
"2018-10-01 23:15",1143.90,0.08,0.04,0.34
"2018-10-01 23:30",1143.90,0.02,0.01,0.07
"2018-10-01 23:45",1143.90,0.05,0.03,0.20
"2018-10-02 00:00",1143.90,0.02,0.01,0.10
"2018-10-02 00:15",1143.90,0.02,0.01,0.07
"2018-10-02 00:30",1143.90,0.09,0.05,0.37
"2018-10-02 00:45",1143.90,0.10,0.06,0.44
"2018-10-02 01:00",1143.90,0.02,0.01,0.07
"2018-10-02 01:15",1143.90,0.03,0.02,0.13
"2018-10-02 01:30",1143.90,0.03,0.02,0.13
"2018-10-02 01:45",1143.90,0.06,0.04,0.27
"2018-10-02 02:00",1143.90,0.01,0.00,0.03
"2018-10-02 02:15",1143.90,0.10,0.06,0.44
"2018-10-02 02:30",1143.90,0.01,0.00,0.03
"2018-10-02 02:45",1143.90,0.10,0.05,0.40
"2018-10-02 03:00",1143.90,0.02,0.01,0.10
"2018-10-02 03:15",1143.90,0.06,0.03,0.24
"2018-10-02 03:30",1143.90,0.03,0.02,0.13
"2018-10-02 03:45",1143.90,0.04,0.02,0.17
"2018-10-02 04:00",1143.90,0.02,0.01,0.10
"2018-10-02 04:15",1143.90,0.05,0.03,0.20
"2018-10-02 04:30",1143.90,0.01,0.00,0.03
"2018-10-02 04:45",1143.90,0.15,0.09,0.64
"2018-10-02 05:00",1143.90,0.02,0.01,0.10
"2018-10-02 05:15",1143.90,0.06,0.04,0.27
"2018-10-02 05:30",1143.90,0.03,0.02,0.13
"2018-10-02 05:45",1143.90,0.00,0.00,0.00
"2018-10-02 06:00",1143.90,0.29,0.16,1.21
"2018-10-02 06:15",1143.90,4.43,2.49,18.66
"2018-10-02 06:30",1143.90,11.31,6.35,47.62
"2018-10-02 06:45",1143.90,15.77,8.85,66.38
"2018-10-02 07:00",1143.90,17.16,9.63,72.24
"2018-10-02 07:15",1143.90,25.79,14.47,108.58
"2018-10-02 07:30",1143.90,37.92,21.27,159.63
"2018-10-02 07:45",1143.90,55.26,31.00,232.64
"2018-10-02 08:00",1143.90,42.90,24.07,180.61
"2018-10-02 08:15",1143.90,45.32,25.42,190.78
"2018-10-02 08:30",1143.90,70.61,39.61,297.24
"2018-10-02 08:45",1143.90,63.56,35.66,267.57
"2018-10-02 09:00",1143.90,56.16,31.51,236.42
"2018-10-02 09:15",1143.90,78.30,43.93,329.64
"2018-10-02 09:30",1143.90,73.35,41.15,308.79
"2018-10-02 09:45",1143.90,146.30,82.08,615.90
"2018-10-02 10:00",1143.90,146.04,81.93,614.78
"2018-10-02 10:15",1143.90,117.55,65.95,494.86
"2018-10-02 10:30",1143.90,115.31,64.69,485.43
"2018-10-02 10:45",1143.90,157.38,88.29,662.51
"2018-10-02 11:00",1143.90,126.83,71.15,533.92
"2018-10-02 11:15",1143.90,194.58,109.16,819.11
"2018-10-02 11:30",1143.90,197.08,110.56,829.65
"2018-10-02 11:45",1143.90,133.63,74.97,562.55
"2018-10-02 12:00",1143.90,96.60,54.19,406.66
"2018-10-02 12:15",1143.90,88.71,49.77,373.45
"2018-10-02 12:30",1143.90,61.34,34.41,258.21
"2018-10-02 12:45",1143.90,100.24,56.23,421.98
"2018-10-02 13:00",1143.90,128.50,72.09,540.93
"2018-10-02 13:15",1143.90,86.94,48.78,366.01
"2018-10-02 13:30",1143.90,57.53,32.27,242.18
"2018-10-02 13:45",1143.90,70.41,39.50,296.40
"2018-10-02 14:00",1143.90,90.38,50.70,380.46
"2018-10-02 14:15",1143.90,23.25,13.04,97.87
"2018-10-02 14:30",1143.90,22.37,12.55,94.16
"2018-10-02 14:45",1143.90,19.45,10.91,81.87
"2018-10-02 15:00",1143.90,12.52,7.02,52.71
"2018-10-02 15:15",1143.90,9.53,5.35,40.11
"2018-10-02 15:30",1143.90,9.90,5.56,41.69
"2018-10-02 15:45",1143.90,9.27,5.20,39.03
"2018-10-02 16:00",1143.90,9.98,5.60,42.00
"2018-10-02 16:15",1143.90,11.77,6.60,49.54
"2018-10-02 16:30",1143.90,17.85,10.01,75.13
"2018-10-02 16:45",1143.90,9.06,5.08,38.16
"2018-10-02 17:00",1143.90,5.93,3.33,24.96
"2018-10-02 17:15",1143.90,4.49,2.52,18.89
"2018-10-02 17:30",1143.90,2.34,1.31,9.83
"2018-10-02 17:45",1143.90,1.02,0.57,4.31
"2018-10-02 18:00",1143.90,0.05,0.03,0.20
"2018-10-02 18:15",1143.90,0.03,0.02,0.13
"2018-10-02 18:30",1143.90,0.08,0.04,0.34
"2018-10-02 18:45",1143.90,0.04,0.02,0.17
"2018-10-02 19:00",1143.90,0.01,0.00,0.03
"2018-10-02 19:15",1143.90,0.02,0.01,0.10
"2018-10-02 19:30",1143.90,0.05,0.03,0.20
"2018-10-02 19:45",1143.90,0.10,0.05,0.40
"2018-10-02 20:00",1143.90,0.06,0.04,0.27
"2018-10-02 20:15",1143.90,0.03,0.02,0.13
"2018-10-02 20:30",1143.90,0.03,0.02,0.13
"2018-10-02 20:45",1143.90,0.05,0.03,0.20
"2018-10-02 21:00",1143.90,0.03,0.02,0.13
"2018-10-02 21:15",1143.90,0.02,0.01,0.10
"2018-10-02 21:30",1143.90,0.08,0.04,0.34
"2018-10-02 21:45",1143.90,0.09,0.05,0.37
"2018-10-02 22:00",1143.90,0.02,0.01,0.10
"2018-10-02 22:15",1143.90,0.05,0.03,0.20
"2018-10-02 22:30",1143.90,0.01,0.00,0.03
"2018-10-02 22:45",1143.90,0.02,0.01,0.10
"2018-10-02 23:00",1143.90,0.08,0.04,0.34
"2018-10-02 23:15",1143.90,0.07,0.04,0.30
"2018-10-02 23:30",1143.90,0.02,0.01,0.10
"2018-10-02 23:45",1143.90,0.01,0.00,0.03
"2018-10-03 00:00",1143.90,0.10,0.05,0.40
"2018-10-03 00:15",1143.90,0.05,0.03,0.20
"2018-10-03 00:30",1143.90,0.06,0.04,0.27
"2018-10-03 00:45",1143.90,0.03,0.02,0.13
"2018-10-03 01:00",1143.90,0.01,0.00,0.03
"2018-10-03 01:15",1143.90,0.04,0.02,0.17
"2018-10-03 01:30",1143.90,0.01,0.00,0.03
"2018-10-03 01:45",1143.90,0.10,0.05,0.40
"2018-10-03 02:00",1143.90,0.12,0.07,0.51
"2018-10-03 02:15",1143.90,0.04,0.02,0.17
"2018-10-03 02:30",1143.90,0.02,0.01,0.07
"2018-10-03 02:45",1143.90,0.01,0.00,0.03
"2018-10-03 03:00",1143.90,0.04,0.02,0.17
"2018-10-03 03:15",1143.90,0.10,0.05,0.40
"2018-10-03 03:30",1143.90,0.02,0.01,0.10
"2018-10-03 03:45",1143.90,0.01,0.00,0.03
"2018-10-03 04:00",1143.90,0.02,0.01,0.10
"2018-10-03 04:15",1143.90,0.14,0.08,0.61
"2018-10-03 04:30",1143.90,0.05,0.03,0.20
"2018-10-03 04:45",1143.90,0.05,0.03,0.20
"2018-10-03 05:00",1143.90,0.03,0.02,0.13
"2018-10-03 05:15",1143.90,0.01,0.00,0.03
"2018-10-03 05:30",1143.90,0.04,0.02,0.17
"2018-10-03 05:45",1143.90,0.03,0.02,0.13
"2018-10-03 06:00",1143.90,0.24,0.13,1.01
"2018-10-03 06:15",1143.90,4.11,2.31,17.31
"2018-10-03 06:30",1143.90,11.42,6.41,48.09
"2018-10-03 06:45",1143.90,16.50,9.26,69.48
"2018-10-03 07:00",1143.90,28.02,15.72,117.97
"2018-10-03 07:15",1143.90,42.34,23.75,178.26
"2018-10-03 07:30",1143.90,60.58,33.98,255.01
"2018-10-03 07:45",1143.90,72.62,40.74,305.69
"2018-10-03 08:00",1143.90,85.28,47.84,359.00
"2018-10-03 08:15",1143.90,102.66,57.59,432.15
"2018-10-03 08:30",1143.90,114.42,64.19,481.66
"2018-10-03 08:45",1143.90,120.90,67.82,508.94
"2018-10-03 09:00",1143.90,141.29,79.26,594.78
