Date-Time,Energy Yield
1/1/2018 0:00,0.09
1/1/2018 0:15,0.17
1/1/2018 0:30,0.06
1/1/2018 0:45,0.08
1/1/2018 1:00,0.09
1/1/2018 1:15,0.12
1/1/2018 1:30,0.1
1/1/2018 1:45,0.09
1/1/2018 2:00,0.12
1/1/2018 2:15,0.08
1/1/2018 2:30,0.13
1/1/2018 2:45,0.09
1/1/2018 3:00,0.06
1/1/2018 3:15,0.1
1/1/2018 3:30,0.12
1/1/2018 3:45,0.08
1/1/2018 4:00,0.09
1/1/2018 4:15,0.09
1/1/2018 4:30,0.13
1/1/2018 4:45,0.09
1/1/2018 5:00,0.12
1/1/2018 5:15,0.08
1/1/2018 5:30,0.06
1/1/2018 5:45,0.15
1/1/2018 6:00,0.09
1/1/2018 6:15,0.1
1/1/2018 6:30,0.14
1/1/2018 6:45,3.99
1/1/2018 7:00,17.09
1/1/2018 7:15,33.87
1/1/2018 7:30,62.55
1/1/2018 7:45,92.93
1/1/2018 8:00,131.55
1/1/2018 8:15,166.96
1/1/2018 8:30,198.01
1/1/2018 8:45,223.11
1/1/2018 9:00,259.01
1/1/2018 9:15,284.23
1/1/2018 9:30,320.54
1/1/2018 9:45,338.26
1/1/2018 10:00,367.73
1/1/2018 10:15,379.1
1/1/2018 10:30,409.43
1/1/2018 10:45,413.37
1/1/2018 11:00,440.12
1/1/2018 11:15,444.56
1/1/2018 11:30,415.33
1/1/2018 11:45,447.5
1/1/2018 12:00,424.31
1/1/2018 12:15,448.05
1/1/2018 12:30,499.57
1/1/2018 12:45,497.92
1/1/2018 13:00,454.89
1/1/2018 13:15,239.01
1/1/2018 13:30,202.86
1/1/2018 13:45,330.08
1/1/2018 14:00,428.44
1/1/2018 14:15,245.28
1/1/2018 14:30,300.4
1/1/2018 14:45,349.71
1/1/2018 15:00,145.12
1/1/2018 15:15,223.33
1/1/2018 15:30,273.29
1/1/2018 15:45,127.1
1/1/2018 16:00,73.65
1/1/2018 16:15,153.97
1/1/2018 16:30,121.88
1/1/2018 16:45,63.8
1/1/2018 17:00,49.82
1/1/2018 17:15,33.05
1/1/2018 17:30,14.65
1/1/2018 17:45,1.79
1/1/2018 18:00,0.13
1/1/2018 18:15,0.05
1/1/2018 18:30,0.11
1/1/2018 18:45,0.1
1/1/2018 19:00,0.12
1/1/2018 19:15,0.1
1/1/2018 19:30,0.08
1/1/2018 19:45,0.08
1/1/2018 20:00,0.09
1/1/2018 20:15,0.18
1/1/2018 20:30,0.06
1/1/2018 20:45,0.08
1/1/2018 21:00,0.08
1/1/2018 21:15,0.12
1/1/2018 21:30,0.15
1/1/2018 21:45,0.05
1/1/2018 22:00,0.08
1/1/2018 22:15,0.14
1/1/2018 22:30,0.08
1/1/2018 22:45,0.12
1/1/2018 23:00,0.12
1/1/2018 23:15,0.1
1/1/2018 23:30,0.08
1/1/2018 23:45,0.12
2/1/2018 0:00,0.06
2/1/2018 0:15,0.11
2/1/2018 0:30,0.16
2/1/2018 0:45,0.11
2/1/2018 1:00,0.1
2/1/2018 1:15,0.06
2/1/2018 1:30,0.16
2/1/2018 1:45,0.09
2/1/2018 2:00,0.1
2/1/2018 2:15,0.06
2/1/2018 2:30,0.1
2/1/2018 2:45,0.11
2/1/2018 3:00,0.08
2/1/2018 3:15,0.14
2/1/2018 3:30,0.11
2/1/2018 3:45,0.15
2/1/2018 4:00,0.02
2/1/2018 4:15,0.14
2/1/2018 4:30,0.07
2/1/2018 4:45,0.17
2/1/2018 5:00,0.09
2/1/2018 5:15,0.08
2/1/2018 5:30,0.06
2/1/2018 5:45,0.07
2/1/2018 6:00,0.21
2/1/2018 6:15,0.08
2/1/2018 6:30,0.09
2/1/2018 6:45,1.54
2/1/2018 7:00,14.16
2/1/2018 7:15,40.55
2/1/2018 7:30,66.68
2/1/2018 7:45,96.79
2/1/2018 8:00,135.31
2/1/2018 8:15,172.75
2/1/2018 8:30,206.9
2/1/2018 8:45,228.34
2/1/2018 9:00,253.8
2/1/2018 9:15,285.34
2/1/2018 9:30,325.9
2/1/2018 9:45,347.33
2/1/2018 10:00,370.39
2/1/2018 10:15,389.28
2/1/2018 10:30,408.48
2/1/2018 10:45,416.26
2/1/2018 11:00,431.66
2/1/2018 11:15,432.95
2/1/2018 11:30,463.86
2/1/2018 11:45,458.63
2/1/2018 12:00,463.62
2/1/2018 12:15,452.28
2/1/2018 12:30,443.82
2/1/2018 12:45,425.03
2/1/2018 13:00,374.69
2/1/2018 13:15,336.23
2/1/2018 13:30,427
2/1/2018 13:45,403.26
2/1/2018 14:00,396.61
2/1/2018 14:15,379.61
2/1/2018 14:30,355.63
2/1/2018 14:45,299.44
2/1/2018 15:00,295.7
2/1/2018 15:15,272.38
2/1/2018 15:30,238.12
2/1/2018 15:45,209.27
2/1/2018 16:00,190.09
2/1/2018 16:15,156.33
2/1/2018 16:30,112.69
2/1/2018 16:45,84.93
2/1/2018 17:00,59.95
2/1/2018 17:15,30.87
2/1/2018 17:30,14.09
2/1/2018 17:45,3.88
2/1/2018 18:00,0.15
2/1/2018 18:15,0.14
